TemplateId	Name	Kind	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3577	Đá Khắc Chữ【Chiến Trường】	RecordStone_N1	34	27001		RecordStone	3	27001	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số tích lũy diệt địch trong Chiến Trường Tống Kim[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3578	Đá Khắc Chữ【Công Thành Chiến】	RecordStone_N2	34	27002		RecordStone	3	27002	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số tích lũy diệt địch trong Công Thành Chiến[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3579	Đá Khắc Chữ【Bạch Hổ Đường】	RecordStone_N3	34	27003		RecordStone	3	27003	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số tích lũy diệt địch trong Bạch Hổ Đường[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3580	Đá Khắc Chữ【Thi Đấu Môn Phái】	RecordStone_N4	34	27004		RecordStone	3	27004	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số lần giành Tân Vương trong Thi Đấu Môn Phái[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3581	Đá Khắc Chữ【Minh Chủ Võ Lâm】	RecordStone_N5	34	27005		RecordStone	3	27005	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số lần giành điểm tích lũy trong Minh Chủ Võ Lâm[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3582	Đá Khắc Chữ【Danh Tướng】	RecordStone_N6	34	27006		RecordStone	3	27006	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số tích lũy diệt địch trong Danh Tướng[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3583	Đá Khắc Chữ【Hoa Sơn Luận Kiếm】	RecordStone_N7	34	27007		RecordStone	3	27007	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại [FFFE0D]số lần giành chiến thắng tích lũy trong Hoa Sơn Luận Kiếm[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
3584	Đá Khắc Chữ【Thông Thiên Tháp】	RecordStone_N8	34	27008		RecordStone	3	27008	Bảo thạch thần kỳ khắc lên vũ khí. Khắc xong có thể ghi lại số [FFFE0D]lần giành chiến thắng tích lũy trong Thông Thiên Tháp[-]\n\nChỉ khắc lên vũ khí Hoàng Kim và Hiếm bậc 6 trở lên	1000000	1	2	1000	4	20	1	99999										
230	Đá Sinh Lực Lv1	life_stone_1	34	230		Stone	3	230	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	20000	1	2	1000	1	27	1	99999										
231	Đá Sinh Lực Lv2	life_stone_2	34	231		Stone	3	231	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	60000	2	2	1000	2	27	1	99999										
232	Đá Sinh Lực Lv3	life_stone_3	34	232		Stone	3	232	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	180000	3	2	1000	3	27	1	99999										
233	Đá Sinh Lực Lv4	life_stone_4	34	233		Stone	3	233	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	540000	4	2	1000	4	40	1	99999										
234	Đá Sinh Lực Lv5	life_stone_5	34	234		Stone	3	234	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	1650000	5	2	1000	5	50	1	99999										
235	Đá Sinh Lực Lv6	life_stone_6	34	235		Stone	3	235	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	5000000	6	2	1000	6	60	1	99999										
236	Đá Sinh Lực Lv7	life_stone_7	34	236		Stone	3	236	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	15000000	7	2	1000	7	70	1	99999										
237	Đá Sinh Lực Lv8	life_stone_8	34	237		Stone	3	237	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	45000000	7	2	1000	7	80	1	99999										
238	Đá Sinh Lực Lv9	life_stone_9	34	238		Stone	3	238	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	45000000	7	2	1000	7	90	1	99999										
239	Đá Sinh Lực Lv10	life_stone_10	34	239		Stone	3	239	Đá Sinh Lực Lv10	45000000	7	2	1000	7	100	1	99999										
240	Đá Tấn Công Lv1	physcical_damage_stone_1	34	240		Stone	3	240	4 bảo thạch cùng cấp ghép được 1 bảo thạch cấp cao	20000	1	2	1000	1	27	1	99999										
