TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1022	Vũ Khí Bậc 1	Un_T1_Weapon_Q1	1101	36	10111		Unidentify	1	10111	Cấp giám định: Lv1\nGiám định nhận Vũ Khí [FFFE0D]Bậc 1[-]	25000	1	7	25000	1	1	1	999	1									
1023	Vũ Khí Bậc 2	Un_T2_Weapon_Q1	1102	36	10112		Unidentify	1	10112	Cấp giám định: Lv20\nGiám định nhận Vũ Khí [FFFE0D]Bậc 2[-]	50000	2	7	50000	1	20	1	999	2									
1024	Vũ Khí Bậc 3	Un_T3_Weapon_Q1	1103	36	10113		Unidentify	1	10113	Cấp giám định: Lv40\nGiám định nhận Vũ Khí [FFFE0D]Bậc 3[-]	100000	3	7	100000	1	40	1	999	3									
1025	Vũ Khí Bậc 4	Un_T4_Weapon_Q1	1104	36	10114		Unidentify	1	10114	Cấp giám định: Lv50\nGiám định nhận Vũ Khí [FFFE0D]Bậc 4[-]	200000	4	7	200000	1	50	1	999	4									
1026	Vũ Khí Bậc 5	Un_T5_Weapon_Q1	1105	36	10115		Unidentify	1	10115	Cấp giám định: Lv60\nGiám định nhận Vũ Khí [FFFE0D]Bậc 5[-]	400000	5	7	400000	1	60	1	999	5									
1027	Vũ Khí Bậc 6	Un_T6_Weapon_Q1	1106	36	10116		Unidentify	1	10116	Cấp giám định: Lv70\nGiám định nhận Vũ Khí [FFFE0D]Bậc 6[-]	800000	6	7	800000	1	70	1	999	6									
1028	Vũ Khí Bậc 7	Un_T7_Weapon_Q1	1107	36	10117		Unidentify	1	10117	Cấp giám định: Lv80\nGiám định nhận Vũ Khí [FFFE0D]Bậc 7[-]	1600000	7	7	1600000	1	80	1	999	7									
1029	Vũ Khí Bậc 8	Un_T8_Weapon_Q1	1108	36	10118		Unidentify	1	10118	Cấp giám định: Lv90\nGiám định nhận Vũ Khí [FFFE0D]Bậc 8[-]	2250000	8	7	2250000	1	90	1	999	8									
1030	Vũ Khí Bậc 9	Un_T9_Weapon_Q1	1109	36	10119		Unidentify	1	10119	Cấp giám định: Lv100\nGiám định nhận Vũ Khí [FFFE0D]Bậc 9[-]	3000000	9	7	3000000	1	100	1	999	9									
1031	Vũ Khí Bậc 10	Un_T10_Weapon_Q1	1110	36	10120		Unidentify	1	10120	Cấp giám định: Lv110\nGiám định nhận Vũ Khí [FFFE0D]Bậc 10[-]	4000000	10	7	4000000	1	110	1	999	10									
5441	Vũ Khí Bậc 11	Un_T11_Weapon_Q1	1311	36			Unidentify	1		Cấp giám định: Lv120\nGiám định nhận Vũ Khí [FFFE0D]Bậc 11[-]	5000000	11	7	5000000	1	120	1	999	4901									
5442	Vũ Khí Bậc 12	Un_T12_Weapon_Q1	1312	36			Unidentify	1		Cấp giám định: Lv130\nGiám định nhận Vũ Khí [FFFE0D]Bậc 12[-]	6000000	12	7	6000000	1	130	1	999	4902									
5443	Vũ Khí Bậc 13	Un_T13_Weapon_Q1	1313	36			Unidentify	1		Cấp giám định: Lv140\nGiám định nhận Vũ Khí [FFFE0D]Bậc 13[-]	6750000	13	7	6750000	1	140	1	999	4903									
5444	Vũ Khí Bậc 14	Un_T14_Weapon_Q1	1314	36			Unidentify	1		Cấp giám định: Lv150\nGiám định nhận Vũ Khí [FFFE0D]Bậc 14[-]	7400000	14	7	7400000	1	150	1	999	4904									
5445	Vũ Khí Bậc 15	Un_T15_Weapon_Q1	1315	36			Unidentify	1		Cấp giám định: Lv160\nGiám định nhận Vũ Khí [FFFE0D]Bậc 15[-]	8180000	15	7	8180000	1	160	1	999	4905									
5446	Vũ Khí Bậc 16	Un_T16_Weapon_Q1	1316	36			Unidentify	1		Cấp giám định: Lv170\nGiám định nhận Vũ Khí [FFFE0D]Bậc 16[-]	9000000	16	7	9000000	1	170	1	999	4906									
5447	Vũ Khí Bậc 17	Un_T17_Weapon_Q1	1317	36			Unidentify	1		Cấp giám định: Lv180\nGiám định nhận Vũ Khí [FFFE0D]Bậc 17[-]	9900000	17	7	9900000	1	180	1	999	4907									
5448	Vũ Khí Bậc 18	Un_T18_Weapon_Q1	1318	36			Unidentify	1		Cấp giám định: Lv190\nGiám định nhận Vũ Khí [FFFE0D]Bậc 18[-]	2250000	18	7	2250000	1	190	1	999	4908									
5449	Vũ Khí Bậc 19	Un_T19_Weapon_Q1	1319	36			Unidentify	1		Cấp giám định: Lv200\nGiám định nhận Vũ Khí [FFFE0D]Bậc 19[-]	3000000	19	7	3000000	1	200	1	999	4909									
5450	Vũ Khí Bậc 20	Un_T20_Weapon_Q1	1320	36			Unidentify	1		Cấp giám định: Lv210\nGiám định nhận Vũ Khí [FFFE0D]Bậc 20[-]	4000000	20	7	4000000	1	210	1	999	4910									
1032	Hổ Tinh Hạng Liên	Un_T1_Necklace_Q1		36	11		Unidentify	1	11	Cấp giám định: Lv1\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 1[-]	10000	1	7	10000	1	1	1	999	11									
1033	Băng Tinh Hạng Liên	Un_T2_Necklace_Q1		36	12		Unidentify	1	12	Cấp giám định: Lv24\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 2[-]	20000	2	7	20000	1	24	1	999	12									
1034	San Hô Hạng Liên	Un_T3_Necklace_Q1		36	13		Unidentify	1	13	Cấp giám định: Lv42\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 3[-]	40000	3	7	40000	1	42	1	999	13									
1035	Ngũ Sắc Hạng Liên	Un_T4_Necklace_Q1		36	14		Unidentify	1	14	Cấp giám định: Lv52\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 4[-]	80000	4	7	80000	1	52	1	999	14									
1036	Ôn Nhuận Liên	Un_T5_Necklace_Q1		36	15		Unidentify	1	15	Cấp giám định: Lv62\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 5[-]	160000	5	7	160000	1	62	1	999	15									
1037	Bí Ẩn Liên	Un_T6_Necklace_Q1		36	16		Unidentify	1	16	Cấp giám định: Lv72\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 6[-]	320000	6	7	320000	1	72	1	999	16									
1038	Bắc Thần Liên	Un_T7_Necklace_Q1		36	17		Unidentify	1	17	Cấp giám định: Lv82\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 7[-]	640000	7	7	640000	1	82	1	999	17									
1039	Quần Điểu Liên	Un_T8_Necklace_Q1		36	18		Unidentify	1	18	Cấp giám định: Lv92\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 8[-]	900000	8	7	900000	1	92	1	999	18									
1040	Triều Lộ Liên	Un_T9_Necklace_Q1		36	19		Unidentify	1	19	Cấp giám định: Lv102\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 9[-]	1200000	9	7	1200000	1	102	1	999	19									
1041	Hồng Nhạn Liên	Un_T10_Necklace_Q1		36	20		Unidentify	1	20	Cấp giám định: Lv112\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 10[-]	1600000	10	7	1600000	1	112	1	999	20									
5471	Càn Khôn Liên	Un_T11_Necklace_Q1		36	4911		Unidentify	1	4911	Cấp giám định: Lv122\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 11[-]	2000000	11	7	2000000	1	122	1	999	4911									
5472	Lăng Tiêu Liên	Un_T12_Necklace_Q1		36	4912		Unidentify	1	4912	Cấp giám định: Lv132\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 12[-]	2400000	12	7	2400000	1	132	1	999	4912									
5473	Tinh Thần Liên	Un_T13_Necklace_Q1		36	4913		Unidentify	1	4913	Cấp giám định: Lv142\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 13[-]	2700000	13	7	2700000	1	142	1	999	4913									
5474	Tiên Lạc Liên	Un_T14_Necklace_Q1		36	4914		Unidentify	1	4914	Cấp giám định: Lv152\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 14[-]	2960000	14	7	2960000	1	152	1	999	4914									
5475	Bách Hoa Liên	Un_T15_Necklace_Q1		36	4915		Unidentify	1	4915	Cấp giám định: Lv162\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 15[-]	3272000	15	7	3272000	1	162	1	999	4915									
5476	Xá Tử Liên	Un_T16_Necklace_Q1		36	4916		Unidentify	1	4916	Cấp giám định: Lv172\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 16[-]	3600000	16	7	3600000	1	172	1	999	4916									
5477	Sơn Nguyệt Liên	Un_T17_Necklace_Q1		36	4917		Unidentify	1	4917	Cấp giám định: Lv182\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 17[-]	3960000	17	7	3960000	1	182	1	999	4917									
5478	Dây Chuyền T18	Un_T18_Necklace_Q1		36	4918		Unidentify	1	4918	Cấp giám định: Lv192\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 18[-]	900000	18	7	900000	1	192	1	999	4918									
5479	Dây Chuyền T19	Un_T19_Necklace_Q1		36	4919		Unidentify	1	4919	Cấp giám định: Lv202\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 19[-]	1200000	19	7	1200000	1	202	1	999	4919									
5480	Dây Chuyền T20	Un_T20_Necklace_Q1		36	4920		Unidentify	1	4920	Cấp giám định: Lv212\nGiám định nhận Dây Chuyền [FFFE0D]Bậc 20[-]	1600000	20	7	1600000	1	212	1	999	4920									
1042	Hiệp Thiếu Giới	Un_T1_Ring_Q1		36	21		Unidentify	1	21	Cấp giám định: Lv1\nGiám định nhận Nhẫn [FFFE0D]Bậc 1[-]	10000	1	7	10000	1	1	1	999	21									
1043	Phân Thủy Giới	Un_T2_Ring_Q1		36	22		Unidentify	1	22	Cấp giám định: Lv28\nGiám định nhận Nhẫn [FFFE0D]Bậc 2[-]	20000	2	7	20000	1	28	1	999	22									
