RealLevel	AttribLevel	Probility	Desc
1	3	1800	T1_Thường_1
1	2	4089	T1_Thường_2
1	1	4111	T1_Thường_3
2	4	500	T1_Kế thừa_1
2	3	1459	T1_Kế thừa_2
2	2	3000	T1_Kế thừa_3
2	1	5041	T1_Kế thừa_4
3	5	1800	T2_Thường_1
3	4	4089	T2_Thường_2
3	3	4111	T2_Thường_3
4	5	1600	T1_Hiếm_1
4	4	3467	T1_Hiếm_2
4	3	4933	T1_Hiếm_3
5	6	500	T2_Kế thừa_1
5	5	1459	T2_Kế thừa_2
5	4	3000	T2_Kế thừa_3
5	3	5041	T2_Kế thừa_4
6	7	1800	T3_Thường_1
6	6	4089	T3_Thường_2
6	5	4111	T3_Thường_3
7	7	1600	T2_Hiếm_1
7	6	3467	T2_Hiếm_2
7	5	4933	T2_Hiếm_3
8	8	500	T3_Kế thừa_1
8	7	1459	T3_Kế thừa_2
8	6	3000	T3_Kế thừa_3
8	5	5041	T3_Kế thừa_4
9	9	1500	T4_Thường_1
9	8	3889	T4_Thường_2
9	7	4611	T4_Thường_3
10	9	1800	T3_Hiếm_1
10	8	4600	T3_Hiếm_2
10	7	3600	T3_Hiếm_3
11	10	400	T4_Kế thừa_1
11	9	1200	T4_Kế thừa_2
11	8	2756	T4_Kế thừa_3
11	7	5644	T4_Kế thừa_4
12	11	1100	T5_Thường_1
12	10	3367	T5_Thường_2
12	9	5533	T5_Thường_3
13	11	2100	T4_Hiếm_1
13	10	5100	T4_Hiếm_2
13	9	2800	T4_Hiếm_3
14	12	350	T5_Kế thừa_1
14	11	1100	T5_Kế thừa_2
14	10	2625	T5_Kế thừa_3
14	9	5925	T5_Kế thừa_4
15	13	1000	T6_Thường_1
15	12	3149	T6_Thường_2
15	11	5851	T6_Thường_3
16	13	1850	T5_Hiếm_1
16	12	4571	T5_Hiếm_2
16	11	3579	T5_Hiếm_3
17	14	300	T6_Kế thừa_1
17	13	1175	T6_Kế thừa_2
17	12	2700	T6_Kế thừa_3
17	11	5825	T6_Kế thừa_4
18	15	900	T7_Thường_1
18	14	3083	T7_Thường_2
18	13	6017	T7_Thường_3
19	15	1200	T6_Hiếm_1
19	14	3515	T6_Hiếm_2
19	13	5285	T6_Hiếm_3
20	16	300	T7_Kế thừa_1
20	15	1280	T7_Kế thừa_2
20	14	2700	T7_Kế thừa_3
20	13	5720	T7_Kế thừa_4
21	17	800	T8_Thường_1
21	16	3000	T8_Thường_2
21	15	6200	T8_Thường_3
22	17	900	T7_Hiếm_1
22	16	3000	T7_Hiếm_2
22	15	6100	T7_Hiếm_3
23	18	300	T8_Kế thừa_1
23	17	1058	T8_Kế thừa_2
23	16	2750	T8_Kế thừa_3
23	15	5892	T8_Kế thừa_4
24	19	700	T9_Thường_1
24	18	2578	T9_Thường_2
24	17	6722	T9_Thường_3
25	19	600	T8_Hiếm_1
25	18	2073	T8_Hiếm_2
25	17	7327	T8_Hiếm_3
26	20	260	T9_Kế thừa_1
26	19	1017	T9_Kế thừa_2
26	18	3000	T9_Kế thừa_3
26	17	5723	T9_Kế thừa_4
27	21	700	T10_Thường_1
27	20	2765	T10_Thường_2
27	19	6535	T10_Thường_3
28	21	500	T9_Hiếm_1
28	20	1556	T9_Hiếm_2
28	19	7944	T9_Hiếm_3
29	22	200	T10_Kế thừa_1
29	21	1015	T10_Kế thừa_2
29	20	3000	T10_Kế thừa_3
29	19	5785	T10_Kế thừa_4
30	23	700	T11_Thường_1
30	22	2210	T11_Thường_2
30	21	7090	T11_Thường_3
