RealLevel	Count1	Count2	Count3	Count4	Count5	ExtAttribLevel	Desc
1	623	266	100	10	1		Thường T1
2	623	266	100	10	1	4	Kế Thừa T1
3	623	266	100	10	1		Thường T2
4	623	266	100	10	1	6	Hiếm T1
5	623	266	100	10	1	6	Kế Thừa T2
6	623	266	100	10	1		Thường T3
7	623	266	100	10	1	8	Hiếm T2
8	623	266	100	10	1	8	Kế Thừa T3
9	623	266	100	10	1		Thường T4
10	623	266	100	10	1	10	Hiếm T3
11	623	266	100	10	1	10	Kế Thừa T4
12	623	266	100	10	1		Thường T5
13	623	266	100	10	1	12	Hiếm T4
14	623	266	100	10	1	12	Kế Thừa T5
15	623	266	100	10	1		Thường T6
16	623	266	100	10	1	14	Hiếm T5
17	623	266	100	10	1	14	Kế Thừa T6
18	623	266	100	10	1		T7 Thường
19	623	266	100	10	1	16	Hiếm T6
20	623	266	100	10	1	16	T7 Kế thừa
21	623	266	100	10	1		T8 Thường
22	623	266	100	10	1	18	T7 Hiếm
23	623	266	100	10	1	18	T8 Kế thừa
24	623	266	100	10	1		Thường T9
25	623	266	100	10	1	20	T8 Hiếm
26	623	266	100	10	1	20	Kế Thừa T9
27	623	266	100	10	1		Thường T10
28	623	266	100	10	1	22	Hiếm T9
29	623	266	100	10	1	22	Kế Thừa T10
30	623	266	100	10	1		Thường T11
31	623	266	100	10	1	24	Hiếm T10
32	623	266	100	10	1	24	Kế Thừa T11
33	623	266	100	10	1		Thường T12 
34	623	266	100	10	1	26	Hiếm T11
35	623	266	100	10	1	26	Kế Thừa T12
36	623	266	100	10	1		Thường T13
37	623	266	100	10	1	28	Hiếm T12
38	623	266	100	10	1	28	Kế Thừa T13
39	623	266	100	10	1		Thường T14
40	623	266	100	10	1	30	Hiếm T13
41	623	266	100	10	1	30	Kế Thừa T14
42	623	266	100	10	1		Thường T15
43	623	266	100	10	1	32	Hiếm T14
44	623	266	100	10	1	32	Kế Thừa T5
45	623	266	100	10	1		T16 Thường
46	623	266	100	10	1	34	Hiếm T15
47	623	266	100	10	1	34	Kế Thừa T16
48	623	266	100	10	1		T17-Thường
49	623	266	100	10	1	36	T16-Hiếm
50	623	266	100	10	1	36	Kế Thừa T17
51	623	266	100	10	1		T18 Thường
52	623	266	100	10	1	38	Hiếm T17
1001	750	200	50	0	0		Minh Văn Bậc 1
1002	750	200	50	0	0		Minh Văn Bậc 2
1003	750	200	50	0	0		Minh Văn Bậc 3
1004	750	200	50	0	0		Minh Văn Bậc 4
1005	750	200	50	0	0		Minh Văn Bậc 5
