ItemId	Count	
4254	7	
4255	7	
4256	7	
4257	8	
4258	8	
7083	8	
7084	8	
7085	8	
7086	8	
7087	8	
7088	8	
7089	8	
7090	8	
4261	7	
4262	7	
4263	7	
4264	8	
4265	8	
7091	8	
7092	8	
7093	8	
7094	8	
7095	8	
7096	8	
7097	8	
7098	8	
4268	7	
4269	7	
4270	7	
4271	8	
4272	8	
7099	8	
7100	8	
7101	8	
7102	8	
7103	8	
7104	8	
7105	8	
7106	8	
10016	7	Vũ Khí Bạch Kim T10
10104	7	Áo Bạch Kim T10
10060	7	Nón Bạch Kim T10
10093	7	Đai Bạch Kim T10
10071	7	Bao Tay Bạch Kim T10
10082	7	Giày Bạch Kim T10
10049	7	Dây Chuyền Bạch Kim T10
10027	7	Nhẫn Bạch Kim T10
10038	7	Ngọc Bội Bạch Kim T10
10115	7	Hộ Thân Phù Bạch Kim T10
10017	7	Vũ Khí Bạch Kim T11
10105	7	Áo Bạch Kim T11
10061	7	Nón Bạch Kim T11
10094	7	Đai Bạch Kim T11
10072	7	Bao Tay Bạch Kim T11
10083	7	Giày Bạch Kim T11
10050	7	Dây Chuyền Bạch Kim T11
10028	7	Nhẫn Bạch Kim T11
10039	7	Ngọc Bội Bạch Kim T11
10116	7	Hộ Thân Phù Bạch Kim T11
10018	7	Vũ Khí Bạch Kim T12
10106	7	Áo Bạch Kim T12
10062	7	Nón Bạch Kim T12
10095	7	Đai Bạch Kim T12
10073	7	Bao Tay Bạch Kim T12
10084	7	Giày Bạch Kim T12
10051	7	Dây Chuyền Bạch Kim T12
10029	7	Nhẫn Bạch Kim T12
10040	7	Ngọc Bội Bạch Kim T12
10117	7	Hộ Thân Phù Bạch Kim T12
10019	7	Vũ Khí Bạch Kim T13
10107	7	Áo Bạch Kim T13
10063	7	Nón Bạch Kim T13
10096	7	Đai Bạch Kim T13
10074	7	Bao Tay Bạch Kim T13
10085	7	Giày Bạch Kim T13
10052	7	Dây Chuyền Bạch Kim T13
10030	7	Nhẫn Bạch Kim T13
10041	7	Ngọc Bội Bạch Kim T13
10118	7	Hộ Thân Phù Bạch Kim T13
10020	7	Vũ Khí Bạch Kim T14
10108	7	Áo Bạch Kim T14
10064	7	Nón Bạch Kim T14
10097	7	Đai Bạch Kim T14
10075	7	Bao Tay Bạch Kim T14
10086	7	Giày Bạch Kim T14
10053	7	Dây Chuyền Bạch Kim T14
10031	7	Nhẫn Bạch Kim T14
10042	7	Ngọc Bội Bạch Kim T14
10119	7	Hộ Thân Phù Bạch Kim T14
10021	7	Vũ Khí Bạch Kim T15
10109	7	Áo Bạch Kim T15
10065	7	Nón Bạch Kim T15
10098	7	Đai Bạch Kim T15
10076	7	Hộ Uyển Bạch Kim T15
10087	7	Giày Bạch Kim T15
10054	7	Dây Chuyền Bạch Kim T15
10032	7	Nhẫn Bạch Kim T15
10043	7	Ngọc Bội Bạch Kim T15
10120	7	Hộ Thân Phù Bạch Kim T15
10022	7	Vũ Khí Bạch Kim T16
10110	7	Áo Bạch Kim T16
10066	7	Nón Bạch Kim T16
10099	7	Đai Bạch Kim T16
10077	7	Hộ Uyển Bạch Kim T16
10088	7	Giày Bạch Kim T16
10055	7	Dây Chuyền Bạch Kim T16
10033	7	Nhẫn Bạch Kim T16
10044	7	Ngọc Bội Bạch Kim T16
10121	7	Hộ Thân Phù Bạch Kim T16
10023	7	Vũ Khí Bạch Kim T17
10111	7	Áo Bạch Kim T17
10067	7	Nón Bạch Kim T17
10100	7	Đai Bạch Kim T17
10078	7	Hộ Uyển Bạch Kim T17
10089	7	Giày Bạch Kim T17
10056	7	Dây Chuyền Bạch Kim T17
10034	7	Nhẫn Bạch Kim T17
10045	7	Ngọc Bội Bạch Kim T17
10122	7	Hộ Thân Phù Bạch Kim T17
