RealLevel	AttribLevel	Probility	Desc
18	15	10000	T7_Thường_1
20	16	10000	T7_Kế thừa_1
21	17	10000	T8_Thường_1
22	17	10000	T7_Trác Việt_1
23	18	10000	T8_Kế thừa_1
24	19	10000	T9_Thường_1
25	19	10000	T8_Trác Việt_1
26	20	10000	T9_Kế thừa_1
27	21	10000	T10_Thường_1
28	21	10000	T9_Trác Việt_1
29	22	10000	T10_Kế thừa_1
30	23	10000	T11_Thường_1
31	23	10000	T10_Trác Việt_1
32	24	10000	T11_Kế thừa_1
33	25	10000	T12_Thường_1
34	25	10000	T11_Trác Việt_1
35	26	10000	T12_Kế thừa_1
36	27	10000	T13_Thường_1
37	27	10000	T12_Trác Việt_1
38	28	10000	T13_Kế thừa_1
39	29	10000	T14_Thường_1
40	29	10000	T13_Trác Việt_1
41	30	10000	T14_Kế thừa_1
42	31	10000	T15_Thường_1
43	31	10000	T14_Trác Việt_1
44	32	10000	T15_Kế thừa_1
45	33	10000	T16_Thường_1
46	33	10000	T15_Trác Việt_1
47	34	10000	T16_Kế thừa_1
48	35	10000	T17_Thường_1
49	35	10000	T16_Trác Việt_1
50	36	10000	T17_Kế thừa_1
51	37	10000	T18_Thường_1
52	37	10000	T17_Trác Việt_1
