ParamId	RandomId1	Level1	RandomId2	Level2	RandomId3	Level3	RandomId4	Level4	RandomId5	Level5	RandomId6	Level6	RandomId7	Level7	RandomId8	Level8	RandomId9	Level9	RandomId10	Level10	RandomId11	Level11	RandomId12	Level12	RandomId13	Level13	RandomId14	Level14	RandomId15	Level15	Desc
1	1	10	3	40	2	30																									
2	755	39	756	49	757	59	758	69	759	79	3008	89	3010	99	3720	109	3721	119	6002	129	6006	139	7489	149	8316	159	9221	169	9301	179	Rương Chiến Trường-Hoàng Kim
3	765	59	766	69	767	79	768	89	769	100																					
4	770	59	771	69	772	79	773	89	774	100																					
5	775	59	776	69	777	79	778	89	779	100																					
6	947	59	948	69	949	79	950	89	951	100																					
7	787	59	788	69	789	79	790	89	791	99	792	109	78700	119	78701	129	78702	139													Tàng Bảo Đồ
8	793	39	794	49	795	59	796	69	797	79	798	89	799	119																	Rương Cổ
9	952	59	953	69	954	79	955	89	956	100																					
10	957	59	958	69	959	79	960	89	961	100																					
11	962	59	963	69	964	79	965	89	966	100																					
12	800	39	801	59	802	69	803	79	804	89	810	99	9680	119	9681	129															Rương Thủ Vệ
13	805	59	806	69	807	79	808	89	809	100																					
14	811	59	812	69	813	79	814	89	815	100																					Bang Hội Đạo Tặc
15	1025	39	1026	49	1027	59	1028	69	1029	79	1030	89	10300	99	10301	109	10302	119	10303	129	10304	139	10305	149	10306	159	10307	169	10308	179	Rương Hoàng Kim
16	749	59	751	69	753	79	760	89	761	100																					
17	750	59	752	69	754	79	762	89	763	100																					
18	1032	59	1033	69	1034	79	1035	89	1036	99																					Rương Bang Hội
19	1065	59	1066	69	1067	79	1068	89	1069	100																					
20	1070	59	1071	69	1072	79	1073	89	1074	100																					
21	1075	39	1076	100																											
22	1077	59	1078	69	1079	79	1080	89	1081	99	10810	119																			Thưởng Bạc Mục Tiêu Ngày
23	1082	59	1083	69	1084	79	1085	89	1086	99	10861	119																			Thưởng Thủy Tinh Mục Tiêu Ngày
24	1087	100																													
25	1092	100																													
26	1093	100																													
27	1094	59	1095	69	1096	79	1097	89	1098	100																					
28	1100	59	1101	69	1102	79	1103	89	1104	99	13900	119	13901	129																	Thủy Tinh Địa Cung
29	1464	59	1465	69	1466	79	1467	89	1468	99	1469	120																			Thí Luyện Bang Hội
30	1500	59	1501	69	1502	79	1503	89	1504	99	1505	109	1506	119	1507	129	1508	139	1509	149	1510	159	1511	169	1512	179					Tàng Bảo Đồ-Cao
31	2148	39	2149	49	2150	59	2151	69	2152	79	3009	89	3011	99	3722	109	3723	119	6003	129	6007	139	7488	149	8317	159	9222	169	9302	179	Rương Chiến Trường-Bạch Ngân
32	1105	39	1107	49	1109	59	1115	69	1117	79	1119	89	1121	99	1123	109	1125	119	6065	129	6067	139	7490	149	8312	159	1127	169	1129	179	Khiêu Chiến Anh Hùng
33	1106	39	1108	49	1110	59	1116	69	1118	79	1120	89	1122	99	1124	109	1126	119	6066	129	6068	139	7491	149	8313	159	1128	169	1130	179	Khiêu Chiến Anh Hùng
34	2167	39	2168	49	2169	59	2170	69	2171	79	21730	89	21731	99	21732	109	21733	119	21734	129	21735	139	21736	149	21737	159	21738	169	21739	179	Thưởng Nhiệm Vụ Trừng Ác-Đội Viên-Trắng
35	2172	39	2173	49	2174	59	2175	69	2176	79	21740	89	21741	99	21742	109	21743	119	21744	129	21745	139	21746	149	21747	159	21748	169	21749	179	Thưởng Nhiệm Vụ Trừng Ác-Đội Viên-Lục
36	2177	39	2178	49	2179	59	2180	69	2181	79	21750	89	21751	99	21752	109	21753	119	21754	129	21755	139	21756	149	21757	159	21758	169	21759	179	Thưởng Nhiệm Vụ Trừng Ác-Đội Viên-Lam
37	2182	39	2183	49	2184	59	2185	69	2186	79	21760	89	21761	99	21762	109	21763	119	21764	129	21765	139	21766	149	21767	159	21768	169	21769	179	Thưởng Nhiệm Vụ Trừng Ác-Đội Viên-Tím
38	2187	39	2188	49	2189	59	2190	69	2191	79	21770	89	21771	99	21772	109	21773	119	21774	129	21775	139	21776	149	21777	159	21778	169	21779	179	Thưởng Nhiệm Vụ Trừng Ác-Đội Viên-Cam
39	749	39	750	49	751	59	752	69	753	79	21780	89	44651	99	21782	109	44652	119	21784	129	21785	139	21786	149	21787	159					Rương Võ Thần-Hoàng Kim (Gia Cụ Lv2) 
40	754	39	760	49	761	59	762	69	763	79	21790	89	44661	99	21792	109	44662	119	21794	129	21795	139	21796	149	21797	159					Rương Võ Thần-Bạch Ngân (Gia Cụ Lv2) 
41	1111	59	1112	69	1113	79	1114	100																							
42	22241	39	22242	49	22243	59	22244	69	22245	79	22240	89	22235	99	22201	109	22400	119													Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 1 Lv20
43	22246	39	22247	49	22248	59	22249	69	22250	79	22289	89	22234	99	22202	109	22401	119													Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 2 Lv20
44	22251	39	22252	49	22253	59	22254	69	22255	79	22290	89	22233	99	22203	109	22402	119													Thưởng BOSS Bí Cảnh Tổ Đội Lv20
45	22256	39	22257	49	22258	59	22259	69	22260	79	22291	89	22232	99	22204	109	22403	119													Thưởng Bí Cảnh Tổ Đội-Hiếm Lv20
46	22261	49	22262	59	22263	69	22264	79	22292	89	22231	99	22205	109	22404	119															Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 1 Lv40
47	22265	49	22266	59	22267	69	22268	79	22293	89	22230	99	22206	109	22405	119															Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 2 Lv40
48	22269	49	22270	59	22271	69	22272	79	22294	89	22229	99	22207	109	22406	119															Thưởng BOSS Bí Cảnh Tổ Đội Lv40
49	22273	49	22274	59	22275	69	22276	79	22295	89	22228	99	22208	109	22407	119															Thưởng Bí Cảnh Tổ Đội-Hiếm Lv40
50	22277	69	22278	79	22296	89	22227	99	22209	109	22408	119																			Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 1 Lv60
51	22279	69	22280	79	22297	89	22226	99	22210	109	22409	119																			Thưởng Thủ Lĩnh Bí Cảnh Tổ Đội 2 Lv60
52	22281	69	22282	79	22298	89	22225	99	22211	109	22410	119																			Thưởng BOSS Bí Cảnh Tổ Đội Lv60
53	22283	69	22284	79	22299	89	22224	99	22212	109	22411	119																			Thưởng Bí Cảnh Tổ Đội-Hiếm Lv60
54	2266	39	2267	49	2268	59	2269	69	2270	79	22660	89	22661	99	22662	109	22663	119	22664	129	22665	139	22666	149	22667	159	22668	169	22669	179	Thưởng nhiệm vụ Thương Hội rơi
55	2276	39	2277	49	2278	59	2279	69	2280	79	22760	89	22761	99	22762	109	22763	119	22764	129	22765	139	22766	149	22767	159	22768	169	22769	179	Thưởng Đội Trưởng Nhiệm Vụ Trừng Ác-Trắng
56	2281	39	2282	49	2283	59	2284	69	2285	79	22770	89	22771	99	22772	109	22773	119	22774	129	22775	139	22776	149	22777	159	22778	169	22779	179	Thưởng Đội Trưởng Nhiệm Vụ Trừng Ác-Lục
57	2286	39	2287	49	2288	59	2289	69	2290	79	22780	89	22781	99	22782	109	22783	119	22784	129	22785	139	22786	149	22787	159	22788	169	22789	179	Thưởng Đội Trưởng Nhiệm Vụ Trừng Ác-Lam
58	2291	39	2292	49	2293	59	2294	69	2295	79	22790	89	22791	99	22792	109	22793	119	22794	129	22795	139	22796	149	22797	159	22798	169	22799	179	Thưởng Đội Trưởng Nhiệm Vụ Trừng Ác-Tím
59	2296	39	2297	49	2298	59	2299	69	2300	79	22800	89	22801	99	22802	109	22803	119	22804	129	22805	139	22806	149	22807	159	22808	169	22809	179	Thưởng Đội Trưởng Nhiệm Vụ Trừng Ác-Cam
60	2329	39	2330	49	2331	59	2332	69	2333	79	2334	89	2335	99	2336	109	2337	119	2338	129	23380	139	23381	149	23382	159	23383	169	23384	179	Rương Bí Cảnh Đội-Hoàng Kim (Nhận Lại Phần Thưởng) 
61	2348	39	2349	49	2350	59	2351	69	2352	79	2353	89	2354	99	2355	109	2356	119	2357	129	23570	139	23571	149	23572	159	23573	169	23574	179	Rương Trừng Ác-Hoàng Kim (Nhận Lại Phần Thưởng) 
62	2360	39	2361	49	2362	59	2363	69	2364	79	2365	89	23650	99	23651	109	23652	119	23653	129	23654	139	23655	149	23656	159	23657	169	23658	179	Rương Thương Hội-Hoàng Kim (Nhận Lại Phần Thưởng) 
63	2374	39	2375	49	2376	59	2377	69	2378	79	2379	89	2380	99	2381	109	23810	119	23811	129	23812	139	23813	149	23814	159	23815	169	23816	179	Rương Khiêu Chiến Anh Hùng-Hoàng Kim (Nhận Lại Phần Thưởng) 
64	2382	39	2383	49	2384	59	2385	69	2386	79	2387	89	2388	99	23880	109	23881	119	23882	129	23883	139	23884	149	23885	159	23886	169	23887	179	Rương Thông Thiên Tháp-Hoàng Kim (Nhận Lại Phần Thưởng) 
65	2418	39	2419	49	2420	59	2421	69	2422	79	2428	89	2429	99	3718	109	3719	119	6004	129	6005	139	7487	149	8315	159	9223	169	9224	179	Rương Thông Thiên Tháp
66	2339	59	2340	79																											
67	2435	39	2436	49	2437	59	2438	69	2439	79	2440	89	2441	99	2442	109	2443	119	2444	129	24440	139	24441	149	24442	159	24443	169	24444	179	Rương Bí Cảnh Đội-Bạch Ngân (Nhận Lại Phần Thưởng) 
68	2445	59	2446	79																											
69	2456	39	2457	49	2458	59	2459	69	2460	79	2461	89	2462	99	2463	109	2464	119	24640	129	24641	139	24642	149	24643	159	24644	169	24645	179	Rương Trừng Ác-Bạch Ngân (Nhận Lại Phần Thưởng) 
70	2465	39	2466	49	2467	59	2468	69	2469	79	2470	89	2471	99	2472	109	2473	119	24730	129	24731	139	24732	149	24733	159	24734	169	24735	179	Rương Thương Hội-Bạch Ngân (Nhận Lại Phần Thưởng) 
71	2484	39	2485	49	2486	59	2487	69	2488	79	2489	89	2490	99	2491	109	2492	119	24920	129	24921	139	24922	149	24923	159	24924	169	24925	179	Rương Khiêu Chiến Anh Hùng-Bạch Ngân (Nhận Lại Phần Thưởng) 
72	2493	39	2494	49	2495	59	2496	69	2497	79	2498	89	2499	99	2500	109	2501	119	25010	129	25011	139	25012	149	25013	159	25014	169	25015	179	Rương Thông Thiên Tháp-Bạch Ngân (Nhận Lại Phần Thưởng) 
76	1448	59	1449	69	1450	79	1451	89	1452	99	4430	109	4431	120																	Rương Thi Đấu Môn Phái
77	2366	59	2367	89	2368	99																									Rương Lăng Tuyệt Phong-Hoàng Kim
