ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
1	3106		OpenLevel69	3106		OpenLevel79	3107		OpenLevel89	3108		OpenLevel99	3109		OpenLevel109	31090		OpenLevel119	31091		OpenLevel129	31092											Bùa Chưa Giám Định (Lớn)
2	3110		OpenLevel69	3110		OpenLevel79	3111		OpenLevel89	3112		OpenLevel99	3113		OpenLevel109	31130		OpenLevel119	31131		OpenLevel129	31132											Bùa Chưa Giám Định (Nhỏ)
3	22300		OpenLevel49	22301		OpenDay52	22302		OpenDay128	22303		OpenLevel109	22304																				Vũ Khí Bổn Mạng SS
4	22305		OpenDay7	22306		OpenDay35	22307		OpenDay116	22308																							Vũ Khí Bổn Mạng S
5	2897	Dùng nhận được [FFFE0D]Thủy Tinh Trắng x12, Hoàng Kim Chiêu Mộ Lệnh x1, 80 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Minh Chủ Lệnh, Trang Bị Hiếm Bậc 3, Đá Hồn Lv2 Ngẫu Nhiên hoặc Đá Hồn Lv1 Ngẫu Nhiên[-].	OpenLevel59	28970	Dùng nhận được [FFFE0D]Thủy Tinh Trắng x16, Hoàng Kim Chiêu Mộ Lệnh x1, 80 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 4, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel69	28971	Dùng nhận được [FFFE0D]Thủy Tinh Lục x8, Tẩy Tủy Đơn x1, 80 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 5, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel79	28972	Dùng nhận được [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 80 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 6, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel89	28973	Dùng nhận được [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 7, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel99	28974	Dùng nhận được [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 8, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel109	28975	Dùng nhận được [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 9, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel119	28976	Dùng nhận được [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, Tàng Bảo Đồ x2, 2000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 10, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel129	28977	Dùng nhận [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, 2000 Bạc, Tàng Bảo Đồ x2[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 11, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel139	28978	Dùng nhận [FFFE0D]Thủy Tinh Lục x10, Rương Hoàng Kim x1, 100 Nguyên Bảo, 2000 Bạc, Tàng Bảo Đồ x2[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 12, Đá Hồn Lv4 Ngẫu Nhiên, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel149	28979	Dùng chắc chắn nhận [FFFE0D]Thủy Tinh Lam x3, 100 Nguyên Bảo, 2000 Bạc, Bí Quyển Trận Pháp Cổ x1[-]. Đồng thời có xác suất được tặng thêm [FFFE0D]Hòa Thị Bích, Đá Hồn Lv4 Ngẫu Nhiên hoặc Mảnh Trang Bị Thú Cưỡi Xích Kim Ngự Thiên[-]. 	Quà Siêu Giá Trị 1 VNĐ (Đặc Biệt)
6	2898	Dùng nhận được [FFFE0D]Thủy Tinh Trắng x18, Đá Hồn Lv1 Ngẫu Nhiên x1, Tẩy Tủy Đơn x2, 160 Nguyên Bảo, 500 Cống Hiến[-] và có tỉ lệ nhận thêm [FFFE0D]Minh Chủ Lệnh, Trang Bị Hiếm Bậc 3, Đá Hồn Lv2 Ngẫu Nhiên hoặc Đá Hồn Lv1 Ngẫu Nhiên[-].	OpenLevel59	28980	Dùng nhận được [FFFE0D]Thủy Tinh Trắng x20, Đá Hồn Lv2 Ngẫu Nhiên x1, Tẩy Tủy Đơn x2, 160 Nguyên Bảo, 500 Cống Hiến[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 4, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel69	28981	Dùng nhận được [FFFE0D]Thủy Tinh Lục x12, Đá Hồn Lv2 Ngẫu Nhiên x1, Bình Nguyên Khí x1, 160 Nguyên Bảo, Sách Tu Vi-Sơ x3[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 5, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel79	28982	Dùng nhận được [FFFE0D]Thủy Tinh Lục x16, Bình Nguyên Khí x1, 160 Nguyên Bảo, Tín Vật Môn Phái x1, Bùa Chưa Giám Định x1[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 6, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel89	28983	Dùng nhận được [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí x1, 160 Nguyên Bảo, Tín Vật Môn Phái x1, Bùa Chưa Giám Định x1[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 7, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel99	28984	Dùng nhận được [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí x1, 160 Nguyên Bảo, Tín Vật Môn Phái x1, Bùa Chưa Giám Định x1[-] và có tỉ lệ nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 8, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel109	28985	Dùng nhận được [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí x1, 160 Nguyên Bảo, Tẩy Tủy Đơn x2, 10000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 9, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel119	28986	Dùng nhận được [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí x1, 160 Nguyên Bảo, 1000 Cống Hiến, 10000 Bạc[-] và có tỉ lệ nhận thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 10, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel129	28987	Dùng nhận [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí (Nhỏ) x1, 160 Nguyên Bảo, 1000 Cống Hiến, 10000 Bạc[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 11, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel139	28988	Dùng nhận [FFFE0D]Thủy Tinh Lục x18, Bình Nguyên Khí (Nhỏ) x1, 160 Nguyên Bảo, 1000 Cống Hiến, 10000 Bạc[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Trang Bị Hiếm Bậc 12, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel149	28989	Dùng chắc chắn nhận [FFFE0D]Thủy Tinh Lam x5, Bình Nguyên Khí (Nhỏ) x1, 160 Nguyên Bảo, Bùa Chưa Giám Định x1, 10000 Bạc[-]. Đồng thời có xác suất được tặng thêm [FFFE0D]Hòa Thị Bích, Hoàng Đế Lệnh hoặc Mảnh Trang Bị Thú Cưỡi Xích Kim Ngự Thiên[-]. 	Quà Siêu Giá Trị 10,000 VNĐ (Đặc Biệt)
7	2899	Dùng nhận được [FFFE0D]Đá Hồn Lv2 Ngẫu Nhiên x1, 220 Nguyên Bảo, Tư Chất Đơn x1, Rương Hoàng Kim x5, 800 Cống Hiến[-] và có tỉ lệ nhận thêm [FFFE0D]Minh Chủ Lệnh, Trang Bị Hiếm Bậc 3 hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel59	28990	Dùng nhận được [FFFE0D]Đá Hồn Lv2 Ngẫu Nhiên x1, 220 Nguyên Bảo, Tư Chất Đơn x2, Rương Hoàng Kim x5, 1000 Cống Hiến[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 4 hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel69	28991	Dùng nhận được [FFFE0D]Bình Nguyên Khí x1, Thủy Tinh Lục x20, 220 Nguyên Bảo, Rương Hoàng Kim x5, 1500 Cống hiến[-] và có tỉ lệ nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 5 hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel79	28992	Dùng nhận [FFFE0D]Thủy Tinh Lam x8, Bình Nguyên Khí x1,320 Nguyên Bảo, Rương Hoàng Kim x5, 2000 Cống Hiến[-]. Có cơ hội được tặng thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 6, 1000 Chân Khí hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel89	28993	Dùng nhận [FFFE0D]Thủy Tinh Lam x8, Bình Nguyên Khí x1, 320 Nguyên Bảo, Rương Hoàng Kim x5, Tín Vật Môn Phái x2, 2000 Cống Hiến[-]. Có cơ hội được tặng thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 7, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel99	28994	Dùng nhận [FFFE0D]Thủy Tinh Tím x2, Bình Nguyên Khí x2, 320 Nguyên Bảo, Tín Vật Môn Phái x2, Tư Chất Đơn x2, 2000 Cống Hiến[-]. Có cơ hội được tặng thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 8, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel109	28995	Dùng nhận [FFFE0D]Thủy Tinh Tím x2, Bình Nguyên Khí x2, 320 Nguyên Bảo, Bùa Chưa Giám Định x2, Rương Hoàng Kim x5, 2000 Cống Hiến[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Hòa Thị Bích, Mảnh Trang Bị Thú Cưỡi Ngự Thiên, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel119	28996	Dùng nhận [FFFE0D]Thủy Tinh Tím x2, Bình Nguyên Khí x2, 320 Nguyên Bảo, Bùa Chưa Giám Định x2, Rương Hoàng Kim x5, 2500 Cống Hiến[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Hòa Thị Bích, Mảnh Trang Bị Thú Cưỡi Ngự Thiên, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel129	28997	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x2, Thủy Tinh Tím x2, 2500 Cống Hiến, 320 Nguyên Bảo, Bùa Chưa Giám Định x2, Rương Hoàng Kim x5[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Hòa Thị Bích, Mảnh Trang Bị Thú Cưỡi Ngự Thiên, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel139	28998	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x2, Thủy Tinh Tím x2, 2500 Cống Hiến, 320 Nguyên Bảo, Bùa Chưa Giám Định x2, Rương Hoàng Kim x5[-]. Có cơ hội được tặng thêm [FFFE0D]Hoàng Đế Lệnh, Hòa Thị Bích, Mảnh Trang Bị Thú Cưỡi Ngự Thiên, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel149	28999	Dùng chắc chắn nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x2, Thủy Tinh Tím x2, 2500 cống hiến, 320 Nguyên Bảo, Bùa Chưa Giám Định x2, Mật Tịch Trận Pháp Kế Thừa x1[-]. Đồng thời có xác suất được tặng thêm [FFFE0D]1000Chân Khí, Hoàng Đế Lệnh, Mảnh Trang Bị Thú Cưỡi Xích Kim Ngự Thiên hoặc Bát Hoang Linh-Hiếm[-]. 	Quà Siêu Giá Trị 20,000 VNĐ (Đặc Biệt)
8	25180	Dùng nhận [FFFE0D]Thủy Tinh Trắng x6, Đá Hồn Lv1 Ngẫu Nhiên x1, Tẩy Tủy Đơn x1, 30 Nguyên Bảo, 200 Cống Hiến[-] đồng thời may mắn nhận thêm [FFFE0D]Minh Chủ Lệnh, Trang Bị Hiếm Bậc 3, Đá Hồn Lv2 Ngẫu Nhiên hoặc Đá Hồn Lv1 Ngẫu Nhiên[-].	OpenLevel59	25181	Dùng nhận [FFFE0D]Thủy Tinh Trắng x6, Đá Hồn Lv1 Ngẫu Nhiên x1, Tẩy Tủy Đơn x1, 30 Nguyên Bảo, 200 Cống Hiến[-] đồng thời may mắn nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 4, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel69	25182	Dùng nhận [FFFE0D]Thủy Tinh Lục x2, Bình Nguyên Khí-Nhỏ x1, 30 Nguyên Bảo, 200 Cống Hiến[-] đồng thời may mắn nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 5, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel79	25183	Dùng nhận [FFFE0D]Thủy Tinh Lam x1, Bình Nguyên Khí (Nhỏ) x1, 30 Nguyên Bảo, 200 Cống Hiến[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 6, Đá Hồn Lv3 Ngẫu Nhiên hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel89	25184	Dùng nhận [FFFE0D]Thủy Tinh Lam x1, Bình Nguyên Khí (Nhỏ) x1, 30 Nguyên Bảo, 300 Cống Hiến[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 7, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel99	25185	Dùng nhận [FFFE0D]Thủy Tinh Lam x1, Bình Nguyên Khí (Nhỏ) x1, 30 Nguyên Bảo, 300 Cống Hiến[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang bị Hiếm Bậc 8, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel109	25186	Dùng nhận [FFFE0D]Thủy Tinh Lam x1, Bình Nguyên Khí (Nhỏ) x1, 50 Nguyên Bảo, 300 Cống Hiến[-] và có cơ hội nhận thêm [FFFE0D]Hoàng Đế Lệnh, Trang bị Hiếm Bậc 9, Đá Hồn Lv4 Ngẫu Nhiên hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel119	25187	Dùng nhận [FFFE0D]Thủy Tinh Lam x1, Bình Nguyên Khí (Nhỏ) x1, 50 Nguyên Bảo, 300 Cống Hiến[-]. 	OpenLevel129	25188	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Thủy Tinh Lam x1, 50 Nguyên Bảo và Bùa Chưa Giám Định x1[-]. 	OpenLevel139	25189	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Thủy Tinh Lam x1, 50 Nguyên Bảo và Bùa Chưa Giám Định x1[-]. 	OpenLevel149	251810	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Thủy Tinh Lam x1, 50 Nguyên Bảo và Bùa Chưa Giám Định x1[-]. 	Quà Siêu Giá Trị 10,000 VNĐ(Trong Nước)
9	25190	Dùng nhận [FFFE0D]Đá Hồn Lv2 Ngẫu Nhiên x1, 80 Nguyên Bảo, 500 Cống Hiến[-] đồng thời may mắn nhận thêm [FFFE0D]Minh Chủ Lệnh, Trang Bị Hiếm Bậc 3 hoặc Đá Hồn Lv2 Ngẫu Nhiên[-].	OpenLevel59	25191	Dùng nhận [FFFE0D]Đá Hồn Lv2 Ngẫu Nhiên x1, 80 Nguyên Bảo, 500 Cống Hiến[-] đồng thời may mắn nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 4 hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel69	25192	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, 80 Nguyên Bảo, 500 Cống hiến, Bùa Chưa Giám Định x1[-] và có cơ hội nhận thêm [FFFE0D]Danh Tướng Lệnh, Trang Bị Hiếm Bậc 5 hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel79	25193	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Bùa Chưa Giám Định x1, 80 Nguyên Bảo, 500Cống hiến[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang Bị Hiếm Bậc 6, 1000 Chân Khí hoặc Đá Hồn Lv3 Ngẫu Nhiên[-].	OpenLevel89	25194	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Bùa Chưa Giám Định x1, 80 Nguyên Bảo, 500Cống hiến[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang bị Hiếm Bậc 7, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel99	25195	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, 600 Cống hiến, 80 Nguyên Bảo, Bùa Chưa Giám Định x1[-] và có cơ hội nhận thêm [FFFE0D]Trục Lộc Lệnh, Trang bị Hiếm Bậc 8, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel109	25196	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, 1000 Cống hiến, 80 Nguyên Bảo, Bùa Chưa Giám Định x1[-] và có cơ hội nhận thêm [FFFE0D]Hoàng Đế Lệnh, Hòa Thị Bích, Mảnh Trang Bị Thú Cưỡi Ngự Thiên, 1000 Chân Khí hoặc Đá Hồn Lv4 Ngẫu Nhiên[-].	OpenLevel119	25197	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, 1000 Cống hiến, 80 Nguyên Bảo, Bùa Chưa Giám Định x1[-]. 	OpenLevel129	25198	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Mật Tịch Trận Pháp Kế Thừa x1, 80 Nguyên Bảo, Bùa Chưa Giám Định x1. 	OpenLevel139	25199	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Mật Tịch Trận Pháp Kế Thừa x1, 80 Nguyên Bảo, Bùa Chưa Giám Định x1[-]. 	OpenLevel149	251910	Dùng nhận [FFFE0D]Bình Nguyên Khí (Nhỏ) x1, Mật Tịch Trận Pháp Kế Thừa x1, 80 Nguyên Bảo, Bùa Chưa Giám Định x1[-]. 	Quà Siêu Giá Trị 20,000 VNĐ(Trong Nước)
10	22164		OpenLevel59	22165		OpenLevel69	22166		OpenLevel79	22167		OpenLevel89	22168		OpenLevel99	22169																	Rương Đá Hồn Lv3
