ClassParamID	Desc	Probability	Name	Item	DebtReplaceItem	OtherType	SubType	Amount	ForbidStall	Add2Auction	TimeLimit	WorldMsg	FriendMsg	KinMsg	TeamMsg	CloseWorldMsg	CloseFriendMsg	CloseKinMsg	CloseTeamMsg	DateLimit
1		0	100 Bạc			Coin		100												
1		0	1 Đá Hồn Đồng Hành			PartnerStone	9	10												
1		5	1 Bình Sinh Lực-Nhỏ	579				1				5		3						
1		5	2 Bình Sinh Lực-Nhỏ	579				2												
2		0	200 Bạc			Coin		200												
2		0	20 Nguyên Bảo			Gold		20												
2		5	1 Bình Sinh Lực-Nhỏ	579				1						3						
2		5	2 Bình Sinh Lực-Nhỏ	579				2												
3		0	300 Bạc			Coin		300												
3		0	30 Nguyên Bảo			Gold		30												
3		5	1 Bình Sinh Lực-Nhỏ	579				1				5		3						
3		5	2 Bình Sinh Lực-Nhỏ	579				2												
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	95200	Dây Chuyền Hiếm T2	1133				1						13						
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	476200	Dây Chuyền Kế Thừa T2	1621				1												
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	15900	Đá Hồn Dương Thiết Tâm	1731				1				13		13						
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	14300	3000 Cống Hiến			Contrib		3000						13						
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	28500	2000 Cống Hiến			Contrib		2000						13						
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	74250	1000 Cống Hiến			Contrib		1000												
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	117050	800 Cống Hiến			Contrib		800												
749	Rương Võ Thần-Hoàng Kim (Lv1-39)	178600	500 Cống Hiến			Contrib		500												
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	34300	Dây Chuyền Hiếm T3	1134				1				13		13						
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	250000	Dây Chuyền Kế Thừa T3	1622				1						13						
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	15900	Đá Hồn Dương Thiết Tâm	1731				1				13		13						
750	Rương Võ Thần-Hoàng Kim (Lv40-49)	2400	3000 Cống Hiến			Contrib		3000						13						
