ItemId	HoleCount	
106	3	【Hiếm】Vũ Khí Bậc 6
107	3	【Hiếm】Vũ Khí Bậc 7
108	3	【Hiếm】Vũ Khí Bậc 8
109	3	【Hiếm】Vũ Khí Bậc 9
110	3	【Hiếm】Vũ Khí Bậc 10
5001	3	【Hiếm】Vũ Khí Bậc 11
5002	3	【Hiếm】Vũ Khí Bậc 12
5003	3	【Hiếm】Vũ Khí Bậc 13
5004	3	【Hiếm】Vũ Khí Bậc 14
5005	3	【Hiếm】Vũ Khí Bậc 15
5006	3	【Hiếm】Vũ Khí Bậc 16
5007	3	【Hiếm】Vũ Khí Bậc 17
5008	3	【Hiếm】Vũ Khí Bậc 18
5009	3	【Hiếm】Vũ Khí Bậc 19
5010	3	【Hiếm】Vũ Khí Bậc 20
2764	3	【Hoàng Kim】Vũ Khí Bậc 6
2765	3	【Hoàng Kim】Vũ Khí Bậc 7
2766	3	【Hoàng Kim】Vũ Khí Bậc 8
3619	3	【Hoàng Kim】Vũ Khí Bậc 9
3620	3	【Hoàng Kim】Vũ Khí Bậc 10
5360	3	【Hoàng Kim】Vũ Khí Bậc 11
5361	3	【Hoàng Kim】Vũ Khí Bậc 12
5362	3	【Hoàng Kim】Vũ Khí Bậc 13
5363	3	【Hoàng Kim】Vũ Khí Bậc 14
5364	3	【Hoàng Kim】Vũ Khí Bậc 15
5365	3	【Hoàng Kim】Vũ Khí Bậc 16
