Type	Faction	SkillBookID	DESC
1	1	2398	Bí Kíp Nhất Kích Sát Thần
2	1	2401	Bí Kíp Huyết Chiến Bát Phương
3	1	2719	Bí Kíp Kim Chung Tráo
4	1	2402	Bí Kíp Bá Vương Nộ Hống
1	2	2720	Bí Kíp Giang Hải Ngưng Ba
2	2	2403	Bí Kíp Thiên Vũ Bảo Luân
3	2	2404	Bí Kíp Từ Hàng Phổ Độ
4	2	2405	Bí Kíp Bạch Lộ Ngưng Sương
1	3	2409	Bí Kíp Phi Hỏa Lưu Tinh
2	3	2722	Bí Kíp Cửu Diệu Liên Châu
3	3	2410	Bí Kíp Hỏa Phượng Liêu Nguyên
4	3	2411	Bí Kíp Xuyên Vân Phá Nguyệt
1	4	2721	Bí Kíp Bạch Hồng Quán Nhật
2	4	2406	Bí Kíp Thất Thám Xà Bàn
3	4	2407	Bí Kíp Đẩu Chuyển Tinh Di
4	4	2408	Bí Kíp Phong Quyển Tàn Vân
1	5	2412	Bí Kíp-Vô Ngã Vô Kiếm
2	5	2414	Bí Kíp Thiên Địa Vô Cực
3	5	2413	Bí Kíp Tọa Vọng Vô Ngã
4	5	2723	Bí Kíp Nhân Kiếm Hợp Nhất
1	6	2724	Bí Kíp Tử Vong Hồi Toàn
2	6	2415	Bí Kíp Ma Diệm Tại Thiên
3	6	2416	Bí Kíp Huyết Nguyệt Chi Ảnh
4	6	2417	Bí Kíp Nhiếp Hồn Loạn Tâm
1	7	2713	Bí Kíp Hàng Long Côn
2	7	2714	Bí Kíp Đại Lực Kim Cang Chỉ
3	7	2715	Bí Kíp Kim Cang Phục Ma
4	7	2749	Bí Kíp Thập Nhị Cầm Long Thủ
1	8	2716	Bí Kíp Tuyền Cơ La Vũ
2	8	2717	Bí Kíp Vũ Đả Lê Hoa
3	8	2718	Bí Kíp Triệu Hồi Bảo Bảo
4	8	2750	Bí Kíp Băng Tung Vô Ảnh
1	9	3267	Bí Kíp Triền Thân Thích
2	9	3268	Bí Kíp Bạo Vũ Lê Hoa
3	9	3269	Bí Kíp Mê Ảnh Tung
4	9	3270	Bí Kíp Cửu Cung Phi Tinh
1	10	3271	Bí Kíp Tiên Nhân Chỉ Lộ
2	10	3272	Bí Kíp Tiếu Phong Tam Liên Kích
3	10	3273	Bí Kíp Hỗn Độn Kiếm Trận
4	10	3274	Bí Kíp Lôi Động Cửu Thiên
1	11	4021	Bí Kíp Hàng Long Hữu Hối
2	11	4022	Bí Kíp Khốn Long Công
3	11	4023	Bí Kíp Túy Điệp Cuồng Vũ
4	11	4024	Bí Kíp Long Chiến Vu Dã
1	12	4025	Bí Kíp Âm Phong Thực Cốt
2	12	4026	Bí Kíp Triệu Hồi Độc Trùng
3	12	4027	Bí Kíp Mê Tâm Cổ
4	12	4028	Bí Kíp Vạn Cổ Thực Tâm
1	13	5201	Bí Kíp Đoạn Triều
2	13	5202	Bí Kíp Tâm Kiếm
3	13	5203	Bí Kíp Ngọc Tuyền Ngư Dược
4	13	5204	Bí Kíp Phong Tháp Vân Cảnh
1	14	5205	Bí Kíp Bình Sa Nhạn Lạc
2	14	5206	Bí Kíp Vân Sinh Kết Hải
3	14	5207	Bí Kíp Thanh Âm Trường Khiếu
4	14	5208	Bí Kíp Giang Trục Nguyệt Thiên
1	15	6675	Bí Kíp Phi Yến Lăng Ba
2	15	6674	Bí Kíp Ngân Bình Ngọc Toái
3	15	6676	Bí Kíp Không Sơn Ngưng Vân
4	15	6677	Bí Kíp Thủy Long Ngâm
1	16	7520	Bí Kíp Hóa Huyết Kiếp Quang-Sơ
2	16	7521	Bí Kíp Hiệp Sơn Siêu Hải-Sơ
3	16	7522	Bí Kíp Nghịch Huyết Tiệt Mạch-Sơ
4	16	7523	Bí Kíp Dục Huyết Đạo Phong-Sơ
1	17	8445	Bí Kíp Tiêu Sử Thừa Long-Sơ
2	17	8446	Bí Kíp Thiên Thân Đảo Huyền-Sơ
3	17	8447	Bí Kíp Triều Dương Kiếm Khí-Sơ
4	17	8448	Bí Kíp Phong Tống Tử Hà-Sơ
1	18	9879	Bí Kíp Phần Sơn Phệ Xuyên-Sơ
2	18	9880	Bí Kíp Điện Quang Thạch Hỏa-Sơ
3	18	9881	Bí Kíp Hỏa Quang Tàn Ảnh-Sơ
4	18	9882	Bí Kíp Hủy Thiên Diệt Địa-Sơ
1	19	10537	Bí Kíp Nhất Dương Chỉ-Sơ
2	19	10538	Bí Kíp Ngũ La Khinh Yên-Sơ
3	19	10539	Bí Kíp Lục Mạch Thần Kiếm-Sơ
4	19	10540	Bí Kíp Thủy Long Ngục-Sơ
1	20	11273	Bí Kíp Chấp Dĩnh Điểm Mặc-Sơ
2	20	11274	Bí Kíp Lan Tồi Ngọc Chiết-Sơ
3	20	11275	Bí Kíp Mặc Hổ Như Sinh-Sơ
4	20	11276	Bí Kíp Hội Hổ Điểm Tình-Sơ
5	1	2725	Bí Kíp Nhất Kích Sát Thần-Trung
6	1	2726	Bí Kíp Huyết Chiến Bát Phương-Trung
7	1	2728	Bí Kíp Kim Chung Tráo-Trung
8	1	2727	Bí Kíp Bá Vương Nộ Hống-Trung
5	2	2732	Bí Kíp Giang Hải Ngưng Ba-Trung
6	2	2729	Bí Kíp Thiên Vũ Bảo Luân-Trung
7	2	2730	Bí Kíp Từ Hàng Phổ Độ-Trung
8	2	2731	Bí Kíp Bạch Lộ Ngưng Sương-Trung
5	3	2737	Bí Kíp Phi Hỏa Lưu Tinh-Trung
6	3	2740	Bí Kíp Cửu Diệu Liên Châu-Trung
