AttribType	Level	Value1	Value2	Value3
lifemax_v	1	40		
lifemax_v	2	80		
lifemax_v	3	120		
lifemax_v	4	160		
lifemax_v	5	200		
lifemax_v	6	240		
lifemax_v	7	280		
lifemax_v	8	320		
lifemax_v	9	360		
lifemax_v	10	400		
lifemax_v	11	440		
lifemax_v	12	480		
lifemax_v	13	520		
lifemax_v	14	560		
lifemax_v	15	600		
lifemax_v	16	640		
lifemax_v	17	680		
lifemax_v	18	720		
lifemax_v	19	760		
lifemax_v	20	800		
lifemax_v	21	840		
lifemax_v	22	880		
lifemax_v	23	920		
lifemax_v	24	960		
lifemax_v	25	1000		
lifemax_v	26	1040		
lifemax_v	27	1080		
lifemax_v	28	1120		
lifemax_v	29	1160		
lifemax_v	30	1200		
lifemax_v	31	1240		
lifemax_v	32	1280		
lifemax_v	33	1320		
lifemax_v	34	1360		
lifemax_v	35	1400		
lifemax_v	36	1440		
lifemax_v	37	1480		
lifemax_v	38	1520		
lifemax_v	39	1560		
lifemax_v	40	1600		
lifemax_v	41	1640		
lifemax_v	42	1680		
lifemax_v	43	1720		
lifemax_v	44	1760		
lifemax_v	45	1800		
lifemax_v	46	1840		
lifemax_v	47	1880		
lifemax_v	48	1920		
lifemax_v	49	1960		
lifemax_v	50	2000		
lifemax_v	51	2040		
lifemax_v	52	2080		
lifemax_v	53	2120		
lifemax_v	54	2160		
lifemax_v	55	2200		
lifemax_v	56	2240		
lifemax_v	57	2280		
lifemax_v	58	2320		
lifemax_v	59	2360		
lifemax_v	60	2400		
lifemax_v	61	2440		
lifemax_v	62	2480		
lifemax_v	63	2520		
lifemax_v	64	2560		
lifemax_v	65	2600		
lifemax_v	66	2640		
lifemax_v	67	2680		
lifemax_v	68	2720		
lifemax_v	69	2760		
lifemax_v	70	2800		
lifemax_v	71	2840		
lifemax_v	72	2880		
lifemax_v	73	2920		
lifemax_v	74	2960		
lifemax_v	75	3000		
lifemax_v	76	3040		
lifemax_v	77	3080		
lifemax_v	78	3120		
lifemax_v	79	3160		
lifemax_v	80	3200		
lifemax_v	81	3280		
lifemax_v	82	3360		
lifemax_v	83	3440		
lifemax_v	84	3520		
lifemax_v	85	3600		
lifemax_v	86	3680		
lifemax_v	87	3760		
lifemax_v	88	3840		
lifemax_v	89	3920		
lifemax_v	90	4000		
lifemax_v	91	4100		
lifemax_v	92	4200		
lifemax_v	93	4300		
