ChangeId	Desc	Part	CharmExtern	ColorItem1	ConsumeItem1	ConsumeCount1	ColorItem2	ConsumeItem2	ConsumeCount2	ColorItem3	ConsumeItem3	ConsumeCount3	ColorItem4	ConsumeItem4	ConsumeCount4	ColorItem5	ConsumeItem5	ConsumeCount5	ColorItem6	ConsumeItem6	ConsumeCount6	ColorItem7	ConsumeItem7	ConsumeCount7	ColorItem8	ConsumeItem8	ConsumeCount8	NameFacionMale1	NameFacionFemale1	NameFacionFemale2	NameFacionFemale3	NameFacionMale4	NameFacionFemale4	NameFacionMale5	NameFacionFemale5	NameFacionFemale6	NameFacionMale7	NameFacionFemale8	NameFacionMale9	NameFacionMale10	NameFacionFemale10	NameFacionMale11	NameFacionFemale12	NameFacionMale13	NameFacionFemale14	NameFacionMale15	NameFacionFemale15	NameFacionMale16	NameFacionFemale16	NameFacionMale17	NameFacionFemale17	NameFacionMale18	NameFacionFemale18	NameFacionMale19	NameFacionFemale19			
1	Ngoại Trang T1 (Nón)-Giới Hạn	0	4	2516	2569	1																						Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Ngọc Vân Ca			
2	Ngoại Trang T1 (Nón)	0	10	2512	2569	1	2513	2569	2	2514	2569	2	2515	2569	2	6829	2569	2										Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Ngạo Huyết Đan Thanh	Ngoại Trang: Thanh Ngọc Vân Ca	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Đăng Duệ Ảnh	Ngoại Trang: Thiên Diệp Sâm La	Ngoại Trang: Thanh Ngọc Vân Ca			
3	Ngoại Trang T2 (Hoa)	0	32	2702	2569	1	2703	2569	5	2704	2569	5	2705	2569	5	3025	2569	5	3026	2569	5	3027	2569	5	3028	2569	5	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Anh Lạc Trường Không			
4	Ngoại Trang T3 (Áo Năm Mới)	0	32	3259	2569	1	3260	2569	5	3261	2569	5	3262	2569	5	6830	2569	5										Ngoại Trang: Bát Phương Vân Động	Ngoại Trang: Mặc Chỉ U Lan	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Mặc Chỉ U Lan	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bát Phương Vân Động	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Bát Phương Vân Động	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bát Phương Vân Động	Ngoại Trang: Mặc Chỉ U Lan	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bát Phương Vân Động	Ngoại Trang: Mặc Chỉ U Lan	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Ngạo Hàn Tố Tuyết	Ngoại Trang: Bạch Ngọc Lang Hoàn	Ngoại Trang: Mặc Chỉ U Lan			
5	Ngoại Trang T4 (Bát Gia Tướng)	0	47	3263	2569	1	3264	2569	10	3265	2569	10	3266	2569	10													Ngoại Trang: Huyền Giáp Thiết Kỵ	Ngoại Trang: Già Lam Thính Vũ	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Già Lam Thính Vũ	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Huyền Giáp Thiết Kỵ	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Huyền Giáp Thiết Kỵ	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Huyền Giáp Thiết Kỵ	Ngoại Trang: Già Lam Thính Vũ	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Huyền Giáp Thiết Kỵ	Ngoại Trang: Già Lam Thính Vũ	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Vũ Lạc Trần Thương	Ngoại Trang: Mặc Ngữ Vô Trần	Ngoại Trang: Già Lam Thính Vũ			
6	Ngoại Trang T4 (Bát Gia Tướng) Thịnh Điển Hoa Phục (Hạn)	0	22	3568	2569	1																						Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục	Ngoại Trang: Thịnh Điển Hoa Phục			
7	Ngoại Trang T5 (Hắc Bang, Cảng Đài)	0	47	3870	2569	1	3871	2569	10	3872	2569	10	3873	2569	10													Ngoại Trang: Cuồng Khách	Ngoại Trang: Mị Linh	Ngoại Trang: Quyến Giả	Ngoại Trang: Mị Linh	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Quyến Giả	Ngoại Trang: Cuồng Khách	Ngoại Trang: Quyến Giả	Ngoại Trang: Tà Hiệp	Ngoại Trang: Cuồng Khách	Ngoại Trang: Quyến Giả	Ngoại Trang: Cuồng Khách	Ngoại Trang: Mị Linh	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Cuồng Khách	Ngoại Trang: Mị Linh	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Tà Hiệp	Ngoại Trang: Quyến Giả	Ngoại Trang: Tà Hiệp	Ngoại Trang: Mị Linh			
8	Lễ Phục Mừng Sinh Nhật-Giới Hạn	0	7	4743	2569	1																						Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật			
9	Lễ Phục Mừng Sinh Nhật	0	47	4892	2569	1																						Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật	Ngoại Trang: Lễ Phục Mừng Sinh Nhật			
103	Ngoại Trang T2 (Hoa)-Giới Hạn	0	4	4481	2569	1																						Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Thiết Huyết Long Đảm	Ngoại Trang: Anh Lạc Trường Không	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Mẫu Đơn Vọng Nguyệt	Ngoại Trang: Quân Tử Như Phong	Ngoại Trang: Anh Lạc Trường Không			
