BuildingId	Level	MainBuildingLimit	LevelUpCost	Desc
1	1	1	0	●  Cấp Chính Điện là cấp của Bang Hội\n●  Tăng cấp Chính Điện để xây dựng Tác Phường khác\n●  Cấp Tác Phường không thể vượt quá cấp Chính Điện\n●  Chính Điện đạt [FFFE0D]Lv2[-] tăng [FFFE0D]1[-] suất chức vị Trưởng Lão\n●  Chính Điện đạt [FFFE0D]Lv2[-] sẽ mở [FFFE0D]Binh Giáp Phường[-], [FFFE0D]Phòng Cụ Phường[-], [FFFE0D]Trang Sức Phường[-]
1	2	1	600000	●  Cấp Chính Điện là cấp của Bang Hội\n●  Tăng cấp Chính Điện để xây dựng Tác Phường khác\n●  Cấp Tác Phường không thể vượt quá cấp Chính Điện\n●  Chính Điện đạt [FFFE0D]Lv3[-] tăng [FFFE0D]2[-] suất chức vị Trưởng Lão
1	3	1	1800000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	4	1	3600000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	5	1	7200000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	6	1	15000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	7	1	30000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	8	1	60000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	9	1	90000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	10	1	120000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	11	1	150000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	12	1	180000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	13	1	200000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
1	14	1	220000000	● Cấp Chính Điện là cấp bang hội.\n● Tăng cấp Chính Điện để mở các Tác Phường khác.\n● Cấp Tác Phường không được cao hơn cấp Chính Điện.
4	1	1	0	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	2	2	250000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	3	3	500000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	4	4	1000000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	5	5	2000000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	6	6	4000000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	7	7	8000000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
4	8	8	16000000	● Tích trữ quỹ xây dựng và Hộp Quà Bang Hội.\n● Cấp càng cao, cấp hộp quà nhận càng cao.
