nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin	nKind
1	1	Số lần nạp	1	100	500_200_100	15	5	1
2	2	【Kiếm Hiệp】Cấp	6	500	2500_1000_500	30	5	1
3	2	【Kiếm Hiệp】Cấp	9	1500	7500_3000_1500	50	15	1
4	2	【Kiếm Hiệp】Cấp	12	5000	25000_10000_5000	100	50	3
5	2	【Kiếm Hiệp】Cấp	15	15000	75000_30000_15000	100	150	3
61	2	【Kiếm Hiệp】Cấp	18	30000	150000_60000_30000	100	300	3
6	3	Hạng Võ Thần Điện	100	100	500_200_100	10	5	1
7	3	Hạng Võ Thần Điện	10	300	1500_600_300	30	5	1
8	3	Hạng Võ Thần Điện	1	1000	5000_2000_1000	50	10	3
9	4	Toàn thân cường hóa 	20	100	500_200_100	15	5	1
10	4	Toàn thân cường hóa 	40	200	1000_400_200	20	5	1
11	4	Toàn thân cường hóa 	50	400	2000_800_400	30	5	1
12	4	Toàn thân cường hóa 	60	600	3000_1200_600	40	6	1
13	4	Toàn thân cường hóa 	70	1500	7500_3000_1500	50	15	1
14	4	Toàn thân cường hóa 	80	2000	10000_4000_2000	50	20	1
15	4	Toàn thân cường hóa 	90	5000	25000_10000_5000	100	50	1
16	4	Toàn thân cường hóa 	100	15000	75000_30000_15000	100	150	1
17	5	Toàn thân khảm đầy 	1	100	500_200_100	15	5	1
18	5	Toàn thân khảm đầy 	2	200	1000_400_200	20	5	1
19	5	Toàn thân khảm đầy 	3	400	2000_800_400	30	5	1
20	5	Toàn thân khảm đầy 	4	600	3000_1200_600	40	6	1
21	5	Toàn thân khảm đầy 	5	1500	7500_3000_1500	50	15	1
22	5	Toàn thân khảm đầy 	6	5000	25000_10000_5000	100	50	1
23	5	Toàn thân khảm đầy 	7	15000	75000_30000_15000	100	150	1
24	6	Quân Hàm	4	100	500_200_100	15	5	3
25	6	Quân Hàm	5	200	1000_400_200	20	5	3
26	6	Quân Hàm	6	400	2000_800_400	30	5	3
27	6	Quân Hàm	7	600	3000_1200_600	40	6	3
28	6	Quân Hàm	8	1200	6000_2400_1200	50	12	3
29	6	Quân Hàm	9	2000	10000_4000_2000	60	20	3
30	6	Quân Hàm	12	4000	20000_8000_4000	80	40	3
31	6	Quân Hàm	15	6000	30000_12000_6000	100	60	3
32	6	Quân Hàm	20	15000	75000_30000_15000	100	150	3
33	6	Quân Hàm	21	30000	150000_60000_30000	100	300	3
34	7	Môn Phái Tân Vương		500	2500_1000_500	50	5	1
35	8	Môn Phái Đại Sư Huynh		2000	10000_4000_2000	100	20	3
36	9	Thủ lĩnh Bạch Hổ Đường tầng x	4	200	1000_400_200	20	5	1
62	9	Thủ lĩnh Bạch Hổ Đường tầng x	5	300	1500_600_300	20	5	1
37	10	Hạng Chiến Trường	1	200	1000_400_200	20	5	1
63	34	Hạng Chiến Trường Liên SV	1	300	1500_600_300	20	5	1
38	11	Hạng Minh Chủ	1	300	1500_600_300	20	5	1
39	12	Số tầng Thông Thiên Tháp	7	300	1500_600_300	20	5	1
64	12	Số tầng Thông Thiên Tháp	8	500	2500_1000_500	30	5	1
40	13	Bang Chủ Đệ Nhất Bang Hội		10000	50000_30000_15000	100	100	1
41	14	Bang Chủ Thập Đại Bang Hội		5000	25000_10000_5000	100	50	1
42	15	Bang Chủ Trác Việt Bang Hội		3000	15000_6000_3000	100	30	1
43	16	Thủ Lĩnh Đệ Nhất Bang Hội		10000	50000_30000_15000	100	100	2
44	17	Thập Đại Bang Hội Thủ Lĩnh		5000	25000_10000_5000	100	50	2
45	18	Trác Việt Bang Hội Thủ Lĩnh		3000	15000_6000_3000	100	30	2
46	19	Bang Chủ Kim Bài		2000	10000_4000_2000	50	20	1
47	20	Bang Chủ Trác Việt		1000	5000_2000_1000	40	10	1
