nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
1	Nạp lần đầu	Nạp lần đầu	=		
2	Cấp vip	Kiếm Hiệp %s	>=		
3	Hạng Võ Thần Điện	Võ Thần Điện %s	<=		
4	Toàn thân cường hóa 	Toàn thân cường hóa +%s	>=		
5	Toàn thân khảm đầy 	Khảm 20 Đá Hồn Lv%s	>=		
6	Quân Hàm	Quân Hàm 「%s」	=		
7	Môn Phái Tân Vương	%s Tân Vương			
8	Môn Phái Đại Sư Huynh	%s Đại Sư Huynh			
9	Thủ lĩnh Bạch Hổ Đường tầng x	Lần đầu trong tuần diệt Thủ Lĩnh Bạch Hổ Đường tầng %s	>=	weekly	
10	Hạng Chiến Trường	Lần đầu trong tuần đạt hạng 1 Chiến Trường Tống Kim	<=	weekly	
34	Hạng Chiến Trường Liên SV	Tuần này lần đầu đạt hạng 1 Chiến Trường Liên SV	<=	weekly	
11	Hạng Minh Chủ	Lần đầu trong tuần đạt hạng 1 Minh Chủ Võ Lâm	<=	weekly	
12	Số tầng Thông Thiên Tháp	Lần đầu trong tuần đạt Thông Thiên Tháp tầng %s	>=	weekly	
13	Bang Chủ Đệ Nhất Bang Hội	Bang Chủ Đệ Nhất Bang Hội			
14	Bang Chủ Thập Đại Bang Hội	Bang Chủ Thập Đại Bang Hội			
15	Bang Chủ Trác Việt Bang Hội	Bang Chủ Trác Việt Bang Hội			
16	Thủ Lĩnh Đệ Nhất Bang Hội	Thủ Lĩnh Đệ Nhất Bang Hội			
17	Thập Đại Bang Hội Thủ Lĩnh	Thập Đại Bang Hội Thủ Lĩnh			
18	Trác Việt Bang Hội Thủ Lĩnh	Trác Việt Bang Hội Thủ Lĩnh			
19	Bang Chủ Kim Bài	Bang Chủ Kim Bài	>=	weekly	
20	Bang Chủ Trác Việt	Bang Chủ Trác Việt	>=	weekly	
21	Bang Chủ Ưu Tú	Bang Chủ Ưu Tú	>=	weekly	
22	Bang Chủ Tiêu Chuẩn	Bang Chủ Tiêu Chuẩn	>=	weekly	
23	Bang Phó Kim Bài	Bang Phó Kim Bài	>=	weekly	
24	Bang Phó Trác Việt	Bang Phó Trác Việt	>=	weekly	
25	Bang Phó Ưu Tú	Bang Phó Ưu Tú	>=	weekly	
26	Bang Phó Tiêu Chuẩn	Bang Phó Tiêu Chuẩn	>=	weekly	
27	Trưởng Lão Kim Bài	Trưởng Lão Kim Bài	>=	weekly	
28	Trưởng Lão Trác Việt	Trưởng Lão Trác Việt	>=	weekly	
29	Trưởng Lão Ưu Tú	Trưởng Lão Ưu Tú	>=	weekly	
30	Mua Quà 7 Ngày	Mua Quà 7 Ngày		nolimit	
31	Mua Quà 30 Ngày	Mua Quà 30 Ngày		nolimit	
32	Mua Đầu Tư	Mua Đầu Tư		nolimit	
33	Mua Đầu Tư 2	Mua Đầu Tư 2		nolimit	
35	Mua Đầu Tư 3	Mua Đầu Tư 3		nolimit	
36	Chiến thắng Tâm Ma Ảo Cảnh	Chiến thắng Tâm Ma Ảo Cảnh		nolimit	
37	BXH Chiến Trường Bách Nhân	Tuần này lần đầu đạt hạng 1 Chiến Trường Bách Nhân	<=	weekly	
38	Mua Đầu Tư (Ngày Lễ)	Mua Đầu Tư (Ngày Lễ)		nolimit	
39	Quà Năm Mới 4	Quà Năm Mới Như Ý		nolimit	
40	Quà Năm Mới 3	Quà Năm Mới May Mắn		nolimit	
41	Quà Năm Mới 2	Quà Năm Mới Vui Vẻ		nolimit	
42	Quà Năm Mới 1	Quà Năm Mới Phát Triển		nolimit	
43	Mua Đầu Tư 4	Mua Đầu Tư 4		nolimit	
44	Mua Đầu Tư 5	Mua Đầu Tư 5		nolimit	
45	Hạng 1 Chiến Trường Tháng	Nhận Hạng 1 Chiến Trường Tháng	<=	nolimit	
46	Quần Anh Hội Toàn Thắng	Quần Anh Hội thắng 6 trận	=	weekly	
47	Sinh Nhật Võ Lâm Truyền Kỳ	Sinh Nhật Võ Lâm Truyền Kỳ		nolimit	
48	Quà Duyên Khởi Sinh Nhật (648) 	Mua Quà Duyên Khởi Sinh Nhật		nolimit	
49	Quà Tình Vận Sinh Nhật (298) 	Mua Quà Tình Vận Sinh Nhật		nolimit	
50	Quà Hiệp Tung Sinh Nhật (98) 	Mua Quà Hiệp Tung Sinh Nhật		nolimit	
51	Quà Kiếm Ảnh Sinh Nhật (30) 	Mua Quà Kiếm Ảnh Sinh Nhật		nolimit	
52	Hạng 1 Sơ Loại Bầu Chọn Mỹ Nhân	Bầu Chọn Mỹ Nhân Được Hạng 1 Sơ Loại		nolimit	
