WayName	Value	Desc	Comment	Reason2	Round	kin	kinMem
LogWay_DegreeCtrl	1		Mua số lần hoạt động	Key hoạt động			
LogWay_Refinement	2		Tẩy luyện				
LogWay_IdentifyEquip	3		Giám định trang bị				
LogWay_ConsumePartnerStone	4		Tốn Đá Hồn Đồng Hành				
LogWay_QuickBuy	5		Mua nhanh				
LogWay_ClearRevengeCD	6		Xóa chờ báo thù				
LogWay_WantedLongCost	7		Truy nã thời gian dài				
LogWay_ResetFubenTimes	8		Tạo mới số lần phó bản				
LogWay_ReviveInFuben	9		Hồi sinh trong phó bản				
LogWay_AuctionBid	10		Giá đấu	Id số đơn hàng đấu giá			
LogWay_AuctionBidOver	11		Giá chót	Id số đơn hàng đấu giá			
LogWay_JoinKin	12		Vào Bang Hội			1	
LogWay_KinGatherDrink	13	Lửa Trại Uống Rượu	Bang Hội Tụ Tập uống rượu				1
LogWay_MapExploreReset	14		Tái lập tìm kiếm bản đồ				
LogWay_MissionAwardAdd	15		Tăng số lần rút thưởng phó bản	Lần rút thưởng			
LogWay_PartnerSkillLevelUp	17		Tăng cấp kỹ năng Đồng Hành				
LogWay_ChangeName	18		Đổi tên người chơi				
LogWay_Offline	19		Bạc tiêu hao bất thường (Bị đoạt)				
LogWay_BuyRankBattleTimes	20		Mua số lần Võ Thần Điện				
LogWay_BuyVipAward	21		Mua Quà Đặc Quyền【Kiếm Hiệp】				
LogWay_SkillLevelUp	22		Tăng kỹ năng				
LogWay_Strengthen	23		Cường hóa				
LogWay_StoneCombine	24		Ghép Đá Quý				
LogWay_CommerceTaskHelp	25	Giúp đỡ Nhiệm Vụ Thương Hội	Hỗ trợ nhiệm vụ Thương Hội				
LogWay_UseHelper	27		Trợ chiến				
LogWay_AddPartnerStone	28		Nhận Đá Hồn Đồng Hành				
LogWay_QuickBuyRecu	29		Mua nhanh thất bại				
LogWay_ChuangGongSend	30	Truyền Công	Truyền công				
LogWay_RobCoinAddHate	31		Đoạt Bạc				
LogWay_DungeonMgrKill	32		ở Động Thần Bí diệt 				
LogWay_BidFail	33		Đấu giá thất bại	Id số đơn hàng đấu giá			
LogWay_BidOverFail	34		Đấu giá chót thất bại				
LogWay_CreateKin	35		Lập Bang Hội			1	
LogWay_KinDonate	36	Góp Bang Hội	Góp Bang Hội				1
LogWay_KinGatherAward	37	Lửa Trại Bang Hội	Thưởng Bang Hội Tụ Tập				
LogWay_KinRobberFirstKill	38		Lần đầu diệt Bang Hội Đạo Tặc				
LogWay_KinRobber	39		Diệt Bang Hội Đạo Tặc				
LogWay_MoneyTreeShake	40	Rung Cây Tiền	Rung Cây Tiền				
LogWay_RankBattle_BASE_AWARD	42	Võ Thần Điện	Thưởng cơ bản Võ Thần Điện				
LogWay_RankBattle_WIN_AWARD	43	Võ Thần Điện	Thưởng thắng Võ Thần Điện				
LogWay_Recharge	44		Nạp				
LogWay_BuyMonthCard	45		Thẻ Tháng				
LogWay_BuyWeekCard	46		Thẻ Tuần				
LogWay_GrowInvestAward	47		Đầu Tư	nGroupIndex*1000+nIndex			
LogWay_ShopSell	48		Bán ở Cửa Hàng				
LogWay_FinishCommerceTask	49	Nhiệm Vụ Thương Hội	Xong nhiệm vụ Thương Hội				
LogWay_CommerceTaskDoHelp	50	Giúp đỡ Nhiệm Vụ Thương Hội	Hỗ trợ nhiệm vụ Thương Hội				
LogWay_JuBaoPenTakeMoney	51		Nhận Tụ Bảo Bồn				
LogWay_OpenLightStone	52		Phụ ma vũ khí				
