nMapId	Info	nAutoFight
153	Long Đàm Hổ Huyệt	1
201	Hậu Sơn Tiểu Đạo	1
202	Trúc Lâm Tiểu Đạo	1
203	Trúc Lâm Tiểu Đạo	1
204	Trúc Lâm Tiểu Đạo	1
205	Trúc Lâm Tiểu Đạo	1
206	Trúc Lâm Tiểu Đạo	1
207	Trúc Lâm Tiểu Đạo	1
208	Trúc Lâm Tiểu Đạo	1
209	Trúc Lâm Tiểu Đạo	1
210	Trúc Lâm Tiểu Đạo	1
211	Hậu Sơn Tiểu Đạo	1
212	Hậu Sơn Tiểu Đạo	1
213	Hậu Sơn Tiểu Đạo	1
214	Hậu Sơn Tiểu Đạo	1
215	Hậu Sơn Tiểu Đạo	1
216	Trúc Lâm Tiểu Đạo	1
217	Hậu Sơn Nạp Lương Đình	1
218	Hậu Sơn Tiểu Đạo	1
219	Hậu Sơn Tiểu Đạo	1
220	Hậu Sơn Tiểu Đạo	1
221	Dung Nham Mật Động	1
222	Phong Đỉnh Tiếu Nhai	1
223	Thạch Bích Tiểu Đạo	1
224	Thạch Bích Bình Đài	1
225	Vách Núi Đá	1
226	Sơn Yêu Tiểu Lộ	1
227	Sơn Yêu Tiểu Lộ	1
228	Sơn Yêu Tiểu Lộ	1
229	Sơn Yêu Tiểu Lộ	0
230	Sơn Yêu Tiểu Lộ	1
231	Miệng Núi	1
232	Phong Đỉnh Sơn Lộ	1
233	Thạch Quật Mật Động	0
234	Núi Tuyết	1
235	Phong Đỉnh Thiên Trì	1
236	Cơ Quan Mật Thất	0
237	Dung Nham Mật Động	1
238	Phong Đỉnh Ảo Cảnh	1
239	Phong Đỉnh Tuyết Tùng Lĩnh	1
240	Dung Nham Mật Động	1
241	Đỉnh Lăng Tuyệt Phong	1
242	Mật Động	1
243	Hàn Mai Sơn Trang	1
244	Đỉnh Tuyết Sơn	1
245	Thiên Cơ Công Phường	1
246	Tiêm Khiếu Tuyết Nhai	1
247	Đỉnh Tuyết Sơn	1
248	Đỉnh Tuyết Sơn	1
249	Thiên Huyền Chi Đỉnh	1
250	Rừng Bóng Ma	1
251	Vách Núi Đá	1
252	Đỉnh Tuyết Sơn	1
253	Miệng Núi	1
254	Đỉnh Tuyết Sơn	1
255	Nộ Mai Tuyết Viên	1
256	Núi Tuyết	1
257	Thạch Quật Mật Động	1
258	Dung Nham Mật Động	1
259	Vách Núi Đá	1
260	Đào Nguyên Tiểu Kính	1
261	Vách Gào Thét	1
262	Hang Băng Giá	1
263	Hang Thì Thầm	1
264	Hang Gió Hú	1
265	Tường Than Khóc	1
266	Vùng Run Rẩy	1
267	Ngoài Thành Hoang	1
268	Điện Không Người	1
269	Thôn Kỳ Dị	1
270	Đền Ác Mộng	0
300	Tàng Kiếm Sơn Trang	1
301	Võ Di Cấm Địa	1
302	Dung Hỏa Tịch Lịch	1
303	Thúy Trúc U Cốc	1
304	Hô Khiếu Sơn Đạo	1
305	Tuyết Phong Tiêu Yên	1
500	Sơn Tặc Mật Quật	1
1017	Bản đồ Minh Chủ-Tranh Đoạt 	1
1015	Bản đồ Khiêu Chiến Anh Hùng	1
1018	Bản đồ Báo Thù	1
1019	Bản đồ Tìm Kiếm Gặp Địch	1
1201	Sơ Loại Hoa Sơn Luận Kiếm	1
1027	Bạch Hổ Đường	1
1028	Bạch Hổ Đường 1	1
1029	Bạch Hổ Đường 5	1
