MapId	ChatDisplay	MiniMapDesc
1030	Địa Lao Cấm Địa-Ngao Bái	Ngao Bái hiện thân tại đây
1031	Lạc Diệp Cấm Địa-Viên Thừa Chí	Viên Thừa Chí hiện thân tại đây
1032	Trúc Lâm Cấm Địa-Hàn Thế Trung	Hàn Thế Trung hiện thân tại đây
1033	Luân Hồi Cấm Địa-Triết Biệt	Triết Biệt hiện thân tại đây
1034	Minh Uyên Cấm Địa-Cao Trường Cung	Cao Trường Cung hiện thân tại đây
1035	Sâm La Cấm Địa-Tần Lương Ngọc	Tần Lương Ngọc hiện thân tại đây
1049	Vọng Nguyệt Di Tích-Kinh Kha	Kinh Kha hiện thân tại đây
1050	Ngưng Trần Di Tích-Ngu Cơ	Ngu Cơ hiện thân tại đây
1051	Thiên Diệp Di Tích-Nhạc Phi	Nhạc Phi hiện thân tại đây
1052	Phế Tích Hắc Ngục-Lý Quảng 	Lý Quảng hiện thân tại đây
1053	Phế Tích Trường Bản-Triệu Vân	Triệu Vân hiện thân tại đây
1054	Phế Tích Cấm Cốc-Lý Nguyên Bá	Lý Nguyên Bá hiện thân tại đây
1061	【Liên SV】Hắc Ngục Ảo Cảnh-Lý Quảng 	Lý Quảng hiện thân tại đây
1062	【Liên SV】Trường Bản Ảo Cảnh-Triệu Vân	Triệu Vân hiện thân tại đây
1063	【Liên SV】Cấm Cốc Ảo Cảnh-Lý Nguyên Bá	Lý Nguyên Bá hiện thân tại đây
1064	【Liên SV】Phế Tích Hắc Ngục-Lý Quảng 	Lý Quảng hiện thân tại đây
1065	【Liên SV】Phế Tích Trường Bản-Triệu Vân	Triệu Vân hiện thân tại đây
1066	【Liên SV】Phế Tích Cấm Cốc-Lý Nguyên Bá	Lý Nguyên Bá hiện thân tại đây
1077	【Liên SV】Vọng Nguyệt Di Tích-Kinh Kha	Kinh Kha hiện thân tại đây
1078	【Liên SV】Ngưng Trần Di Tích-Ngu Cơ	Ngu Cơ hiện thân tại đây
1079	【Liên SV】Thiên Diệp Di Tích-Nhạc Phi	Nhạc Phi hiện thân tại đây
1080	【Liên SV】Vọng Nguyệt Di Tích-Kinh Kha	Kinh Kha hiện thân tại đây
1081	【Liên SV】Ngưng Trần Di Tích-Ngu Cơ	Ngu Cơ hiện thân tại đây
1082	【Liên SV】Thiên Diệp Di Tích-Nhạc Phi	Nhạc Phi hiện thân tại đây
