Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	Đường Ảnh	100	620	200	1	99	10000	11000	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	Lục Văn Long		630	150		99	5930	11625	34	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	Nạp Lan Chân	103	90	200	1	99	8094	11650	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	Tử Hiên	121	622	150	1	99	11354	4884	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	Nạp Lan Tiềm Lẫm	151	629	150	1	99	6682	7118	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	Ân Phương	106	623	150		99	7759	7165	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	Mạnh Tri Thu	107	100	150		99	13120	14900	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	Nguyệt My Nhi		97	150		99	11870	12950	40	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	Công Tôn Tích Hoa	110	99	150		99	14100	8150	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	Huyền Thiên Đạo Nhân		626	150		99	17700	11250	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	Tổng Quản Bang Hội		627	150		99	11072	17028	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	Dương Ảnh Phong	113	624	150		99	8777	11800	52	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	Độc Cô Kiếm	114	88	150		99	14000	10210	54	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	Trương Lâm Tâm	101	621	200	1	99	14160	10450	41	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	Dương Anh		633	150		99	13770	9980	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	Yên Nhược Tuyết		631	150	1	99	12471	13956	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	Tường Vi		632	150		99	8790	10650	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc18	Trương Như Mộng	108	625	150		99	13333	8730	38	-1	0	0		0	0	0	0	0	0	0	0	
citynpc19	Đằng Vân		693	150		99	5420	16780	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc20	Giá Vụ		699	150		99	5200	16690	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc21	Thu Y Thủy		694	150		99	9022	6970	36	-1	0	0		0	0	0	0	0	0	0	0	
citynpc22	Lưu Vân	105	91	150		99	18340	11270	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc23	Sài Tung		1350	150		99	9371	8700	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc24	Nam Cung Phi		89	150		99	8686	9893	2	-1	0	0		0	0	0	0	0	0	0	0	
citynpc25	Trương Phong		92	150		99	6920	11417	62	-1	0	0		0	0	0	0	0	0	0	0	
citynpc26	Thanh Hiểu		1529	150		99	13520	16860	42	-1	0	0		0	0	0	0	0	0	0	0	
citynpc27	Chúc Tử Hư		1528	150		99	13344	12820	35	-1	0	0		0	0	0	0	0	0	0	0	
citynpc28	Hoàng Mộ Vân	123	1530	150	1	99	10836	4413	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc29	Tiểu Tử Yên	118	95	150		99	13490	4212	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc30	Long Ngũ	127	2752	150		99	7888	6100	31	-1	0	0		0	0	0	0	0	0	0	0	
CommerceTask	Vạn Kim Tài	109	190	200	1	99	5500	16540	28	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_tingting	Đĩnh Ca	5000	1666	150	1	99	13342	7447	43	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_yuanyuan	Tiểu Duyên	5001	1667	150		99	11812	8263	11	-1	0	0		0	0	0	0	0	0	0	0	6008
Arena_np1	Võ Tăng	115	1829	200	1	99	11811	16615	49	-1	0	0		0	0	0	0	0	0	0	0	
Daiyanren_City_zhaoliying	Triệu Ân Đồng	120	2279		1	99	5960	17260	32	0	-1	0	0		0	0	0	0	0	0	0	0
Daiyanren_City_lingengxin	Lâm Triều Hoa	122	2326	150	1	99	6720	17360	46	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang	Tượng Mỹ Nhân (Quán Quân) 		2306	150			11678	5043	16	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang2	Tượng Mỹ Nhân (Quán Quân toàn máy chủ) 		2336	150			11670	4733	16	-1	0	0		0	0	0	0	0	0	0	0	
Marry_yuelao	Nguyệt Lão	125	2371	150	1	99	14460	4890	49	-1	0	0		0	0	0	0	0	0	0	0	
Marry_hongniang	Hồng Nương	126	2372	150	1	99	14000	5070	48	-1	0	0		0	0	0	0	0	0	0	0	
Marry_huatong1	Phụng Hỉ	124	2373	150	1	99	14000	4680	48	-1	0	0		0	0	0	0	0	0	0	0	
qinggong1	Thượng Thăng Khí Lưu		74	20		99	15414	15524	0	-1	0	0		0	0	0	0	0	0	0	0	
qinggong2	Thượng Thăng Khí Lưu		74	20		99	13887	15865	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing1	Vệ Binh		98	20		99	3660	11420	32	-1	0	0		0	0	0	0	0	0	0	0	
weibing2	Vệ Binh		98	20		99	3720	11000	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing3	Vệ Binh		98	20		99	19030	11520	33	-1	0	0		0	0	0	0	0	0	0	0	
weibing4	Vệ Binh		98	20		99	19050	10970	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing5	Vệ Binh		98	20		99	8760	18025	48	-1	0	0		0	0	0	0	0	0	0	0	
weibing6	Vệ Binh		98	20		99	8190	18025	16	-1	0	0		0	0	0	0	0	0	0	0	
GoodVoice_diaoxiang	Tượng The Voice (Quán Quân Trong Server)	7210	2940	150			8200	11650	16	-1	0	0		0	0	0	0	0	0	0	0	
jiuguanjieyin	Bà Chủ	117	3213	200	1	99	5788	16055	0	-1	0	0		0	0	0	0	0	0	0	0	
JYFL_video	Lâm Thanh Vũ	66	3246	150	1	99	10755	8705	32	-1	0	0		0	0	0	0	0	0			
