Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	Đường Ảnh	100	620	200	1	99	16100	11550	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	Trương Lâm Tâm	101	621	200	1	99	14739	11250	63	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	Lục Văn Long		630	150		99	11188	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	Nạp Lan Chân	103	90	200	1	99	12621	14938	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	Tử Hiên	121	622	150	1	99	12760	18840	33	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	Nạp Lan Tiềm Lẫm	151	629	150	1	99	7730	10590	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	Ân Phương	106	623	150		99	14140	12080	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	Mạnh Tri Thu	107	100	150		99	7860	12520	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	Nguyệt My Nhi		97	150		99	14940	17900	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	Công Tôn Tích Hoa	110	99	150		99	9570	11560	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	Huyền Thiên Đạo Nhân		626	150		99	14020	17480	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	Tổng Quản Bang Hội		627	150		99	10950	14140	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	Dương Ảnh Phong	113	624	150		99	12440	14510	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	Độc Cô Kiếm	114	88	150		99	15130	12650	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	Yên Nhược Tuyết		631	150		99	12121	14161	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	Tường Vi		632	150		99	12860	15930	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	Trương Như Mộng	108	625	150		99	8570	14180	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc18	Đằng Vân		693	150		99	12380	18530	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc19	Giá Vụ		699	150		99	12370	18680	19	-1	0	0		0	0	0	0	0	0	0	0	
citynpc20	Thu Y Thủy		694	150		99	8650	11040	60	-1	0	0		0	0	0	0	0	0	0	0	
citynpc21	Lưu Vân	105	91	150		99	12027	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc22	Dương Anh		633	150		99	16130	13350	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc23	Sài Tung		1350	150		99	11140	10360	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc24	Nam Cung Phi		89	150		99	15650	11300	2	-1	0	0		0	0	0	0	0	0	0	0	
citynpc25	Trương Phong		92	150		99	14502	11245	62	-1	0	0		0	0	0	0	0	0	0	0	
citynpc26	Thanh Hiểu		1529	150		99	12130	10330	15	-1	0	0		0	0	0	0	0	0	0	0	
citynpc27	Chúc Tử Hư		1528	150		99	8950	12920	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc28	Hoàng Mộ Vân	123	1530	150	1	99	8070	13370	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc29	Tiểu Tử Yên	118	95	150		99	15200	13140	0	-1	0	0		0	0	0	0	0	0	0	0	
CommerceTask	Vạn Kim Tài	109	190	200	1	99	13100	17870	0	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_tingting	Đĩnh Ca	5000	1666	150	1	99	9700	17500	43	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_yuanyuan	Tiểu Duyên	5001	1667	150		99	9600	17400	11	-1	0	0		0	0	0	0	0	0	0	0	6008
Arena_np1	Võ Tăng	115	1829	200	1	99	14312	12641	53	-1	0	0		0	0	0	0	0	0	0	0	
Daiyanren_City_zhaoliying	Triệu Ân Đồng	120	2279		1	1	15110	11210	63	0	-1	0	0		0	0	0	0	0	0	0	0
Daiyanren_City_lingengxin	Lâm Triều Hoa	122	2326	150	1	99	13377	17839	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang	Tượng Mỹ Nhân (Quán Quân) 		2306	150			13284	18936	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang2	Tượng Mỹ Nhân (Quán Quân toàn máy chủ) 		2336	150			13275	18637	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_yuelao	Nguyệt Lão	125	2371	150	1	99	18287	12628	50	-1	0	0		0	0	0	0	0	0	0	0	
Marry_hongniang	Hồng Nương	126	2372	150	1	99	18079	12127	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_huatong1	Phụng Hỉ	124	2373	150	1	99	18338	12955	46	-1	0	0		0	0	0	0	0	0	0	0	
GoodVoice_diaoxiang	Tượng The Voice (Quán Quân Trong Server)	7210	2940	150			12621	15038	0	-1	0	0		0	0	0	0	0	0	0	0	
hehua1	Sen		3208	50	1	99	8273	19503	0	-1	0	0		0	0	0	0	0	0	0	0	
hehua2	Sen		3208	50	1	99	8240	17648	0	-1	0	0		0	0	0	0	0	0	0	0	
