Kim	5825	7584
Kim	5663	7473
Kim	5650	7278
Kim	6016	7462
Kim	6032	7245
Kim	5823	7363
Kim	5821	7148
Mộc	8256	7551
Mộc	8035	7409
Mộc	8033	7150
Mộc	8501	7442
Mộc	8473	7160
Mộc	8256	7318
Mộc	8261	6994
Thủy	5845	4299
Thủy	5654	4173
Thủy	5666	4416
Thủy	5845	4610
Thủy	6051	4233
Thủy	5877	4045
Thủy	6017	4452
Hỏa	7044	6106
Hỏa	6775	5934
Hỏa	6767	5655
Hỏa	7039	5407
Hỏa	7054	5774
Hỏa	7289	5630
Hỏa	7309	5973
Thổ	8305	4281
Thổ	8061	4124
Thổ	8579	4124
Thổ	8052	3875
Thổ	8605	3864
Thổ	8319	3763
Thổ	8330	4026
Nạp Lan Chân	4984	5807
Thiên Vương	2871	6308
Thiếu Lâm	2687	6343
Tàng Kiếm	2524	6315
Tiêu Dao	2350	6246
Đường Môn	2228	6124
Ngũ Độc	2114	5985
Hoa Sơn	2047	5828
Nga Mi	2023	5658
Thúy Yên	2041	5502
Thiên Sơn	2107	5349
Đào Hoa	2228	5189
Thiên Nhẫn	2360	5067
Cái Bang	2524	5015
Minh Giáo	2697	4994
Côn Lôn	2885	5015
Bá Đao	3023	6245
Trường Ca	3025	5110
Võ Đang	3151	5195
