FromMapID	Name	JumpKind	JumpGroup	FromPosX	FromPosY	ToMapID	ToPosX	ToPosY	ToFightState	BeProtected	FromMapDesc	ToMapDesc
4	TrapTesting1					3	200	200	1		Cái Bang	Cái Bang-Phòng Luyện Công
4	TrapTesting2					5	300	400	0		Cái Bang	Cái Bang-Nhà Tranh
6	TrapLock2					6	950	310	0			
5	LuoyeguToErengu					3	2067	3241	0		Cái Bang	Cái Bang-Nhà Tranh
3	ErenguToLuoyegu					101	4968	5618	0		Cái Bang	Cái Bang-Nhà Tranh
3	ErenguToCanghai					1011	2460	2710	0		Cái Bang	Cái Bang-Nhà Tranh
7	CanghaiToErengu					10	7747	8794	0		Cái Bang	Cái Bang-Nhà Tranh
9	XinshouToErengu					3	2092	3232	0		Cái Bang	Cái Bang-Nhà Tranh
9	XinshouToLuoyegu					5	700	700	0		Cái Bang	Cái Bang-Nhà Tranh
9	XinshouToCanghai					7	1280	1800	0		Cái Bang	Cái Bang-Nhà Tranh
3	ErenguToXinshou					9	7550	9237	0		Cái Bang	Cái Bang-Nhà Tranh
9	XinshouToLuoyang					10	7747	8794	0		Cái Bang	Cái Bang-Nhà Tranh
13	LuoyangToXinshou					9	7550	9237	0		Cái Bang	Cái Bang-Nhà Tranh
10	LuoyangToCanghai					7	1280	1800	0		Cái Bang	Cái Bang-Nhà Tranh
404	MlToHs					486	2200	3600	0		Miêu Lĩnh	Chân núi Hành Sơn
400	SyyToLysd					499	2100	3000	0		Tỏa Vân Uyên	Ly Ưu Sơn Động
400	SyyToSyyxw					484	2750	2420	0		Tỏa Vân Uyên	Nhà nhỏ Tỏa Vân Uyên
484	WyxwLeave					1000	5000	5500	0		Nhà Vong Ưu	Vong Ưu Đảo
499	LysdToWyg					485	1060	1000	0		Ly Ưu Sơn Động	Vong Ưu Cốc
401	WysToyds					402	7387	5476	0		Võ Di Sơn	Nhạn Đãng Sơn
402	YdsToCjsz					483	2766	4386	0		Nhạn Đãng Sơn	Tàng Kiếm Sơn Trang
403	DthToFlb					494	2670	3890	0		Động Đình Hồ	Phi Long Bảo
494	FlbToDth					403	10659	7546	0		Phi Long Bảo 1	Động Đình Hồ
403	DthToBmsz					498	3570	3030	0		Động Đình Hồ	Bi Ma Sơn Trang
403	DthToWyd					1000	5000	5500	0		Động Đình Hồ	Vong Ưu Đảo
1000	WydToXmhj					495	1400	4550	0		Vong Ưu Đảo	Cấm Địa Vô Ưu Giáo
495	WyjdToDth					403	10659	7546	0		Cấm Địa Vô Ưu Giáo	Động Đình Hồ
496	ZxlToFlb					497	2700	2100	0		Trích Tinh Lâu	Phi Long Bảo
403	DthToZxl					496	1600	3700	0		Động Đình Hồ	Trích Tinh Lâu
497	FlbToDth					403	10659	7546	0		Phi Long Bảo 2	Động Đình Hồ
404	MlToJhd1					487	2200	6800	0		Miêu Lĩnh	Cửu Hầu Động
404	MlToJhd2					480	2200	6800	0		Miêu Lĩnh	Cửu Hầu Động
480	JhdToWyp					488	2000	10860	0		Cửu Hầu Động	Võ Di Kiếm Phái
488	WypToWyjd					489	2350	5530	0		Võ Di Phái	Võ Di Cấm Địa
489	TrapTask1					405	8005	8253	0		Võ Di Cấm Địa	Điểm Thương Sơn
406	XsdToHsmd					493	2600	6250	0		Hưởng Thủy Động	Hoa Sơn Mật Đạo
493	HsmdTpHsp					491	5200	3750	0		Hoa Sơn Mật Đạo	Hoa Sơn Phái
491	HsToXsd					406	6706	7349	0		Hoa Sơn Phái	Hưởng Thủy Động
405	DcsToLayd					490	5473	4882	0		Điểm Thương Sơn	Lâm An Dịch Đạo
490	LaydToXsd					406	6706	7349	0		Lâm An Dịch Đạo	Hưởng Thủy Động
408	JmgToGzc					479	1800	5400	0		Kiếm Môn Quan	Chiến Trường Cổ
411	FnsToFnsxy					484	2750	2420	0		Phục Ngưu Sơn	Phục Ngưu Sơn-Nhà Nhỏ
415	DhgcToKfg					476	4500	5000	0		Đôn Hoàng Cổ Thành	Cuồng Phong Cốc
475	FxszToFuben					474	2670	1600	0		Phong Tuyết Tiền Đình	Phong Tuyết Sơn Trang
476	KfgToSmyj					414	7381	7111	0		Cuồng Phong Cốc	Di Tích Sa Mạc
414	DhgcToZmg					477	2050	5450	0		Di Tích Sa Mạc	Táng Mã Cương
5	Jump1	2				5	9437	10975	0		Cái Bang	Cái Bang-Nhà Tranh
999	Jump1	2				999	3908	8051	0		Tân Thủ Thôn	
999	Jump2	3				999	4938	8749	0		Tân Thủ Thôn	
999	Jump3	3				999	5005	6689	0		Tân Thủ Thôn	
999	Jump4	2	1			999	4878	2625	0		Tân Thủ Thôn	
999	Jump5	5	1			999	4971	1468	0		Tân Thủ Thôn	
999	Jump6	3	1			999	6043	1861	0		Tân Thủ Thôn	
999	Jump7	3	2			999	5111	1463	0		Tân Thủ Thôn	
999	Jump8	5	2			999	5027	2641	0		Tân Thủ Thôn	
999	Jump9	2	2			999	3788	2143	0		Tân Thủ Thôn	
1000	qinggong1_1	3	1			1000	6052	1770	0		Tân Thủ Thôn-Khinh công	
1000	qinggong1_2	3	1			1000	6741	2636	0		Tân Thủ Thôn-Khinh công	
