Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
WallGuard	Doanh Địa 1_Chướng Ngại		104	50		1	5124	22629	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 1_Chướng Ngại		104	50		1	5124	23112	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 8_Chướng Ngại		104	50		1	5113	14253	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 8_Chướng Ngại		104	50		1	5113	13809	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 7_Chướng Ngại		104	50		1	13619	5389	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 7_Chướng Ngại		104	50		1	14044	5390	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 6_Chướng Ngại		104	50		1	22417	5393	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 6_Chướng Ngại		104	50		1	22879	5391	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 5_Chướng Ngại		104	50		1	31462	13854	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 5_Chướng Ngại		104	50		1	31458	14254	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 4_Chướng Ngại		104	50		1	31458	23043	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 4_Chướng Ngại		104	50		1	31461	22581	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 3_Chướng Ngại		104	50		1	22824	31569	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 3_Chướng Ngại		104	50		1	22387	31567	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 2_Chướng Ngại		104	50		1	14100	31595	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	Doanh Địa 2_Chướng Ngại		104	50		1	13690	31595	16	-1	0	0		0	0	0	0	0	0	0	0	
wangzuo	Vương Tọa		8002	50	1	0	17985	18422	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu1	Long Trụ Thiên Phúc		8002	50	1	0	9481	27218	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu2	Long Trụ Địa Tải		8002	50	1	0	27037	27212	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu3	Long Trụ Phong Dương 		8002	50	1	0	9470	9614	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu4	Long Trụ Vân Thùy		8002	50	1	0	27035	9632	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu5	Long Trụ Long Phi		8002	50	1	0	14547	22154	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu6	Long Trụ Hổ Dực		8002	50	1	0	21906	22158	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu7	Long Trụ Điểu Tường		8002	50	1	0	14548	14728	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu8	Long Trụ Xà Bàn		8002	50	1	0	21899	14730	27	-1	0	0		0	0	0	0	0	0	0	0	
