Info	Type	Item	Count	SSS	SS	S	A	B	C	D	Addition	Other	SendWorld
Rương Tiền		1224	1	192000	186700	160000	86700	52000	4000	0	166600	100000	
200 Vinh dự Bí Cảnh	HonorTeamFuben		200	115200	100800	115200	180000	246000	176400		120000	75000	
300 Vinh dự Bí Cảnh	HonorTeamFuben		300	76800	67200	67200	48000	7200	0		60000	75000	
500 Vinh dự Bí Cảnh	HonorTeamFuben		500	46200	40500	34500	14400	0	0		36000	75000	
1000 Vinh dự Bí Cảnh	HonorTeamFuben		1000	27000	23400	11400	2400	0	0		15000	60000	
200 Điểm Quen Thuộc	Jade		200	38400	33600	38400	60000	82000	58800	0	40000	25000	
300 Điểm Quen Thuộc	Jade		300	25600	22400	22400	16000	2400	0	0	20000	25000	
500 Điểm Quen Thuộc	Jade		500	15400	13500	11500	4800	0	0	0	12000	25000	
1000 Điểm Quen Thuộc	Jade		1000	9000	7800	3800	800	0	0	0	5000	20000	
Tàng Bảo Đồ		787	1	0	112000	168000	200000	238000	380800	0	175500	100000	
Tu Luyện Đơn		764	1	161100	140000	120000	100000	68000	45000	0	124800	80000	
Đá Sinh Lực Lv1		230	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Tấn Công Lv1		240	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Kháng Tính Lv1		250	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Bỏ Qua Kháng Lv1		260	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Né Tránh Lv1		270	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Bỏ Qua Né Tránh Lv1		280	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Bạo Kích Lv1		290	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Kháng Bạo Kích Lv1		300	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Hiệu Quả Lv1		310	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Giảm Hiệu Quả Lv1		320	1	6400	8400	9600	10000	10000	5600	0	7500	10000	
Đá Sinh Lực Lv2		231	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Tấn Công Lv2		241	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Kháng Tính Lv2		251	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Bỏ Qua Kháng Lv2		261	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Né Tránh Lv2		271	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Bỏ Qua Né Tránh Lv2		281	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Bạo Kích Lv2		291	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Kháng Bạo Kích Lv2		301	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Hiệu Quả Lv2		311	1	5000	3700	1600	700	0	0	0	2500	8000	
Đá Giảm Hiệu Quả Lv2		321	1	5000	3700	1600	700	0	0	0	2500	8000	
Thủy Tinh-Nhỏ		212	1	0	43900	82500	139100	182200	279000	0	62600	60000	
Thủy Tinh Vỡ		222	1	89300	40100	12900	14300	0	0	0	20800	50000	
Khoáng Thạch Thần Bí-Vỡ		213	1	90000	47100	40200	26500	22200	0	0	41700	50000	
