MoneyType	SaveKey	DebtSaveKey	Value	ObjId	Emotion	IconAtlas	Icon	BigIconAtlas	BigIcon	NumberColor	StringColor	Name	Unit	TipDesc
Coin	1	1	10	8	998	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	CoinSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	CoinBig			Bạc	 lượng 	Loại tiền phổ biến trong giang hồ, được dùng nhiều nhất hàng ngày
TongBao	2	2	100	4	997	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	CurrencySmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	CurrencyBig			Thông Bảo		Tiền tệ đặc biệt, chủ yếu mua vật phẩm trong Giao Dịch
Jade	3	3	100	5	987	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	MagatamaSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	MagatamaBig			Huyễn Ngọc		Tiền trong hoạt động Tâm Ma Ảo Cảnh, có thể mua đạo cụ ở chỗ Thương Nhân Thần Bí
Honor	4	4	100	5	976	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HonorRongSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HonorRongBig			Vinh Dự		Có thể vào Tiệm Vinh Dự đổi:\n[FFFE0D]Giày[-], [FFFE0D]Đai[-], [FFFE0D]Hộ Uyển[-], [FFFE0D]Nón[-] 
Biography	5	5	100	5	975	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ZhuanJiSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ZhuanJiBig			Truyện Ký		Có thể vào Tiệm Truyền Ký đổi:\n[FFFE0D]Hộ Thân Phù[-], [FFFE0D]Nhẫn[-], [FFFE0D]Dây Chuyền[-]  [FFFE0D]Bội[-] 
SkillExp	6	6	100	5	991	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	SkillExpSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	SkillExpBig			Tu Vi		Dùng tăng cấp bí kíp môn phái
Gold	7	7	1000	5	999	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	GoldSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	GoldBig			Nguyên Bảo		Tiền tệ quý nhất trong võ lâm, có thể mua được tất cả
PStone0	8	8	10	14	989	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HunshiSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HunshiBig			Đá Hồn		Dùng [FFFE0D]chiêu mộ và tiến hóa[-] Đồng Hành C, B, A
PStone1	9	9	20	14	988	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoBig			Đá Hồn S		Dùng [FFFE0D]chiêu mộ và tiến hóa[-] Đồng Hành S
Contrib	10	10	100	5	974	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ContributionSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ContributionBig			Cống hiến		Nhận từ góp Bang Hội hoặc tham gia hoạt động liên quan\nTiền tệ giao dịch chính của các Tác Phường\n\nBinh Giáp Phường: \n[FFFE0D]Vũ Khí[-], [FFFE0D]Áo[-] \n\nPhòng Cụ Phường: \n[FFFE0D]Nón[-], [FFFE0D]Hộ Uyển[-], [FFFE0D]Đai[-], [FFFE0D]Giày[-] \n\nTrang Sức Phường: \n[FFFE0D]Dây Chuyền[-], [FFFE0D]Nhẫn[-], [FFFE0D]Ngọc Bội[-], [FFFE0D]Hộ Thân Phù[-] \n\nKim Khố: \n[FFFE0D]Hộp Quà Bang Hội[-] \n\nTrân Bảo Phường: \n[FFFE0D]Đá Hồn[-], [FFFE0D]Thủy Tinh[-], [FFFE0D]Đồ Cổ[-] 
PStone2	11	11	20	14	988	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoBig			Đá Hồn SS		Dùng [FFFE0D]chiêu mộ và tiến hóa[-] Đồng Hành SS
PStone3	12	12	20	14	988	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	JingpoBig			Đá Hồn SSS		Dùng [FFFE0D]chiêu mộ và tiến hóa[-] Đồng Hành SSS
SkillPoint	13	13	10	14	991	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	SkillExpSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	SkillExpBig			Điểm kỹ năng		Dùng tăng cấp kỹ năng môn phái, kỹ năng tăng 1 cấp tốn 1 điểm kỹ năng
Renown	14	14	100	5	952	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HonorPveSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HonorPveBig			Danh Vọng		Dùng để mua vật phẩm ở Cửa Hàng Danh Vọng
Energy	15	15	100	5	945	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	VitalitySmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	VitalityBig			Nguyên khí		Nguyên Khí nhận khi tịnh tâm, dùng để ngưng tụ Chân Nguyên
SilverBoard	16	16	100	5	944	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	OldCoinsSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	OldCoinsBig			Ngân Sức		Trang sức bạc tinh xảo, tác phẩm của thợ thủ công Lê Tộc. Có thể vào Tiệm Ngân Sức mua ngoại hình bắt mắt
ZhenQi	17	17	10	5	935	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ZhenqiSmall	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ZhenqiBig			Chân Khí		Đồng Hành dùng Tư Chất Đơn nhận được Chân Khí, Chân Khí dùng để xung huyệt
