Id	Msg
1	「{1}」mở {2} phát hiện {3}!
2	「{1}」mở {2} nhận {3}, thật may mắn!
3	「{1}」mở {2} phát hiện {3}!
4	Hảo hữu「{1}」mở {2} nhận {3}!
5	「{1}」khi đào kho báu phát hiện được {3}!
6	「{1}」nhận phần thưởng {2} được {3}, thật may mắn!
7	「{1}」vượt Thông Thiên Tháp nhận được {3}!
8	Thành viên「{1}」trong Thông Thiên Tháp nhận {3}!
9	「{1}」diệt {2} nhận được {3}, thật may mắn!
10	「{1}」theo hướng dẫn Tàng Bảo Đồ-Cao phát hiện được {3}!
11	「{1}」mở {2}, chỉ thấy lóe lên một vầng sáng, chính là {3}! Thật may mắn!
12	「{1}」diệt Võ Lâm Ác Đồ, nhận được {3}! Thật may mắn!
13	「{1}」trong Võ Thần Điện bất ngờ nhận được {3}!
14	「{1}」trong Võ Thần Điện bất ngờ nhận được {3}!
15	「{1}」thông qua {2} nhận {3}, thật may mắn!
16	「{1}」dùng nguyên liệu chế tạo được {3}, đúng là người có phúc!
17	「{1}」trong hoạt động Chào Mừng Bang Hội mở {2} nhận được {3}!
18	「{1}」mở {2} trong Hoàng Lăng Mật Thất nhận được {3}, đáng chúc mừng!
19	「{1}」diệt {2} trong Tần Lăng nhận được {3}, đáng chúc mừng!
20	「{1}」trong Bang Hội diệt {2} nhận được {3}, xem ra tên này cũng trộm không ít!
21	「{1}」ước nguyện ở Bang Hội được thần minh chứng giám, nhận được {3}!
22	Vé Thưởng Năm Mới của 「{1}」 đã trúng thưởng! Nhận được {3}! Từ nay tiền tài như nước!
23	「{1}」 mở {2}, nghe một tiếng kêu thánh thót, trong vỏ trứng lại có {3}!
24	「{1}」từ {2} đổi được {3}, tràn đầy vui mừng!
25	「{1}」ném nhẹ {2}, phát hiện {3} bên trong.
26	「{1}」xem {2} ghi đầy ấn tượng, tháo dây buộc, cẩn thận cầm {3}, ngạc nhiên mỉm cười!
27	Được「{1}」chăm sóc, Cây Ước Nguyện lớn nhanh, mở {2} ra, bên trong có {3}!
28	「{1}」khi chăm sóc phát hiện Rương Nhỏ Tinh Tế, mở nhận được {3}!
29	「{1}」mở {2}, nhận được {3}, tâm hồn xao động!
30	「{1}」chúc mừng lễ kỷ niệm! Hỏi các đại hiệp: Ta có đẹp không?
