Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
CastSkill Thông Dụng 0 Hình	1	1		CastSkill						
CastSkill Thông Dụng 0 Hình	1	1		PlayEffect						
CastSkill Thông Dụng 1 Hình	6001	2	1	CastSkill						
CastSkill Thông Dụng 1 Hình	6001	2	1	PlayEffect						
CastSkill Thông Dụng 2 Hình	6002	2	2	CastSkill						
CastSkill Thông Dụng 2 Hình	6002	2	2	PlayEffect						
CastSkill Thông Dụng 3 Hình	6003	2	3	CastSkill						
CastSkill Thông Dụng 3 Hình	6003	2	3	PlayEffect						
CastSkill Thông Dụng 4 Hình	6004	2	4	CastSkill						
CastSkill Thông Dụng 4 Hình	6004	2	4	PlayEffect						
CastSkill Thông Dụng 5 Hình	6005	2	5	CastSkill						
CastSkill Thông Dụng 5 Hình	6005	2	5	PlayEffect						
CastSkill Thông Dụng 6 Hình	6006	2	6	CastSkill						
CastSkill Thông Dụng 6 Hình	6006	2	6	PlayEffect						
CastSkill Thông Dụng 7 Hình	6007	2	7	CastSkill						
CastSkill Thông Dụng 7 Hình	6007	2	7	PlayEffect						
CastSkill Thông Dụng 8 Hình	6008	2	8	CastSkill						
CastSkill Thông Dụng 8 Hình	6008	2	8	PlayEffect						
CastSkill Thông Dụng 9 Hình	6009	2	9	CastSkill						
CastSkill Thông Dụng 9 Hình	6009	2	9	PlayEffect						
CastSkill Thông Dụng 10 Hình	6010	2	10	CastSkill						
CastSkill Thông Dụng 10 Hình	6010	2	10	PlayEffect						
Ghép động tác thường	1000	3		CrossFade	1					
Tử Vong_Đánh bay_Gần	80001	1		CrossFade	1					
Tử Vong_Đánh bay_Gần	80001	1		ChangeAct	20	18				
Tử Vong_Đánh bay_Gần	80001	1		MoveBack	150	40				
Tử Vong_Đánh bay_Xa	80002	1		CrossFade	1					
Tử Vong_Đánh bay_Xa	80002	1		ChangeAct	20	18				
Tử Vong_Đánh bay_Xa	80002	1		MoveBack	350	50				
Tử Vong_Đóng Băng	80003	1		PlayEffect	9001					
Tử Vong_Đóng Băng	80003	1		UseLastAct	1					
Tử Vong_Đóng Băng	80003	3		PlaySceneEffect	9003					
Tử Vong_Đóng Băng	80003	3		UseLastAct	0					
Tử Vong_Đóng Băng	80003	3		ClearEffect	9001					
Tường Sáng Biến Mất	80004	1		PlayEffect	9020					
Tường Sáng Biến Mất	80004	1		BodyVisable						
Npc ra trận (Thông dụng) 	900000	1		ChangeAct	1	4				
Npc ra trận (Thông dụng) 	900000	1		Protected	1					
Npc ra trận (Thông dụng) 	900000	1		HeadUIVisable	0					
Npc ra trận (Thông dụng) 	900000	3		Protected	0					
Npc ra trận (Thông dụng) 	900000	3		HeadUIVisable	1					
Npc ra trận (Thông dụng) 	900001	1		ChangeAct	6					
Npc ra trận (Thông dụng) 	900001	1		CrossFade	1					
Npc ra trận (Thông dụng) 	900001	1		Protected	1					
Npc ra trận (Thông dụng) 	900001	1		HeadUIVisable	0					
Npc ra trận (Thông dụng) 	900001	3		Protected	0					
Npc ra trận (Thông dụng) 	900001	3		HeadUIVisable	1					
Npc ra trận (Thông dụng) 	900001	3		CrossFade	1					
Npc ra trận (Thông dụng) 	900004	1		ChangeAct	6					
Npc ra trận (Thông dụng) 	900004	1		CrossFade	1					
Npc ra trận (Thông dụng) 	900004	1		Protected	1					
Npc ra trận (Thông dụng) 	900004	1		HeadUIVisable	0					
Npc ra trận (Thông dụng) 	900004	1		PlayEffect	9021					
Npc ra trận (Thông dụng) 	900004	3		Protected	0					
Npc ra trận (Thông dụng) 	900004	3		HeadUIVisable	1					
Npc ra trận (Thông dụng) 	900004	3		CrossFade	1					
Npc ra trận (Long Chiến Thiên) 	900002	1		ChangeAct	6					
Npc ra trận (Long Chiến Thiên) 	900002	1		CrossFade	1					
Npc ra trận (Long Chiến Thiên) 	900002	1		Protected	1					
Npc ra trận (Long Chiến Thiên) 	900002	1		HeadUIVisable	0					
Npc ra trận (Long Chiến Thiên) 	900002	2	4	Protected	0					
Npc ra trận (Long Chiến Thiên) 	900002	2	5	PlayShake	150	100	1	1	1	
Npc ra trận (Long Chiến Thiên) 	900002	2	5	PlayEffect	9015					
Npc ra trận (Long Chiến Thiên) 	900002	2	5	CastSkill	1515	1				
Npc ra trận (Long Chiến Thiên) 	900002	3		HeadUIVisable	1					
Npc ra trận (Long Chiến Thiên) 	900002	3		CrossFade	1					
Npc ra trận (Thất Sát Sứ) 	900003	1		ChangeAct	6					
Npc ra trận (Thất Sát Sứ) 	900003	1		CrossFade	1					
Npc ra trận (Thất Sát Sứ) 	900003	1		Protected	1					
Npc ra trận (Thất Sát Sứ) 	900003	1		HeadUIVisable	0					
Npc ra trận (Thất Sát Sứ) 	900003	2	6	Protected	0					
Npc ra trận (Thất Sát Sứ) 	900003	2	7	PlayShake	150	100	1	1	1	
Npc ra trận (Thất Sát Sứ) 	900003	2	7	PlayEffect	9015					
Npc ra trận (Thất Sát Sứ) 	900003	2	7	CastSkill	1515	1				
Npc ra trận (Thất Sát Sứ) 	900003	3		HeadUIVisable	1					
Npc ra trận (Thất Sát Sứ) 	900003	3		CrossFade	1					
Npc ra trận (Tô Mặc Vân) 	900005	1		ChangeAct	17	20				
Npc ra trận (Tô Mặc Vân) 	900005	1		Protected	1					
Npc ra trận (Tô Mặc Vân) 	900005	1		HeadUIVisable	0					
