ActId	ActName	RideActName	RideActName1	RideActName2	RideActName3	RideActName4	HideWeapon	RideHideWeapon	Des
1	st	hst	wst	est	bst	cst		1	ID 15 đến 50 là động tác thiết lập kỹ năng
2	run	hrun	wrun	erun	brun	crun		1	
3	die	die	die	die	die	die		1	
4	jt	hst	wst	est	bst	cst		1	Động tác đánh lui
5	bat	hst	wst	est	bst	cst		1	Động tác kéo
6	qg	hrun	wrun	erun	brun	crun		1	
7	sta	hst	wst	est	bst	cst		1	Đứng chiến đấu 
8	bat	hst	wst	est	bst	cst		1	Động tác Phù Không
9	bat	hst	wst	est	bst	cst		1	Động tác bị thương
10	wlk	run	run	run	run	run		1	Tản bộ
11	zx	hst	wst	est	bst	cst	1	1	Ngồi
12	zst	hst	wst	est	bst	cst	1	1	Ngồi thiền
13	st01	hst	wst	est	bst	cst		1	Vị trí đặc biệt phi chiến đấu
14	st02	hst	wst	est	bst	cst		1	Vị trí đặc biệt phi chiến đấu
15	at	hst	wst	est	bst	cst		1	
16	at01	hst	wst	est	bst	cst		1	
17	at02	hst	wst	est	bst	cst		1	
18	at03	hst	wst	est	bst	cst		1	
19	at04	hst	wst	est	bst	cst		1	
20	jfd	hst	wst	est	bst	cst		1	Tử vong đánh bay
21	jn01	hst	wst	est	bst	cst		1	
22	jn02	hst	wst	est	bst	cst		1	
23	jn03	hst	wst	est	bst	cst		1	
24	jn04	hst	wst	est	bst	cst		1	
25	jn05	hst	wst	est	bst	cst		1	
26	jf	hst	wst	est	bst	cst		1	Đánh bay
27	jn02b	hst	wst	est	bst	cst		1	
28	jn02a	hst	wst	est	bst	cst		1	
29	qg01	hrun	wrun	erun	brun	crun		1	
30	qg02	hrun	wrun	erun	brun	crun		1	
31	jsrun	hrun	wrun	erun	brun	crun		1	Tăng tốc chạy
32	qg03	hrun	wrun	erun	brun	crun		1	
33	qg04	hrun	wrun	erun	brun	crun		1	
34	qg05	hrun	wrun	erun	brun	crun		1	
35	dz	hst	wst	est	bst	cst	1	1	Ngồi thiền
36	ts01	hst	wst	est	bst	cst		1	Động tác đặc biệt 1
37	ts02	hst	wst	est	bst	cst		1	Động tác đặc biệt 2
38	ts03	hst	wst	est	bst	cst		1	Động tác đặc biệt 3
39	sit	hst	wst	est	bst	cst	1	1	Ngồi
40	jn01a	hst	wst	est	bst	cst		1	
