ActId	ActName	Des	HideWeapon	OrgRideName
1	bq01	Chào hỏi|Kết Hôn: Chào hỏi		
2	bq02	Cười lớn|Kết Hôn: Cười lớn		
3	bq03	Tức giận|Kết Hôn: Hành lễ		
4	bq04	Quá trình hành lễ|Kết Hôn: Hành lễ		
5	bq05	Rượu Hỷ|Kết Hôn: Uống Rượu		
6	bq06	Khóc|Kết Hôn: Nhảy múa		
7	bq07	Nhảy múa|Kết Hôn: Hành lễ		
8	bq08	Duy trì hành lễ		
9	dance	Ngoại Trang Nhảy Múa-Cao		
10	dance01	Vũ Điệu Hawai		
11	est	Voi Lớn-Đứng	1	est
12	erun	Voi Lớn-Chạy	1	erun
13	dance02	Thời Trang Mùa Thu 2018-Vũ Đạo		
14	dance03	Thời Trang Mùa Đông 2018-Vũ Đạo		
15	dance04	Thời Trang Vũ Điệu Én Xuân 2019		
16	bst	Gấu đứng	1	bst
17	brun	Gấu chạy bộ	1	brun
18	cst	Trâu đứng	1	cst
19	crun	Trâu chạy bộ	1	crun
21	m1baost	Nam Tiêu Chuẩn-Bồng-Đứng	1	
22	m1baowlk	Nam Tiêu Chuẩn-Bồng-Đi	1	
23	m1bbaost	Nam Tiêu Chuẩn-Được Bồng-Đứng	1	
24	m1bbaowlk	Nam Tiêu Chuẩn-Được Bồng-Đi	1	
25	m1qst	Nam Tiêu Chuẩn-Nắm Tay-Đứng	1	
26	m1qwlk	Nam Tiêu Chuẩn-Nắm Tay-Đi	1	
27	m1bqst	Nam Tiêu Chuẩn-Bị Nắm Tay-Đứng	1	
28	m1bqwlk	Nam Tiêu Chuẩn-Bị Nắm Tay-Đi	1	
29	m1hst	Nam Tiêu Chuẩn-Cùng Cưỡi-Đứng 1	1	hst
30	m1hrun	Nam Tiêu Chuẩn-Cùng Cưỡi-Chạy 1	1	hrun
31	m1hst01	Nam Tiêu Chuẩn-Cùng Cưỡi-Đứng 2	1	hst
32	m1hrun01	Nam Tiêu Chuẩn-Cùng Cưỡi-Chạy 2	1	hrun
33	m1yb	Nam Tiêu Chuẩn-Ôm	1	
34	m1ybst	Nam Tiêu Chuẩn-Ôm-Đứng	1	
35	m1yb01	Nam Tiêu Chuẩn-Được Ôm	1	
36	m1ybst01	Nam Tiêu Chuẩn-Được Ôm-Đứng	1	
37	m1dance01	标男-双人舞蹈	1	
38	m1dance02	标男-双人舞蹈	1	
41	m2baost	Nam Cường Tráng-Bồng-Đứng	1	
42	m2baowlk	Nam Cường Tráng-Bồng-Đi	1	
43	m2bbaost	Nam Cường Tráng-Được Bồng-Đứng	1	
44	m2bbaowlk	Nam Cường Tráng-Được Bồng-Đi	1	
45	m2qst	Nam Cường Tráng-Nắm Tay-Đứng	1	
46	m2qwlk	Nam Cường Tráng-Nắm Tay-Đi	1	
47	m2bqst	Nam Cường Tráng-Bị Nắm Tay-Đứng	1	
48	m2bqwlk	Nam Cường Tráng-Bị Nắm Tay-Đi	1	
49	m2hst	Nam Cường Tráng-Cùng Cưỡi-Đứng 1	1	hst
50	m2hrun	Nam Cường Tráng-Cùng Cưỡi-Chạy 1	1	hrun
51	m2hst01	Nam Cường Tráng-Cùng Cưỡi-Đứng 2	1	hst
52	m2hrun01	Nam Cường Tráng-Cùng Cưỡi-Chạy 2	1	hrun
53	m2yb	Nam Cường Tráng-Ôm	1	
54	m2ybst	Nam Cường Tráng-Ôm-Đứng	1	
55	m2yb01	Nam Cường Tráng-Được Ôm	1	
56	m2ybst01	Nam Cường Tráng-Được Ôm-Đứng	1	
57	m2dance01	壮男-双人舞蹈	1	
58	m2dance02	壮男-双人舞蹈	1	
61	f1baost	Nữ Loli-Bồng-Đứng	1	
62	f1baowlk	Nữ Loli-Bồng-Đi	1	
63	f1bbaost	Nữ Loli-Được Bồng-Đứng	1	
64	f1bbaowlk	Nữ Loli-Được Bồng-Đi	1	
65	f1qst	Nữ Loli-Nắm Tay-Đứng	1	
66	f1qwlk	Nữ Loli-Nắm Tay-Đi	1	
