SkillId	Desc	Selector	LiftPercent	Distance
213	Kim Chung Tráo			
206	Nhất Kích Sát Thần			
208	Bá Vương Nộ Hống			
210	Huyết Chiến Bát Phương			
270	Kim Cang Phục Ma			
272	Thập Nhị Cầm Long Thủ			
268	Đại Lực Kim Cang Chỉ			
266	Hàng Long Côn			
306	Từ Hàng Phổ Độ	Poorest	95	
308	Bạch Lộ Ngưng Sương			
310	Giang Hải Ngưng Ba			
312	Thiên Vũ Bảo Luân		95	
406	Hỏa Phượng Liêu Nguyên			
407	Phi Hỏa Lưu Tinh			
410	Cửu Diệu Liên Châu			
412	Xuyên Vân Phá Nguyệt			
506	Đẩu Chuyển Tinh Di			
507	Thất Thám Xà Bàn			
510	Bạch Hồng Quán Nhật			
513	Phong Quyển Tàn Vân			
613	Tọa Vọng Vô Ngã			
609	Kiếm Phi Kinh Thiên			
611	Nhân Kiếm Hợp Nhất			
615	Thiên Địa Vô Cực			
711	Huyết Nguyệt Chi Ảnh			
705	Ma Diệm Tại Thiên			
722	Nhiếp Hồn Loạn Tâm			
708	Tử Vong Hồi Toàn			
833	Hùng Miêu Xung Đỉnh			
810	Triệu hồi			
806	Tuyền Cơ La Vũ			
816	Băng Tung Vô Ảnh			
808	Vũ Đả Lê Hoa			
1105	Đồng Hành-Kim Chung Tráo			
1232	Đồng Hành-Bạch Hồng Quán Nhật			
1136	Đồng Hành-Giang Hải Ngưng Ba			
1188	Đồng Hành-Phi Hỏa Lưu Tinh			
1262	Skill Đồng Hành 2			
1278				
1280				
1282				
1284				
1287				
1290	Tô Mặc Vân-Kiếm Trận			
1293	Tô Mặc Vân-Phi Trảm			
1296	Cơ Ngự Thiên-Liên kích			
1300	Cơ Ngự Thiên-Bài Sơn Đáo Hải			
1757	Thiên Ngoại Phi Tiên			
1760	Mộng Điệp Kiếm			
1763	Liệt Hỏa Tình Thiên			
1768	Hoa Phi Hồ Điệp Kiếm			
1772	Trung Quán Bạch Nhật	Player		
2502	Tử Hiên-Mị Hoặc			
2505	Tử Hiên-Yến Vũ			
2509	Tường Vi-Liên Hoàn Tinh Nguyệt			
2512	Tường Vi-Liên Hoàn Tam Tinh Nguyệt			
2514	Triết Biệt-Thiết Kỵ Đột Tập			
2516	Triết Biệt-Vạn Tiễn Tề Phát			
2519	Viên Thừa Chí-Kiếm Khí			
2523	Viên Thừa Chí-Thái Ất Sinh Phong			
2525	Diệp Vô Tâm-Toàn Phiến			
2529	Tiết Ngân Dược-Phách Không Chưởng			
2530	Tiết Ngân Dược-Độc			
2533	Lang Vương-Hào Khiếu			
2536	Lang Vương-Xé Toạc			
2545	Báo Vương-Thiên Hỏa Liệt Trảo			
2547	Hồ Vương-Phong Nhẫn Vũ			
2549	Hồ Vương-Ảnh Phong Trảm			
2553	Lộc Vương-Xoáy Nước			
2555	Lộc Vương-Hàn Băng Xung Đỉnh			
2561	Nạp Lan Chân-Từ Hàng Phổ Độ	Poorest	95	
2515	Triết Biệt-Thuộc tính cộng hưởng	Player		
2522	Viên Thừa Chí-Thuộc tính cộng hưởng	Player		
2527	Diệp Vô Tâm-Thuộc tính cộng hưởng	Player		
2563	Nạp Lan Chân-Thuộc tính cộng hưởng	Player		
2565	Tiểu Ảnh Phong-Họa Địa Vi Lao			
2567	Tiểu Ảnh Phong-Thuộc tính cộng hưởng	Player		
2569	Công Thâu Linh Hoành Phong			
2572	Công Thâu Linh Long Quyển Phong			
2575	Nạp Lan Tiềm Lẫm Kiếm Thích			
2577	Nạp Lan Tiềm Lẫm-Thuộc tính cộng hưởng	Player		
2578	Nạp Lan Tiềm Lẫm Trọng Kiếm Phá Trần			
2582	Trác Phi Phàm Thập Tự Kiếm			
2587	Trác Phi Phàm Kiếm Vũ			
2558				
2591				
1115				
1238				
1144	Thiên Vũ Bảo Luân		95	
1195				
2521				
2626	Mộc Tử Y-Ám Thích			
2630	Hỏa Vẫn			
2635	Độc			
2638	Ngao Bái-Thần Lực			
2640	Trọng Kích			
2642	Băng Tâm Tiên Tử			
2644	Dũng Tuyền			
2655	Nỏ Tiễn Liên Hoàn			
2657	Tiềm Thổ Băng Thích			
2660	Hoàn Tiêu			
2662	Bán Nguyệt Trảm			
2663	Hỏa Cầu x3			
2664	Trọng Tiễn			
2666	Hàn Băng Thích 			
2668	Khai Thiên Phách Địa			
2670	Bá Phong			
2672	Thiên Ngoại Phi Tiên			
2674	Quy Nguyên	Player		
2681	Vô Địch Trảm			
2684	Xuyên Ảnh Trảm			
2688	Huyền Minh Hấp Tinh			
2691	Nộ Phong Phá Tập			
2692	Trọng Quyền			
2697	Hoành Tảo Nhất Kích			
2699	Hàn Băng Tam Nhẫn			
2713	Kim Chung Tráo			
2706	Nhất Kích Sát Thần			
2708	Bá Vương Nộ Hống			
2710	Huyết Chiến Bát Phương			
