Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	AuraSkillId	AuraSkillLevel	BigFaceID	BloodStyle	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	TitleID	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	FixExperience	IsNotShowShadow	SyncFirst	IsNotBYStealLife	Sex
Character_tianwang	77	Nhân vật Thiên Vương Nam	0	1			1		10								3000	3000					27																					1
Character_tianwang_female	3278	Nhân vật Thiên Vương Nữ	0	1			1017		10								3000	3000					27																					2
Character_emei	78	Nga Mi	0	1			2		10								3000	3000					27																					2
Character_taohuadao	79	Đào Hoa	0	1			3		10								3000	3000					27																					2
Character_xiaoyao	80	Nhân Vật Tiêu Dao-Nam	0	1			4		10								3000	3000					27																					1
Character_xiaoyao_female	3458	Nhân Vật Tiêu Dao-Nữ	0	1			1020		10								3000	3000					27																					2
Character_wudang	707	Nhân Vật Võ Đang-Nam	0	1			5		10								3000	3000					27																					1
Character_wudang_female	2884	Nhật Vật Võ Đang-Nữ	0	1			1011		10								3000	3000					27																					2
Character_tianren	708	Thiên Nhẫn	0	1			6		10								3000	3000					27																					2
Character_shaolin	1787	Nhân vật Thiếu Lâm	0	1			9		10								3000	3000					27																					1
Character_cuiyan	1788	Nhân vật Thúy Yên	0	1			10		10								3000	3000					27																					2
Character_tangmen	1959	Nhân vật Đường Môn	0	1			1001		10								3000	3000					27																					1
Character_kunlun_male	2977	Nhân Vật Côn Lôn-Nam	0	1			1014		10								3000	3000					27																					1
Character_kunlun	1960	Nhân Vật Côn Lôn-Nữ	0	1			1002		10								3000	3000					27																					2
Character_gaibang	2157	Nhân vật Cái Bang-Nam	0	1			1003		10								3000	3000					27																					1
Character_gaibang_female	3722	Nhân vật Cái Bang-Nữ	0	1			1023		10								3000	3000					27																					1
Character_wudu	2158	Nhân vật Ngũ Độc	0	1			1004		10								3000	3000					27																					2
Character_cj	2337	Nhân vật Tàng Kiếm	0	1			1005		10								3000	3000					27																					1
Character_cg	2338	Nhân vật Trường Ca	0	1			1006		10								3000	3000					27																					2
Character_ts	2640	Nhân Vật Thiên Sơn-Nam	0	1			1007		10								3000	3000					27																					1
Character_ts_female	2682	Nhân Vật Thiên Sơn-Nữ	0	1			1008		10								3000	3000					27																					2
Character_bd	2876	Nhân Vật Bá Đao-Nam	0	1			1009		10								3000	3000					27																					1
Character_bd_female	2877	Nhân Vật Bá Đao-Nữ	0	1			1010		10								3000	3000					27																					2
Character_hs	2951	Nhân Vật Hoa Sơn-Nam	0	1			1012		10								3000	3000					27																					1
Character_hs_female	2952	Nhân Vật Hoa Sơn-Nữ	0	1			1013		10								3000	3000					27																					2
Character_mj	3253	Nhân vật Minh Giáo Nam	0	1			1015		10								3000	3000					27																					1
