nNpcTemplateId	Name
274	
273	
650	
651	
638	
674	
675	
676	
957	Nỏ Xa-Bí cảnh tổ đội
1643	Huyền Thiên Võ Cơ-Bí cảnh tổ đội
1258	
727	
1201	
933	
934	
935	
936	
937	
938	
939	
940	
435	
187	
1421	
148	Huyết Mẫu Đơn
149	Diệp Thượng Châu
150	Ngân Tuyến Thảo
151	Tường Vi Tím
152	Địa Linh Căn
153	Thiên Hương Quả
154	Huyết Phong Đằng
155	Ngu Mỹ Nhân
156	Mạn Châu Sa Hoa
157	Mạn Đà La
158	Kim Tang Diệp
159	Bách Niên Chu Quả
1831	NPC Tẩy Tủy Đảo
1829	Hướng Dẫn Lôi Đài
1830	Báo Danh Lôi Đài
1840	Rương Lễ Bang Hội
1879	Rương Tần Lăng
1966	Nạp Lan Tiềm Lẫm
1967	Nạp Lan Chân
1968	Độc Cô Kiếm
1969	Trương Lâm Tâm
1970	Nam Cung Phi
1971	Yên Nhược Tuyết
1972	Mạnh Tri Thu
1973	Nguyệt My Nhi
1974	Dương Ảnh Phong
1975	Tường Vi
1976	Trương Như Mộng
1977	Nam Cung Thái Hồng
1978	Trác Phi Phàm
1979	Tử Hiên
1980	Sài Tung
1981	Dương Anh
1982	Hồ Thần Y
1983	Thu Y Thủy
1984	Vạn Kim Tài
1985	Ngu Cơ
2101	Tâm Ma Ảo Cảnh_Tâm Ma Ảo Tượng
1994	Tâm Ma Ảo Cảnh_Rương
1987	Tâm Ma Ảo Cảnh_Thương Nhân
2130	Người Tuyết Thần Kỳ
2131	Người Tuyết Thần Kỳ
2132	Người Tuyết Thần Kỳ
2133	Người Tuyết Thần Kỳ
2135	Người Tuyết Thần Kỳ
2136	Bẫy Băng Nguyên
2137	Bẫy Băng Nguyên
2138	Bẫy Băng Nguyên
2139	Bẫy Băng Nguyên
2140	Bẫy Băng Nguyên
2141	Tuyết Nguyên Phù
2142	Tuyết Nguyên Phù
2143	Tuyết Nguyên Phù
2144	Tuyết Nguyên Phù
2121	Người Tuyết Nhỏ
2151	Người Tuyết Tinh Nghịch
2152	Người Tuyết Thường
2153	Người Tuyết Tinh Xảo
2154	Người Tuyết Lớn
2155	Người Tuyết Khổng Lồ
2156	Người Tuyết Siêu Cấp
631	Yên Nhược Tuyết
95	Lễ Tình Nhân
2198	Xích Tâm Hoa
2206	Tết Trồng Cây-Cây Ước Nguyện
2207	Tết Trồng Cây-Cây Ước Nguyện
2208	Tết Trồng Cây-Cây Ước Nguyện
