Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	MetalResist	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	SeriesDamageValue
1s		1	15	{1,188},{10,255},{20,439},{30,580}	0	0	{10,1000},{100,2800},{150,7000}	30	30	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
3s		2	15	{1,563},{10,902},{20,1317},{30,1500}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
5s		3	15	{1,250},{2,360},{3,410},{4,460},{5,410},{6,860},{7,910},{8,960},{9,1010},{10,1060},{20,2196},{30,3800},{100,100000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
10s		4	15	{1,1878},{10,3006},{20,4391},{30,10000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
15s		5	15	{1,2871},{10,4509},{20,6587},{30,15000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
20s		6	15	{1,3756},{10,6011},{20,8782},{30,60000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,100}	{10,5},{30,100}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
wuxingxiangke	Dùng Ngũ Hành Tương Khắc	20000	15	{1,10000},{10,6011},{20,8782},{30,300000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,40000}	{10,5},{30,40000}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
Xisuidao_Gold	Rối Thiên Cơ-Kim	8	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	200	1000	200	0	200			1000
Xisuidao_Wood	Rối Thiên Cơ-Mộc	9	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	0	200	200	200	1000			1000
Xisuidao_Water	Rối Thiên Cơ-Thủy	10	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	200	200	200	1000	0			1000
