FaceId	Atlas	Sprite	Desc
1	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_076	Tử Y Muội Muội
2	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_064	Cô Gái Choàng Khăn
3	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_005b	Thiếu Nữ Áo Trắng
4	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	Triệu Vô Song
5	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	Nguyệt Minh Dao
6	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	Vô Tưởng
7	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_002	Dương Anh Tóc Bạc
8	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	Lý Điềm Nhi
9	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_092	Đào Hoa-Lam
10	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	Tần Mộc Bạch
11	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_003	Quản Lý Bang Hội
12	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_002	Khúc Hà
13	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	Nạp Lan Chân
14	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_pet_008	Nga Mi Đại Sư Tỷ
15	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005a	Hà Mộ Tuyết
16	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	Hoàng Mộ Vân
17	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	Dương Anh
18	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	Tường Vi
19	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	Tô Mặc Vân
20	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	Tử Hiên
21	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	Thu Y Thủy
22	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	Nguyệt My Nhi
23	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead23	Tân Nga Mi
24	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead24	Tân Thúy Yên
25	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead25	Tân Côn Lôn
26	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead26	Tân Đào Hoa
27	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead27	Tân Thiên Nhẫn
28	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead28	Triệu Ân Đồng
29	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_210	Triệu Ân Đồng-Thiên Sơn
30	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_211	Hình Đại Diện OB-Nữ
31	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_213	Hình Đại Diện Ngôi Sao Triệu Ân Đồng
32	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_1	Hình đại diện Tết Nguyên Tiêu-Nữ
33	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_2	Hình đại diện Lễ 8/3-Nữ
34	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_3	The Voice Dịu Dàng Êm Ái
35	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_4	Top 10 Hảo Thanh Toàn Máy Chủ
36	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_5	Top 3 Vòng Chung Kết The Voice
37	UI/Atlas/Head/Partner/Partner_Female_03.prefab	Head_Act_FeMale_6	The Voice Top 10 Toàn Máy Chủ
38	UI/Atlas/Head/Partner/Partner_Female_03.prefab	Head_Act_FeMale_7	The Voice Quán Quân Toàn Máy Chủ
39	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead29	Hồn Tây Bắc
40	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead30	Hồn Quốc Hoa
