nTemplateId	szAction	szInfo	nDist	nRX	nHeightPercent	nMoveTime	nStayTime
0	think	Tiểu Nhị Bức	-20	10	0.7	15	30
413		Vong Ưu Đảo Thiếu Nữ					
416		Vong Ưu Đảo Chủ			0.8		
415		Con Dương Hi Liệt					
1006		Phi Long Bảo Chủ					
1070		Tàng Kiếm Cô Nữ					
1098		Ái Nữ Mạnh Tri Thu					
1160		Hành Sơn Phái Cao Thủ					
1166		Võ Di Chưởng Môn					
1239		Thiếu Lâm Cao Tăng					
1440		Tống Đại Tướng					
620		Đường Môn Thiếu Chủ					
621		Con Gái Phi Kiếm Khách Trương Phong					
630		Danh Tướng Kháng Kim					
90		Vong Ưu Đảo Thiếu Nữ					
623		Truy Mộng Thiếu Niên					
100		Minh Chủ Võ Lâm					
99		Chủ Ẩn Hương Lâu					
626		Giang Hồ Kỳ Nhân					
624		Trang Chủ Bi Ma Sơn Trang					
88		Hành Sơn Chưởng Môn			0.75		
631		Tiểu Nữ Hoàn Nhan Hồng Liệt					
625		Con Trai Phi Kiếm Khách Trương Phong					
694		Thúy Yên Môn Chủ					
91		Tống Đại Tướng					
633		Thiên Vương Bang Chủ					
1350		Trường Ca Môn Chủ					
89		Tuyệt Thế Cao Thủ					
92		Phi Kiếm Khách					
1529		Nga Mi Chưởng Môn					
1528		Tiêu Dao Chưởng Môn					
1530		Đào Hoa Đảo Chủ					
190		Phú Thương Cự Giả					
