Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
Fb_Protect_1	71	Thiếu Nữ Áo Trắng	0	0	FubenDeath		105	3	103			205	57	1					560	980	Setting/Npc/Ai/CommonActive2.ini			1	20																			
Fb_Protect_2	72	Hồng Anh Thị	0	1	FubenDeath		108					201	21	1					560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1					900000													
chuansong	73	Cửa Truyền Tống	4	0			8					1							560	980				1	15																			
chuansong_X	3677	Cửa Truyền Tống	4	0			3677					1							560	980				1	15																			
chuansong_X1	3683	Cửa Truyền Tống	4	0			3683					1							560	980				1	15																			
Changjing_hehua	232	Hà Hoa	5	0			355					1																																
qinggong	74	Thượng Thăng Khí Lưu	4	0			361					1							560	980				1	15																	1		
Task_xs_1	75	Nạp Lan Chân	2	1			177	13	113	Đây là đối thoại mặc định		1							560	980				1	17	1																		
Task_xs_2	76	Nạp Lan Tiềm Lẫm	2	1			21	210	310			1							560	980				1	17	1																		
Test_muzhuang	81	Cọc gỗ-Vững như bàn thạch	0	1			11					100							560	980				1	15	1	1																	
Test_muzhuang_1	244	Cọc Gỗ	0	1			11					100							560	980				1	15	1																		
Test13	82	Quái bị động	0	1	FubenDeath		11					1	21	1					560	980	Setting/Npc/Ai/CommonPassive.ini			1	15	1																		
Test14	83	Quái chủ động	0	1	FubenDeath		11					1	38	1					560	980	Setting/Npc/Ai/ComboTest.ini			1	15	1																		
Test_combo	84	Thử Nghiệm AI-Liên Chiêu	0	1			1				10	2	201	1	202	1	203	1	560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
Test_pt1	85	Không phải đồng đội của tôi	3	1			11												560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	15	1																		
