Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
Activity_nalanqianlin	1966	Nạp Lan Tiềm Lẫm	2	1	WeekendQuestionNpc		21	626	312			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_nalanzhen	1967	Nạp Lan Chân	2	1	WeekendQuestionNpc		177	712	113			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_dugujian	1968	Độc Cô Kiếm	2	1	WeekendQuestionNpc		32	654	304			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_zhanglinxin	1969	Trương Lâm Tâm	2	1	WeekendQuestionNpc		1100	715	997			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_nangongfeiyun	1970	Nam Cung Phi	2	1	WeekendQuestionNpc		5027	610	307			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_yanruoxue	1971	Yên Nhược Tuyết	2	1	WeekendQuestionNpc		1129	727	997			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_mengzhiqiu	1972	Mạnh Tri Thu	2	1	WeekendQuestionNpc		156	622	303			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_yuemeier	1973	Nguyệt My Nhi	2	1	WeekendQuestionNpc		1102	716	122			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_yangyingfeng	1974	Dương Ảnh Phong	2	1	WeekendQuestionNpc		1101	630	325			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_qiangwei	1975	Tường Vi	2	1	WeekendQuestionNpc		103	703	118			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_zhangrumeng	1976	Trương Như Mộng	2	1	WeekendQuestionNpc		193	627	314			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_nangongcaihong	1977	Nam Cung Thái Hồng	2	1	WeekendQuestionNpc		126	706	997			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_zhuofeifan	1978	Trác Phi Phàm	2	1	WeekendQuestionNpc		194	628	318			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_zixuan	1979	Tử Hiên	2	1	WeekendQuestionNpc		131	708	120			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_xuantiandaoren	1980	Sài Tung	2	1	WeekendQuestionNpc		132	651	999			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_yangying	1981	Dương Anh	2	1	WeekendQuestionNpc		141	710	117			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Activity_hushenyi	1982	Hồ Thần Y	2	1	WeekendQuestionNpc		5022	608	323			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
