Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
JZ_A_1_enemy_1	3467	Thích Khách Bịt Mặt	0	1	FubenDeath		174	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_1_enemy_2	3468	Lưu Manh	0	1	FubenDeath		173	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_1_enemy_3	3469	Thích Khách	0	1	FubenDeath		124	200	300		314	40	1	91	1			550	850	Setting/Npc/Ai/RangeActive.ini			1	18	1											1								1	
JZ_A_1_enemy_fanshegh	3470	Cờ	0	1	FubenDeath		466	200	300		345	22	1	91	1	2398	1						1	18	2	1				3004		NoTurn				3								1	
JZ_A_1_npc_1	3471	Tử Hiên	0	0	FubenDeath		131	200	300		331	40	1	52	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	1											4								1	
JZ_A_2_enemy_1	3472	Phong Hòa Thượng	0	1	FubenDeath		163	200	300		314	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_2_enemy_2	3473	Thuật Sĩ Bùa Chú	0	1	FubenDeath		137	200	300		314	40	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss22.ini			1	18	1											3								1	
JZ_A_2_Leader_1	3474	Vô Tướng	0	1	FubenDeath		451	200	300		331	2925	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/random/wuxiang.ini	3		1	20	2								1			5								1	
JZ_A_2_npc_1	3475	Lục Văn Long	0	1	FubenDeath		617	200	300		332	2924	1	2486	1	91	1	1000	1000	Setting/Npc/Ai/CommonSkill.ini	3		1	18	2								1			4								1	
JZ_A_3_enemy_1	3476	Mãnh Hổ	0	1	FubenDeath		114	200	300		313	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_3_enemy_2	3477	Mãnh Hổ-Tinh Anh	0	1	FubenDeath		114	200	300		322	22	1	2443	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2		1535	1		3000						3								1	
JZ_A_3_enemy_3	3478	Hỏa Hồ	0	1	FubenDeath		110	200	300		312	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1								1	
JZ_A_3_enemy_gongjigh	3479	Hỏa Hồ-Tinh Anh	0	1	FubenDeath		110	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2		1503	4		3002						3								1	
JZ_A_3_enemy_huifugh	3480	Bò Cạp	0	1	FubenDeath		109	200	300		312	22	1	91	1	2418	3	1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1					3003						1								1	
JZ_A_3_enemy_shibao	3481	Bò Cạp-Tinh Anh	0	1	FubenDeath		109	200	300		321	22	1	2418	3	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2					3003						3								1	
JZ_A_3_npc_1	3482	Triệu Vô Song	0	0	FubenDeath		127	200	300		323	39	1	44	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	1											4								1	
JZ_A_3_npc_gouhuo	3483	Lửa Trại	6	0	FubenDeath		380	200	300															0																				1	
JZ_A_4_Elite_1	3484	Vô Ưu Giáo Đầu Mục	0	1	FubenDeath		365	200	300		332	1811	3	91	1			15000	15000	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											5								1	
JZ_A_4_enemy_1	3485	Phi Long Bảo Phản Đồ	0	1	FubenDeath		174	200	300		314	21	1	91	1			15000	15000	Setting/Npc/Ai/CommonActive.ini			1	11	1											1								1	
JZ_A_4_enemy_2	3486	Vô Ưu Giáo Tinh Anh	0	1	FubenDeath		124	200	300		323	21	1	2383	1	91	1	15000	15000	Setting/Npc/Ai/CommonSkill.ini			1	11	2											3								1	
JZ_A_4_Xiyou_1	3487	Hà Mộ Tuyết	0	0	FubenDeath		105	200	300		331	55	1	2391	1	43	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2								1	
JZ_A_5_Elite_1	3488	Thủ Lĩnh Thích Khách	0	1	FubenDeath		365	200	300		332	1811	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											5								1	
JZ_A_5_enemy_1	3489	Thích Khách Bịt Mặt	0	1	FubenDeath		174	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_5_enemy_2	3490	Thích Khách Tinh Anh	0	1	FubenDeath		124	200	300		323	21	1	2383	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3								1	
