Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	ForbitMove	StartActEvent	TitleID	DropType	Tag	DefaultDialog	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Guest_SSS_1	2978	Xi Vưu	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_2	2979	Hậu Nghệ	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_3	2980	Tô Đắc Kỷ	0	0	PartnerCardHouseNpc		5131	802	997									3000					2	10	3														10					
Guest_SSS_4	2981	Quỷ Cốc Tử	0	0	PartnerCardHouseNpc		6171	666	999									3000					2	10	3														10					
Guest_SSS_5	2982	Hạng Vũ	0	0	PartnerCardHouseNpc		6173	665	999									3000					2	10	3														10					
Guest_SSS_6	2983	Tần Thủy Hoàng	0	0	PartnerCardHouseNpc		6136	660	999									3000					2	10	3														10					
Guest_SSS_7	2984	Võ Tắc Thiên	0	0	PartnerCardHouseNpc		6205	722	999									3000					2	10	3														10					
Guest_SSS_8	2985	Lữ Động Tân	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_9	2986	Trương Tam Phong	0	0	PartnerCardHouseNpc		6172	801	999									3000					2	10	3														10					
Guest_SSS_10	2987	Tây Thi	0	0	PartnerCardHouseNpc		5103	802	997									3000					2	10	3														10					
Guest_SSS_11	2988	Hoàn Nhan Hồng Liệt	0	0	PartnerCardHouseNpc		5031	653	999									3000					2	10	3														10					
Guest_SS_1	2989	Độc Cô Kiếm	0	0	PartnerCardHouseNpc		5032	654	304									3000					2	10	3														10					
Guest_SS_1_show	3365	Độc Cô Kiếm	0	0			5032	654	304									3000					2	10	3							NoTurn							10					
Guest_SS_2	2990	Nam Cung Phi	0	0	PartnerCardHouseNpc		5027	610	307									3000					2	10	3														10					
Guest_SS_2_show	3366	Nam Cung Phi	0	0			5027	610	307									3000					2	10	3							NoTurn							10					
Guest_SS_3	2991	Dương Ảnh Phong	0	0	PartnerCardHouseNpc		6101	630	325									3000					2	10	3														10					
Guest_SS_3_show	3367	Dương Ảnh Phong	0	0			6101	630	325									3000					2	10	3							NoTurn							10					
Guest_SS_4	2992	Đường Giản	0	0	PartnerCardHouseNpc		6190	661	999									3000					2	10	3														10					
Guest_SS_4_show	3368	Đường Giản	0	0			6190	661	999									3000					2	10	3							NoTurn							10					
Guest_SS_5	2993	Huyền Thiên Đạo Nhân	0	0	PartnerCardHouseNpc		5016	604	326									3000					2	10	3														10					
Guest_SS_5_show	3369	Huyền Thiên Đạo Nhân	0	0			5016	604	326									3000					2	10	3							NoTurn							10					
Guest_SS_6	2994	SS6	0	0	PartnerCardHouseNpc		5031	653	999									3000					2	10	3														10					
Guest_SS_6_show	3370	SS6	0	0			5031	653	999									3000					2	10	3							NoTurn							10					
Guest_SS_7	2995	Lý Nguyên Bá	0	0	PartnerCardHouseNpc		6107	631	999									3000					2	10	3														10					
Guest_SS_7_show	3371	Lý Nguyên Bá	0	0			6107	631	999									3000					2	10	3							NoTurn							10					
Guest_SS_8	2996	Triệu Vân	0	0	PartnerCardHouseNpc		6113	635	309									3000					2	10	3														10					
Guest_SS_8_show	3372	Triệu Vân	0	0			6113	635	309									3000					2	10	3							NoTurn							10					
Guest_SS_9	2997	Lý Quảng	0	0	PartnerCardHouseNpc		1135	659	999									3000					2	10	3														10					
Guest_SS_9_show	3373	Lý Quảng	0	0			1135	659	999									3000					2	10	3							NoTurn							10					
Guest_SS_10	2998	Kinh Kha	0	0	PartnerCardHouseNpc		6108	655	999									3000					2	10	3														10					
Guest_SS_10_show	3374	Kinh Kha	0	0			6108	655	999									3000					2	10	3							NoTurn							10					
Guest_SS_11	2999	Ngu Cơ	0	0	PartnerCardHouseNpc		6112	717	997									3000					2	10	3														10					
Guest_SS_11_show	3375	Ngu Cơ	0	0			6112	717	997									3000					2	10	3							NoTurn							10					
Guest_SS_12	3000	Nhạc Phi	0	0	PartnerCardHouseNpc		6130	657	999									3000					2	10	3														10					
Guest_SS_12_show	3376	Nhạc Phi	0	0	PartnerCardHouseNpc		6130	657	999									3000					2	10	3							NoTurn							10					
Guest_S_1	3001	Nguyệt My Nhi	0	0	PartnerCardHouseNpc		6102	716	122									3000					2	10	3														10					
Guest_S_2	3002	Dương Anh	0	0	PartnerCardHouseNpc		5141	710	117									3000					2	10	3														10					
Guest_S_3	3003	Chúc Tử Hư	0	0	PartnerCardHouseNpc		5214	642	316									3000					2	10	3														10					
Guest_S_4	3004	Thanh Hiểu Sư Thái	0	0	PartnerCardHouseNpc		5185	713	114									3000					2	10	3														10					
Guest_S_5	3005	Hoàng Mộ Vân	0	0	PartnerCardHouseNpc		5213	718	116									3000					2	10	3														10					
Guest_S_6	3006	Đạo Nhất Chân Nhân	0	0	PartnerCardHouseNpc		6116	636	999									3000					2	10	3														10					
Guest_S_7	3007	Đoan Mộc Duệ	0	0	PartnerCardHouseNpc		6122	656	999									3000					2	10	3														10					
Guest_S_8	3008	Huyền Nhân	0	0	PartnerCardHouseNpc		6132	801	999									3000					2	10	3														10					
Guest_S_9	3009	Doãn Hàm Yên	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_S_10	3010	Hắc Diện Lang Quân	0	0	PartnerCardHouseNpc		6167	662	328									3000					2	10	3														10					
Guest_S_11	3011	Tuyền Cơ Tử	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_S_12	3012	Hà Nhân Ngã	0	0	PartnerCardHouseNpc		6170	663	999									3000					2	10	3														10					
Guest_S_13	3013	Đường Cừu	0	0	PartnerCardHouseNpc		6175	664	999									3000					2	10	3														10					
Guest_S_14	3014	Mạnh Tri Thu	0	0	PartnerCardHouseNpc		5156	622	303									3000					2	10	3														10					
Guest_S_15	3015	Cao Trường Cung	0	0	PartnerCardHouseNpc		5149	620	319									3000					2	10	3														10					
