Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience																																																																																								SyncFirst	IsNotBYStealLife	Sex
RandomFuben_huohu_1	258	Hỏa Hồ	0	1	FubenDeath		110	200	300		314	22	1	1533	1	91	1	1500	1500	Setting/Npc/Ai/random/crazy.ini			1	20	1											1																																																																																																
RandomFuben_huohu_2	259	Hỏa Hồ Vương	0	1	FubenDeath		384	200	300		322	22	1	91	1			1500	1500	Setting/Npc/Ai/random/crazy.ini			1	20	2											3																																																																																																
RandomFuben_shanzei_1	260	Sơn Tặc	0	1	FubenDeath		136	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
RandomFuben_shanzei_2	261	Sơn Tặc Đầu Mục	0	1	FubenDeath		369	200	300		322	21	1	24	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2											3																																																																																																
RandomFuben_tiger_1	256	Mãnh Hổ	0	1	FubenDeath		114	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
RandomFuben_tiger_2	255	Hổ Chúa	0	1	FubenDeath		114	200	300		322	22	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
RandomFuben_bear_1	269	Gấu Đen	0	1	FubenDeath		116	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
RandomFuben_bear_2	1312	Gấu Đen Chúa	0	1	FubenDeath		399	200	300		322	22	1	2357	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
RandomFuben_jinqianbao_1	270	Kim Tiền Báo	0	1	FubenDeath		111	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
RandomFuben_jinqianbao_2	271	Kim Tiền Báo Chúa	0	1	FubenDeath		385	200	300		322	22	1	2357	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
RandomFuben_huilang_1	700	Sói Xám	0	1	FubenDeath		115	200	300		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
RandomFuben_langwang_1	701	Lang Vương	0	1	FubenDeath		357	200	300		322	1362	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss9.ini	2	Setting/Npc/DropFile/RandomFuben/House_A/lisan.tab	1	20	2								1			3																																																																																																
RandomFuben_xiangma_1	661	Đạo Tặc Cản Đường	0	1	FubenDeath		143	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1																																																																																																
RandomFuben_xiangma_2	662	Thủ Lĩnh Đạo Tặc	0	1	FubenDeath		400	200	300		322	21	1	28	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3																																																																																																
RandomFuben_jiading	643	Tô Gia Gia Đinh	0	1	FubenDeath		123	200	300		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1																																																																																																
RandomFuben_jiguan1	274	Cơ Quan	2	0	FubenDialog	0,Đang mở..., Không ổn! Bị mai phục rồi!	377	995	300																							NoTurn																																																																																																				
RandomFuben_jiguan2	273	Kiếm	2	0	FubenDialog	4,Đang mở...	362	995	300		1							560	980				1	15		1						NoTurn																																																																																																				
RadomFuben_jiguanskill	264	Cơ Quan Kỹ Năng	5	0	FubenDeath		358	995	300																																																																																																																											
RandomFuben_shibei	650	Bia Đá	2	0	FubenDialog	0,Đang mở..., Không ổn! Bị mai phục rồi!	413	995	300																							NoTurn																																																																																																				
RandomFuben_shibei1	651	Bia Đá	2	0	FubenDialog	4,Đang mở...	413	995	300																							NoTurn																																																																																																				
RandomFuben_xinmo1	275	Thiên Vương	0	1	FubenDeath		421	200	300		332	2001	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_tianwang.ini			1	25	1																																																																																																											
RandomFuben_xinmo2	276	Nga Mi	0	1	FubenDeath		422	200	300		332	2008	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_emei.ini			1	25	1																																																																																																											
RandomFuben_xinmo3	277	Đào Hoa	0	1	FubenDeath		423	200	300		332	2014	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_taohua.ini			1	25	1																																																																																																											
RandomFuben_xinmo4	278	Tiêu Dao	0	1	FubenDeath		424	200	300		332	2024	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_xiaoyao.ini			1	25	1																																																																																																											
RandomFuben_xinmo5	1231	Võ Đang	0	1	FubenDeath		434	200	300		332	2901	1	91	1			3000	3000	Setting/Npc/Ai/random/jx_wudang.ini			1	25	1																																																																																																											
