NpcTID	Desc
123	Danh Tướng: Cao Trường Cung
1480	Danh Tướng: Cao Trường Cung
124	Danh Tướng: Triết Biệt
1481	Danh Tướng: Triết Biệt
125	Danh Tướng: Viên Thừa Chí
1482	Danh Tướng: Viên Thừa Chí
126	Danh Tướng: Ngao Bái
1483	Danh Tướng: Ngao Bái
1478	Danh Tướng: Hàn Thế Trung
1484	Danh Tướng: Hàn Thế Trung
1479	Danh Tướng: Tần Lương Ngọc
1485	Danh Tướng: Tần Lương Ngọc
127	Danh Tướng: Kinh Kha
1707	Danh Tướng: Kinh Kha
128	Danh Tướng: Ngu Cơ
1708	Danh Tướng: Ngu Cơ
129	Danh Tướng: Nhạc Phi
1709	Danh Tướng: Nhạc Phi
130	Danh Tướng: Lý Quảng 
1710	Danh Tướng: Lý Quảng 
1705	Danh Tướng: Triệu Vân
1711	Danh Tướng: Triệu Vân
1706	Danh Tướng: Lý Nguyên Bá
1712	Danh Tướng: Lý Nguyên Bá
2235	Danh Tướng: Hạng Vũ
2236	Danh Tướng: Hạng Vũ
2237	Danh Tướng: Trương Tam Phong
2238	Danh Tướng: Trương Tam Phong
2239	Danh Tướng: Quỷ Cốc Tử
2240	Danh Tướng: Quỷ Cốc Tử
1838	Tần Thủy Hoàng
1875	Huyền Thiên Võ Cơ
1876	Bạch Khởi
1877	Lý Tư
2509	Võ Tắc Thiên
2510	Vô Tự Bi
2511	Nguyên Phương
2512	Địch Nhân Kiệt
2102	
2103	
2104	
2105	
2106	
2107	
2108	
2109	
2110	
2111	
2112	
2440	Tống-Thủ Vệ Tháp
2442	Kim-Thủ Vệ Tháp
2486	Tống-Thủ Vệ Tháp
2487	Kim-Thủ Vệ Tháp
2488	Tống-Thủ Vệ Tháp
2489	Kim-Thủ Vệ Tháp
2443	Đại Doanh Quân Tống
2444	Đại Doanh Quân Kim
2490	Đại Doanh Quân Tống
2491	Đại Doanh Quân Kim
2492	Đại Doanh Quân Tống
2493	Đại Doanh Quân Kim
2448	Hám Thiên Hùng Hoàng
2495	Hám Thiên Hùng Hoàng
2496	Hám Thiên Hùng Hoàng
2498	Danh Tướng Liên SV: Hạng Vũ
2499	Danh Tướng Liên SV: Hạng Vũ-Phân Thân
2753	Thí Luyện Bang Hội-Mới: Đại Hùng
2754	Thí Luyện Bang Hội-Mới: Nhị Hùng
2755	Thí Luyện Bang Hội-Mới: Tam Hùng
2756	Thí Luyện Bang Hội-Mới: Đại Hùng
2757	Thí Luyện Bang Hội-Mới: Nhị Hùng
2758	Thí Luyện Bang Hội-Mới: Tam Hùng
2759	Thí Luyện Bang Hội-Mới: Đại Hùng
2760	Thí Luyện Bang Hội-Mới: Nhị Hùng
2761	Thí Luyện Bang Hội-Mới: Tam Hùng
2788	Cổng Thành
2797	Long Trụ Càn Thanh
2798	Long Trụ Khôn Ninh
2974	Long Trụ
3163	Long Trụ
3162	Long Trụ
3164	Long Trụ
3165	Long Trụ
3166	Long Trụ
3167	Long Trụ
2975	Phong Uyên Thần Mộc
3168	Phong Uyên Thần Mộc
3169	Phong Uyên Thần Mộc
3170	Phong Uyên Thần Mộc
3171	Phong Uyên Thần Mộc
3172	Phong Uyên Thần Mộc
3173	Phong Uyên Thần Mộc
2976	Đông-Kho Lương
3174	Đông-Kho Lương
3175	Đông-Kho Lương
3176	Đông-Kho Lương
3177	Đông-Kho Lương
3178	Đông-Kho Lương
3179	Đông-Kho Lương
3155	Hùng Thường Thần Mộc
3180	Hùng Thường Thần Mộc
3181	Hùng Thường Thần Mộc
3182	Hùng Thường Thần Mộc
3183	Hùng Thường Thần Mộc
3184	Hùng Thường Thần Mộc
3185	Hùng Thường Thần Mộc
3156	Tây-Kho Lương
3186	Tây-Kho Lương
3187	Tây-Kho Lương
3188	Tây-Kho Lương
3189	Tây-Kho Lương
3190	Tây-Kho Lương
3191	Tây-Kho Lương
3332	Hoàn Nhan Tông Hàn
3378	Hoàn Nhan Tông Hàn
3396	Hoàn Nhan Tông Hàn
