Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Birthplace_npc1	413	Nạp Lan Chân	2	1	ClientTaskNpc		177	13	113	Hôm nay gặp ngươi, ta mới cảm thấy mình đã ở trên đảo này mười mấy năm rồi.		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc2	414	Ân Phương	2	1	ClientTaskNpc		125	208	308	Sẽ có một ngày ta trở thành đại hiệp danh chấn thiên hạ!		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc3	415	Dương Ảnh Phong	2	1	ClientTaskNpc		1101	225	325	Để trở thành thiên hạ đệ nhất, dù hy sinh mạng này có sá chi!		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc4	416	Nạp Lan Tiềm Lẫm	2	1	ClientTaskNpc		187	212	312	Tâm không tịnh, vạn sự bất thành, hãy hành sự cẩn thận.		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc5	417	Hồ Thần Y	2	1			5022	223	323	Vong Ưu Đảo đúng là một kho báu, Chân Nhi cũng là y sư giỏi, không biết sao lại yêu tên tiểu tử thối đó!		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc6	418	Nạp Lan Chân	2	1			177	13	113	Mong Dương đại ca mau khỏe.		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc7	578	Ân Phương	2	1			125	208	308	Muốn vang danh thiên hạ phải luyện kiếm! Ơ, ta không cố ý...		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc8	419	Dương Ảnh Phong	2	1			1101	225	325	Giang hồ hiểm ác, lòng người khó lường, ôi, 		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc9	954	Nạp Lan Tiềm Lẫm	2	1			187	212	312	Chân Nhi tính tình ngoài mềm trong cứng, có câu nói con gái lấy chồng như bát nước đổ đi, điều này...!		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc11	956	Liệp Ưng	5	1			147					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc12	1080	Nạp Lan Chân	0	1			177	13	113	Hôm nay gặp ngươi, ta mới cảm thấy mình đã ở trên đảo này mười mấy năm rồi.		1	21	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	40	3																		
Birthplace_npc13	1081	Dương Ảnh Phong	0	1			1101	225	325	Để trở thành thiên hạ đệ nhất, dù hy sinh mạng này có sá chi!		1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																		
Birthplace_npc14	1277	Dương Ảnh Phong Trọng Thương	4	1			457	225	325			1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																		
Birthplace_npc15	1278	Ác Đồ	2	1			123		993	Đại hiệp thật dũng mãnh, khó có đối thủ!		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Birthplace_npc10	955	Xích Tâm Hoa	2	1	TaskNpc	14|3|Đang thu thập...	323					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_caoyao	1276	Tử Lan Thảo	2	1	TaskNpc	45|3|Đang thu thập...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
House_caiji_caoyao	2213	Tử Lan Thảo	2	1	TaskNpc	3104|3|Đang thu thập...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_qicaixiaohua	2732	Hoa Bảy Màu	2	1	TaskNpc	3258|3|Đang thu thập...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_xiangzi1	1284	Rương Vật Phẩm	2	1	TaskNpc	25|3|Đang thu thập...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_xiangzi2	1285	Rương Vật Phẩm	2	1	TaskNpc	24|3|Đang thu thập...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_xsd_caiji_guozi	1252	Quả	2	1	TaskNpc	312|3|Đang thu thập...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_wys_caiji_guozi	1349	Quả	2	1	TaskNpc	76|3|Đang thu thập...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_jiangguo	2733	Quả Mọng	2	1	TaskNpc	3276|3|Đang thu thập...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
