ResId	ResFile	ResSlot	Desc
1	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_1.prefab	Bone013(mirrored)	标女2019夏季婚纱外装
2	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_2.prefab	Bone013(mirrored)	标女2019夏季婚纱外装
3	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_3.prefab	Bone013(mirrored)	标女2019夏季婚纱外装
4	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_4.prefab	Bone013(mirrored)	标女2019夏季婚纱外装
5	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_5.prefab	Bone013(mirrored)	标女2019夏季婚纱外装
11	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_1.prefab	Bone047	萝莉2019夏季婚纱外装
12	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_6.prefab	Bone047	萝莉2019夏季婚纱外装
13	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_3.prefab	Bone047	萝莉2019夏季婚纱外装
14	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_7.prefab	Bone047	萝莉2019夏季婚纱外装
15	Effect/Prefabs/JueSe/WaiZhuang/F2_F1_W016_PC_8.prefab	Bone047	萝莉2019夏季婚纱外装
