TimeFrame	Day	Name	ScriptFunc	WeekDay	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Param1	Param2	Param3	Param4	Param5
OpenLevel39	2	Bang Hội Truyền Công, Nhiệm Vụ Thương Hội, Lăng Tuyệt Phong	SendTimeFrameMail		4:05										OpenDay2	1	Giới thiệu\n    【Dự báo】%date mở: Bang Hội Truyền Công, nhiệm vụ Thương Hội, Lăng Tuyệt Phong.\n   Chi tiết xem tại giao diện Lịch hoạt động-Dự báo!	Coin|1000	
OpenLevel39	3	Thủ Lĩnh Dã Ngoại Lv20, Khiêu Chiến Anh Hùng, Bạch Hổ Đường	SendTimeFrameMail		4:05										OpenDay3	1	Giới thiệu\n    【Dự báo】%date mở: Thủ Lĩnh Dã Ngoại Lv20, Khiêu Chiến Anh Hùng, Bạch Hổ Đường.\n   Chi tiết xem tại giao diện Lịch hoạt động-Dự báo!	Coin|1000	
OpenLevel39	3	Thi Đấu Môn Phái	SendTimeFrameMail	26	4:05										OpenDay4	1	Thông báo Thi Đấu Môn Phái\n    Các vị đồng môn, nay phái ta ngày càng phồn vinh, nhân tài vô kể, ta muốn tổ chức hoạt động Thi Đấu Môn Phái, đệ tử phái ta có thể tham dự, trước tiên là hỗn chiến, những người còn lại dùng hình thức 1 đấu 1 cho đến khi có người thắng cuối cùng, người này sẽ nhận danh hiệu「Tân Vương」!\n\n   Thi Đấu Môn Phái sẽ mở vào %date!\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	1
OpenLevel39	3	Thí Luyện Bang Hội	SendTimeFrameMail	14	4:05										OpenDay4	1	Giới thiệu\n    【Dự báo】%date mở: Thí Luyện Bang Hội.\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	1
OpenLevel39	3	Thông Thiên Tháp	SendTimeFrameMail	25	4:05										OpenDay4	1	Giới thiệu\n    【Dự báo】%date mở: Thông Thiên Tháp.\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	1
OpenLevel39	4	Vận Tiêu Bang Hội	SendTimeFrameMail		4:05										OpenDay5	1	Giới thiệu\n    【Dự báo】%date mở: Vận Tiêu Bang Hội.\n   Chi tiết xem tại giao diện Lịch hoạt động-Dự báo!	Coin|1000	
OpenLevel49	-1	Cấp tối đa Lv49	SendTimeFrameMail		4:05										OpenLevel49	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở chế tạo trang bị bậc 3, cấp tối đa Lv49.	Coin|1000	
OpenLevel49	1	Thủ Lĩnh Dã Ngoại Lv40	SendTimeFrameMail		4:05										OpenDay6	1	Giới thiệu\n    【Dự báo】%date mở: Thủ Lĩnh Dã Ngoại Lv40.\n   Chi tiết xem tại giao diện Lịch hoạt động-Thủ Lĩnh Dã Ngoại!	Coin|1000	
OpenLevel49	2	Danh Tướng Lv40	SendTimeFrameMail		4:05										OpenDay7	1	Giới thiệu\n    【Dự báo】%date mở: Danh Tướng Lv40.\n  Chi tiết xem tại giao diện Lịch hoạt động-Dự báo!	Coin|1000	
OpenLevel59	-1	Cấp tối đa Lv59	SendTimeFrameMail		4:05										OpenLevel59	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở chế tạo trang bị bậc 4, cấp tối đa Lv59.	Coin|1000	
