TemplateID	Info	Type	Desc	ExtPar1	ExtPar2	ExtPar3
803	Độc Cô Kiếm	4	Minh Chủ Võ Lâm			
821	Cao Trường Cung	6	Danh Tướng			
822	Triết Biệt	6	Danh Tướng			
823	Viên Thừa Chí	6	Danh Tướng			
824	Ngao Bái	6	Danh Tướng			
831	Dương Hi Liệt	3	Lăng Tuyệt Phong			
832	Thượng Quan Phi Long	3	Lăng Tuyệt Phong			
833	Diệp Vô Tâm	3	Lăng Tuyệt Phong			
834	Dương Anh	3	Lăng Tuyệt Phong			
835	Tiết Ngân Dược	3	Lăng Tuyệt Phong			
847	Hàn Ngọc Lộc Vương	5	Thủ Lĩnh Dã Ngoại			
848	Đại Địa Lang Vương	5	Thủ Lĩnh Dã Ngoại			
849	Bôn Diệm Báo Vương	5	Thủ Lĩnh Dã Ngoại			
850	Cửu Vĩ Hồ Vương	5	Thủ Lĩnh Dã Ngoại			
851	Trác Phi Phàm	2	Bí Cảnh Tổ Đội	20		
852	Tịch Lịch Hỏa	2	Bí Cảnh Tổ Đội	40		
851	Trác Phi Phàm	3	Lăng Tuyệt Phong			
852	Tịch Lịch Hỏa	3	Lăng Tuyệt Phong			
853	Đơn Tinh Tinh	3	Lăng Tuyệt Phong			
854	Mộc Tử Y	3	Lăng Tuyệt Phong			
855	Tô Mặc Vân	3	Lăng Tuyệt Phong			
856	Cơ Ngự Thiên	3	Lăng Tuyệt Phong			
857	Công Thâu Linh	3	Lăng Tuyệt Phong			
858	Tử Hiên	3	Lăng Tuyệt Phong			
859	Tường Vi	3	Lăng Tuyệt Phong			
860	Ngải Lê	3	Lăng Tuyệt Phong			
870	Từ Thiết Tâm	2	Bí Cảnh Tổ Đội	20		
871	Diệp Vũ Nhu	2	Bí Cảnh Tổ Đội	20		
872	Thiên Cổ Độc Thi	2	Bí Cảnh Tổ Đội	40		
873	Ba Đông Cáp	2	Bí Cảnh Tổ Đội	40		
212	Thủy Tinh Trắng	7	Trân Bảo Các			
222	Thủy Tinh Lục	7	Trân Bảo Các			
223	Thủy Tinh Lam	7	Trân Bảo Các			
224	Thủy Tinh Tím	7	Trân Bảo Các			
225	Thủy Tinh Hồng	7	Trân Bảo Các			
226	Thủy Tinh Cam	7	Trân Bảo Các			
227	Thủy Tinh Vàng	7	Trân Bảo Các			
213	Khoáng Thạch Thần Bí-Vỡ	7	Trân Bảo Các			
214	Khoáng Thạch Thần Bí Lv2	7	Trân Bảo Các			
215	Khoáng Thạch Thần Bí Lv3	7	Trân Bảo Các			
216	Khoáng Thạch Thần Bí Lv4	7	Trân Bảo Các			
217	Khoáng Thạch Thần Bí Lv5	7	Trân Bảo Các			
230	Đá Sinh Lực Lv1	7	Trân Bảo Các			
231	Đá Sinh Lực Lv2	7	Trân Bảo Các			
232	Đá Sinh Lực Lv3	7	Trân Bảo Các			
233	Đá Sinh Lực Lv4	7	Trân Bảo Các			
234	Đá Sinh Lực Lv5	7	Trân Bảo Các			
235	Đá Sinh Lực Lv6	7	Trân Bảo Các			
236	Đá Sinh Lực Lv7	7	Trân Bảo Các			
237	Đá Sinh Lực Lv8	7	Trân Bảo Các			
238	Đá Sinh Lực Lv9	7	Trân Bảo Các			
239	Đá Sinh Lực Lv10	7	Trân Bảo Các			
240	Đá Tấn Công Lv1	7	Trân Bảo Các			
241	Đá Tấn Công Lv2	7	Trân Bảo Các			
