nType	nEventId	szInfo
1	1	Ngươi không sao chứ? Cẩn thận!
1	1	Kẻ địch cũng có chút bản lĩnh...
1	2	Cẩn thận! Ta đến giúp ngươi!
1	2	Lui ra! Để ta xử lý!
1	100	Ở đây có vẻ nguy hiểm...
1	100	Ở đây nguy hiểm quá, cẩn thận!
2	1	Dừng tay! Không được làm hại hắn! Đối thủ của ngươi là ta!
2	2	Ngươi đi đi! Việc còn lại cứ giao cho Tiểu Lý Tử!
2	100	Ta lợi hại không? Tư chất cao quả nhiên có khác, ta chỉ mới học kiếm một năm thôi đó!
2	100	Muốn học kiếm pháp của ta? Được, hãy mang theo gà quay và rượu, tối nay gặp ở sau núi!
2	100	Xông lên!「Thất Tinh Kiếm」! Hãy diệt bọn tà ma ngoại đạo! Hãy nhớ Tiểu Lý Tử này!
3	1	Sao thế? Nếu cảm thấy không khỏe cứ nghỉ ngơi... Đừng giận, ta chỉ là lo cho ngươi...
3	1	Sao ngươi lại thích ra mặt như vậy? Rõ ràng đang bị thương mà...
3	2	Không xong! Có vẻ vết thương rất nặng... Ta sẽ giúp điều trị! 
3	100	Xem thử phong cảnh ở đây, cũng đẹp, chỉ tiếc là chúng ta không được đi dạo...
3	100	Nếu y thuật của ta cao hơn thì tốt rồi...
3	100	Cố lên! Nếu là ngươi, nhất định có thể trở thành đại hiệp.
4	1	Vết thương nhỏ này xem như là dấu tích của sự rèn luyện.
4	2	Vết thương nghiêm trọng, chỗ này giao cho ta, ngươi nghỉ ngơi trước đi.
4	100	Ta phải kế thừa chí hướng của cha, trở thành cao thủ thiên hạ đệ nhất!
4	100	Thượng Quan Phi Long... là kẻ ngang tài ngang sức với cha ta, không biết sau này đối thủ của ta là ai!
4	100	Chiêu「Liệt Hỏa Tình Thiên」này ta luyện đã lâu nhưng vẫn không đủ sức mạnh.
