Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
1	Đồng Hành SSS	Xi Vưu	1	50	16000000	8	1	1	201	25	25	279		1270	1278							
2	Đồng Hành SSS	Hậu Nghệ	1	50	16000000	8	1	1	201	25	25	280		1270	1278							
3	Đồng Hành SSS	Tô Đắc Kỷ	1	50	16000000	8	1	1	201	25	25	281		1270	1278							
4	Đồng Hành SSS	Quỷ Cốc Tử	1	50	16000000	8	1	1	201	25	25	282		1270	1278							
5	Đồng Hành SSS	Hạng Vũ	1	50	16000000	8	1	1	201	25	25	283		1270	1278							
6	Đồng Hành SSS	Tần Thủy Hoàng	1	50	16000000	8	1	1	201	25	25	284		1270	1278							
7	Đồng Hành SSS	Võ Tắc Thiên	1	50	16000000	8	1	1	201	25	25	285		1270	1278							
8	Đồng Hành SSS	Lữ Động Tân	1	50	16000000	8	1	1	201	25	25	286		1270	1278							
9	Đồng Hành SSS	Trương Tam Phong	1	50	16000000	8	1	1	201	25	25	287		1270	1278							
10	Đồng Hành SSS	Tây Thi	1	50	16000000	8	1	1	201	25	25	288		1270	1278							
11	Đồng Hành SS	Độc Cô Kiếm	1	50	6000000	2	2	1	201	25	25	289		2671	2672	2674	2623					
12	Đồng Hành SS	Nam Cung Phi	1	50	6000000	2	2	10	210	34	34	290		2850	2851	2674	2623					
13	Đồng Hành SS	Dương Ảnh Phong	1	50	6000000	2	2	9	209	33	33	291		2870	2871	2674	2623					
14	Đồng Hành SS	Huyền Thiên Đạo Nhân	1	50	6000000	2	2	5	205	29	29	292		2853	2854	2674	2623					
15	Đồng Hành SS	Ngu Cơ	1	50	6000000	2	2	2	202	26	26	293		2856	2857	2674	2623					
16	Đồng Hành SS	Triệu Phi Yến	1	50	6000000	8	2	8	208	32	32	294		1270	1278							
17	Đồng Hành SS, Danh Tướng	Kinh Kha	1	50	6000000	8	2	6	206	30	30	295		1270	1278							
18	Đồng Hành SS, Danh Tướng	Lý Quảng	1	50	6000000	8	2	4	204	28	28	296		1270	1278							
19	Đồng Hành SS, Danh Tướng	Triệu Vân	1	50	6000000	8	2	3	203	27	27	297		1270	1278							
20	Đồng Hành SS, Danh Tướng	Lý Nguyên Bá	1	50	6000000	8	2	7	207	31	31	298		1270	1278							
21	Đồng Hành S	Nguyệt My Nhi	1	50	2000000	1	3	8	308	20	20	299		2641	2642	2620	2622					
22	Đồng Hành S, Thiên Vương Chưởng Môn	Dương Anh	1	50	2000000	1	3	1	301	13	13	300		2649	2681	2618	2622					
