QualityType	Info	QualityLevel	Strength	Energy	Dexterity	Vitality	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	Phòng thủ (Thiên Vương) 	1	60	60	90	90	lifemax_v	1500																																						
2	Sinh lực (Nga Mi) 	1	60	60	90	90	lifemax_v	1500																																						
3	Khống chế (Tiêu Dao) 	1	90	90	60	60	lifemax_v	1500																																						
4	Tấn công (Đào Hoa) 	1	90	90	60	60	lifemax_v	1500																																						
5	AOE (Võ Đang) 	1	90	60	90	60	lifemax_v	1500																																						
6	Thuần khống chế (Thiên Nhẫn) 	1	90	90	60	60	lifemax_v	1500																																						
7	Thuần sinh lực (Thiếu Lâm) 	1	60	90	60	90	lifemax_v	1500																																						
8	Hỗ trợ (Thúy Yên) 	1	60	90	60	90	lifemax_v	1500																																						
9	Né tránh (Cái Bang) 	1	60	60	90	90	lifemax_v	1500																																						
10	Thuần công (Côn Lôn) 	1	90	60	90	60	lifemax_v	1500																																						
11	Sinh tồn (Hoa Sơn) 	1	60	60	90	90	lifemax_v	1500																																						
12	Thuần bạo kích (Đường Môn) 	1	90	90	60	60	lifemax_v	1500																																						
1	Phòng thủ (Thiên Vương) 	2	40	40	60	60	lifemax_v	1200																																						
2	Sinh lực (Nga Mi) 	2	40	40	60	60	lifemax_v	1200																																						
3	Khống chế (Tiêu Dao) 	2	60	60	40	40	lifemax_v	1200																																						
