nAiTypeId	szInfo	szAiPath	nAiSkillId1	nAiSkillId2	nAiSkillId3
1	Thận Trọng	Setting/Npc/Ai/partner/wenzhong.ini	2593		
2	Bình Tĩnh	Setting/Npc/Ai/partner/lengjing.ini	2594		
3	Hiếu Thắng	Setting/Npc/Ai/partner/zhengshen.ini			
4	Nghĩa Khí	Setting/Npc/Ai/partner/zhongyi.ini	2597		
5	Hộ Chủ	Setting/Npc/Ai/partner/huzhu.ini	2605		
6	Xảo Trá	Setting/Npc/Ai/partner/jiaozha.ini	2595		
7	Dũng Cảm	Setting/Npc/Ai/partner/guogan.ini	2596		
8	Thông Minh	Setting/Npc/Ai/partner/jingming.ini			
9	Cẩn Thận	Setting/Npc/Ai/partner/jinshen.ini	2598		
10	Dũng Mãnh	Setting/Npc/Ai/partner/yongmeng.ini	2600		
11	Bất Khuất	Setting/Npc/Ai/partner/buqu.ini	2602		
12	Oai Phong	Setting/Npc/Ai/partner/weiyan.ini	2604		
13	Dịu Dàng	Setting/Npc/Ai/partner/wenwan.ini	2607		
14	Cuồng Bạo	Setting/Npc/Ai/partner/shixue.ini	2608		
