nPartnerId	Name	szStory
4	Quỷ Cốc Tử	Quỷ Cốc Tử, họ Vương tên Hử, còn có tên là Vương Thiền, đạo hiệu Huyền Vi Tử, nhân vật nổi tiếng thời chiến quốc, tộc Hoa Hạ, tự sáng lập môn phái Quỷ Cốc. Ông thông minh hơn người, khó ai sánh bằng, giỏi quan sát tinh tượng, giỏi binh pháp, giỏi biện luận...
6	Tần Thủy Hoàng	Tần Thủy Hoàng (tháng 1 hoặc tháng 12, 259 TCN - 10 tháng 8, 210 TCN), tên thật là Doanh Chính, còn có tên khác là Triệu Chính, là vua của nước Tần từ năm 246 TCN đến 221 TCN trong thời kỳ Chiến Quốc và trở thành vị Hoàng đế sáng lập ra nhà Tần, đồng thời là hoàng đế đầu tiên của Trung Hoa thống nhất vào năm 221 trước Công nguyên sau khi tiêu diệt các nước chư hầu khác. Ông cai trị cho đến khi qua đời vào năm 210 trước Công nguyên ở tuổi 49.
9	Trương Tam Phong	Trương Tam Phong, sinh năm 1247, tên Quân Bảo (còn gọi là Toàn Nhất), đạo hiệu Tam Phong. Ông được xem là Võ Lâm Chí Tôn, Thủy Tổ Nội Quyền, Thủy Tổ Thái Cực. Trương Tam Phong quy tụ nhiều tuyệt học các phái, lại dẫn dắt quần hùng chống quân Nguyên Mông, thanh danh hiển hách. Ông là người đi đầu trong các thuật tu tập Nội Đơn và Chưởng Pháp của Đạo Gia, chủ trương "Phúc phần nhờ mình tìm, số mạng do mình nắm". Võ học Trương Tam Phong được lưu truyền đời sau gồm ít nhất 17 hệ phái khác nhau.
13	Dương Ảnh Phong	Trang chủ Bi Ma Sơn Trang được giang hồ gọi là【Bi Ma Kiếm Thánh】, tư chất thông minh, quyết chí trở thành đệ nhất thiên hạ, sau khi bước vào giang hồ cảm nhận sự khắc nghiệt, nên suy nghĩ đã dần chính chắn hơn. Sau bị Trác Phi Phàm hãm hại, trong lúc lâm nguy được Nạp Lan Chân của Vong Ưu Đảo cứu, sau đó nhờ vào duyên số nhận được di thư chân truyền của Huyền Thiên Đạo Nhân của Vô Ưu Giáo, gánh vác sứ mạng báo thù cho sư phụ, dẹp loạn trong giang hồ.
56	Dương Hi Liệt	Cha của Dương Ảnh Phong là một trong hai cao thủ dùng kiếm được giang hồ xưng là「Bắc Thượng Quan, Nam Hi Liệt」, là người phóng khoáng, trọng tình nghĩa nhưng lại không quan tâm cảm giác của người khác. Sau này ông đã tử vong khi tỉ võ với Thượng Quan Phi Long tại Lăng Tuyệt Phong.
79	Trác Phi Phàm	Trang chủ Tàng Kiếm Sơn Trang tuổi trẻ tuấn tú, văn võ song toàn, được giang hồi kính nể. Tuy vậy đằng sau vẻ bề ngoài dễ gần đó lại ẩn chứa một bí mật. Để lấy được Võ Đạo Đức Kinh, đã sai thị thiếp Tử Hiên quyến rũ Dương Ảnh Phong, khi âm mưu bại lộ đánh Dương Ảnh Phong rơi xuống Kiếm Khí Phong. Chuyện y không ngờ đến chính là Dương Ảnh Phong sau khi rơi xuống không những không nguy đến tính mạng mà võ công tăng thêm, cuối cùng trong lúc tỉ võ đã ôm hận mà chết.
57	Thượng Quan Phi Long	Cha của Nguyệt My Nhi, tiền bảo chủ Phi Long Bảo, là một trong hai cao thủ võ lâm dùng kiếm, được xưng là「Bắc Thượng Quan, Nam Hi Liệt」, không thích tranh đấu, kiếm pháp uyên thâm, chiêu thức tuyệt diệu. Bị buộc khiêu chiến với Dương Hi Liệt tại Lăng Tuyệt Phong, hai người giao đấu rồi cùng mất mạng.
23	Nguyệt My Nhi	Thiếu bảo chủ Phi Long Bảo, chị của Nạp Lan Chân, tính cách quật cường. Lúc nhỏ chứng kiến cảnh Dương Hi Liệt gián tiếp hại cha mẹ mình nên rất hận Dương Ảnh Phong. Nhưng sau này được Dương Ảnh Phong cứu hai lần nên trong lòng yêu hận triền miên.
59	Nạp Lan Chân	Con gái của Vô Ưu Giáo Chủ Nạp Lan Tiềm Lẫm, em gái của Nguyệt My Nhi. Vốn dĩ là thiếu nữ vô ưu vô sầu, nhưng sau gặp Dương Ảnh Phong cũng bị cuốn vào vòng xoáy cuộc đời.
77	Tử Hiên	Thân thế bí ẩn, trước bị bắt cóc, sau được Trác Phi Phàm chuộc thân, trở thành thị thiếp của y. Trác Phi Phàm sai khiến dụ dỗ Dương Ảnh Phong giao ra Võ Đạo Đức Kinh, không ngờ sau đó lại phải lòng Dương Ảnh Phong. Sau Dương Ảnh Phong bị Trác Phi Phàm đánh rơi xuống Kiếm Khí Phong, vì trách bản thân đã hại Dương Ảnh Phong mà đau khổ vô cùng.
78	Tường Vi	Viên minh châu của Minh Chủ Võ Lâm Mạnh Tri Thu, tính tình mạnh mẽ, sau gặp Dương Ảnh Phong bèn đem lòng yêu mến.
58	Nạp Lan Tiềm Lẫm	Vô Ưu Giáo Chủ, cha của Nạp Lan Chân và Nguyệt My Nhi, là người đầy dã tâm, bất chấp thủ đoạn, cuối cùng độc bá Vô Ưu Giáo, võ công càng xuất quỷ nhập thần, luôn muốn đoạt Võ Đạo Đức Kinh.
36	Mạnh Tri Thu	Minh Chủ Võ Lâm, trang chủ đầu tiên của Tàng Kiếm Sơn Trang, phụ thân Tường Vi. Võ công cực cao, giang hồ ít ai sánh kịp. Vì tin nhầm Trác Phi Phàm nên khiến Tàng Kiếm Sơn Trang suýt bị diệt.
102	Hồ Thần Y	Thần y ẩn cư tại Dược Vương Cốc có tính cách cổ quái, võ công bình thường nhưng rất giỏi dùng độc.
98	Tiêu Động Trần	Tinh Anh Giáo Đồ của Vô Ưu Giáo, tín ngưỡng cuồng nhiệt đối với Vô Ưu Giáo và Nạp Lan Tiềm Lẫm.
97	Tô Mặc Vân	Nữ nhân thần bí ẩn cư tại Ly Ưu Sơn Động của Vong Ưu Đảo, trí nhớ hỗn loạn, lai lịch thần bí. Vừa thấy Dương Ảnh Phong và Nạp Lan Chân xông vào bèn ra tay hạ sát.
