nType	nEventId	szInfo	Desc
1	1	Ngươi không sao chứ? Cẩn thận!	ID=1 kêu gọi khi sinh lực dưới 50%
1	1	Kẻ địch cũng có chút bản lĩnh...	
1	2	Cẩn thận! Ta đến giúp ngươi!	ID=2 kêu gọi khi sinh lực dưới 20%
1	2	Lui ra! Để ta xử lý!	
1	100	Ở đây có vẻ nguy hiểm...	ID=100 mỗi 30 giây ngẫu nhiên kêu gọi
1	100	Ở đây nguy hiểm quá, cẩn thận!	Ân Phương
2	1	Dừng tay! Không được làm hại hắn! Đối thủ của ngươi là ta!	Ân Phương
2	2	Ngươi đi đi! Chuyện còn lại thì giao cho Ân Phương ta!	Ân Phương
2	100	Ta lợi hại không? Tư chất cao quả nhiên có khác, ta chỉ mới học kiếm một năm thôi đó!	Ân Phương
2	100	Muốn học kiếm pháp của ta? Được, hãy mang theo gà quay và rượu, tối nay gặp ở sau núi!	Ân Phương
2	100	Xông lên! Diệt bọn tà ma ngoại đạo! Hãy nhớ Ân Phương này!	Ân Phương
3	1	Sao thế? Nếu cảm thấy không khỏe cứ nghỉ ngơi... Đừng giận, ta chỉ là lo cho ngươi...	Nạp Lan Chân
3	1	Sao ngươi lại thích ra mặt như vậy? Rõ ràng đang bị thương mà...	Nạp Lan Chân
3	2	Không xong! Có vẻ vết thương rất nặng... Ta sẽ giúp điều trị! 	Nạp Lan Chân
3	100	Xem thử phong cảnh ở đây, cũng đẹp, chỉ tiếc là chúng ta không được đi dạo...	Nạp Lan Chân
3	100	Nếu y thuật của ta cao hơn thì tốt rồi...	Nạp Lan Chân
3	100	Cố lên! Nếu là ngươi, nhất định có thể trở thành đại hiệp.	Nạp Lan Chân
4	1	Vết thương nhỏ này xem như là dấu tích của sự rèn luyện.	Tiểu Ảnh Phong
4	2	Vết thương nghiêm trọng, chỗ này giao cho ta, ngươi ngồi dưỡng thương đi.	Tiểu Ảnh Phong
4	100	Ta phải kế thừa chí hướng của cha, trở thành cao thủ thiên hạ đệ nhất!	Tiểu Ảnh Phong
4	100	Thượng Quan Phi Long... là kẻ ngang tài ngang sức với cha ta, không biết sau này đối thủ của ta là ai!	Tiểu Ảnh Phong
4	100	Chiêu「Liệt Hỏa Tình Thiên」này ta luyện đã lâu nhưng vẫn không đủ sức mạnh.	Tiểu Ảnh Phong
5	1	Không bị thương chứ? Nếu chịu không nổi nữa thì để cho ta!	Nguyệt My Nhi
5	1	Thế nào? Cố gắng thêm nữa là được!	Nguyệt My Nhi
5	2	Ngươi bị thương khá nặng, nơi này giao cho ta.	Nguyệt My Nhi
5	2	Ngươi bị thương khá nặng, hãy nghỉ một chút.	Nguyệt My Nhi
5	100	Hừ! Phi Long Bảo ta tung hoành mười mấy năm, có nơi nguy hiểm nào chưa đi qua?	Nguyệt My Nhi
5	100	Thù cha phải trả, nhưng tình cảm thì biết phải làm sao đây?	Nguyệt My Nhi
