Id	Info	Name	szGrowthType	Value	ShowTimeFrame	Series	AiType	GrowthType	QualityLevel	NpcTemplateId	BYNpcTemplateId	BaseSkillId	Skill1	Skill2	Skill3	ExtSkill1	ExtSkill2	ExtSkill3	ExtSkill4	ExtSkill5	ValueLimit	Hide	version_tx	version_vn	version_kor	version_hk	version_xm	version_en	version_th	
1	Đồng Hành SSS	Xi Vưu	Cận chiến	18000000			1	1	1	279		1270	2930	2613	1278							1	1	1	1	1	1	1	1	
2	Đồng Hành SSS	Hậu Nghệ	Tầm xa	18000000			1	1	1	280		1270	2930	2614	1278							1	1	1	1	1	1	1	1	
3	Đồng Hành SSS	Tô Đắc Kỷ	Tầm xa	18000000			1	1	1	281		1270	2930	2615	1278							1	1	1	1	1	1	1	1	
4	Đồng Hành SSS	Quỷ Cốc Tử	Tầm xa	18000000		1	2	16	1	282		3926	2931	3266	3928															
5	Đồng Hành SSS	Hạng Vũ	Cận chiến, Khống chế	18000000		4	10	12	1	283	2179	3901	2939	3269	3902															
6	Đồng Hành SSS	Tần Thủy Hoàng	Tầm xa, Sát thương	18000000		5	12	5	1	284	2180	3223	2941	3270	3225															
144	Đồng Hành SSS	Hoàn Nhan Hồng Liệt	Tầm xa, Sát thương	18000000		2	6	11	1	2231	2232	3281	2935	3267	3283															
7	Đồng Hành SSS	Võ Tắc Thiên	Tầm xa, Hỗ trợ	18000000		3	3	8	1	285	2181	3920	2932	3268	3921															
8	Đồng Hành SSS	Lữ Động Tân	Cận chiến	18000000			1	1	1	286		1270	2930	2620	1278							1	1	1	1	1	1	1	1	
9	Đồng Hành SSS	Trương Tam Phong	Tầm xa, Sát thương	27000000		5	1	5	1	287	2183	3930	2930	3937	3932															
10	Đồng Hành SSS	Tây Thi	Tầm xa	18000000			1	1	1	288		1270	2930	2622	1278							1	1	1	1	1	1	1	1	
11	Đồng Hành SS	Độc Cô Kiếm	Cận chiến, Sát thương	6000000		1	12	5	2	289	1736	2671	2941	2613	2672															
12	Đồng Hành SS	Nam Cung Phi	Tầm xa, Khống chế	6000000		3	7	8	2	290	1737	2850	2936	2620	2851															
13	Đồng Hành SS	Dương Ảnh Phong	Cận chiến, Né cao	6000000		4	3	12	2	291	1738	2870	2932	2624	2871															
14	Đồng Hành SS	Đường Giản	Tầm xa, Sát thương	6000000		2	7	9	2	292	2225	3276	2936	2623	3278															
15	Đồng Hành SS	Huyền Thiên Đạo Nhân	Tầm xa	6000000		5	1	10	2	293	1739	2853	2930	2622	2854							1	1	1	1	1	1	1	1	
16	Đồng Hành SS	SS6	Cận chiến	6000000		2	1	11	2	294		2870	2930	2621	2871							1	1	1	1	1	1	1	1	
17	Đồng Hành SS, Danh Tướng	Lý Nguyên Bá	Cận chiến, Khống chế	6000000		1	11	7	2	295	1740	3201	2940	2619	3202															
18	Đồng Hành SS, Danh Tướng	Triệu Vân	Cận chiến, Sát thương	6000000		2	2	3	2	296	1741	3204	2931	2615	3205															
19	Đồng Hành SS, Danh Tướng	Lý Quảng	Tầm xa, Khống chế	6000000		4	4	4	2	297	2702	3208	2933	2616	3209															
20	Đồng Hành SS, Danh Tướng	Kinh Kha	Cận chiến, Bạo kích	6000000		4	4	6	2	298	1742	1779	2933	2618	1780															
21	Đồng Hành SS, Danh Tướng	Ngu Cơ	Tầm xa, Hỗ trợ	6000000		3	13	2	2	1344	1743	2856	2942	2614	2857															
22	Đồng Hành SS, Danh Tướng	Nhạc Phi	Tầm xa, Hỗ trợ	6000000		5	5	5	2	1345	1744	1771	2934	2617	1772															
23	Đồng Hành S	Nguyệt My Nhi	Tầm xa, Khống chế	1500000		3	2	8	3	299	1458	2641	2931	2620	2642															
24	Đồng Hành S, Thiên Vương Chưởng Môn	Dương Anh	Cận chiến, Khống chế	1500000		1	3	1	3	300	1459	1111	2932	2613	1115															
25	Đồng Hành S, Tiêu Dao Chưởng Môn	Chúc Tử Hư	Cận chiến, Khống chế	1500000		2	2	3	3	301	1460	1234	2931	2615	1238															
26	Đồng Hành S, Nga Mi Chưởng Môn	Thanh Hiểu Sư Thái	Tầm xa, Hỗ trợ	1500000		3	9	2	3	302	1461	1140	2938	2614	1144															
27	Đồng Hành S, Đào Hoa Chưởng Môn	Hoàng Mộ Vân	Tầm xa, Cân bằng	1500000		4	3	4	3	303	1462	1191	2932	2616	1195															
28	Đồng Hành S, Võ Đang Chưởng Môn	Đạo Nhất Chân Nhân	Tầm xa, Khống chế	1500000		5	4	5	3	304	1463	2809	2933	2617	2813															
29	Đồng Hành S, Thiên Nhẫn Chưởng Môn	Đoan Mộc Duệ	Cận chiến, Bạo kích	1500000		4	6	6	3	305		2815	2935	2618	2819															
30	Đồng Hành S, Thiếu Lâm Chưởng Môn	Huyền Nhân	Cận chiến	1500000		1	11	7	3	306	2222	1270	2940	2619	953							1	1	1	1	1	1	1	1	
31	Đồng Hành S, Thúy Yên Chưởng Môn	Doãn Hàm Yên	Tầm xa	1500000		3	4	8	3	307		1270	2933	2620	953							1	1	1	1	1	1	1	1	
32	Đồng Hành S, Ngũ Độc Chưởng Môn	Hắc Diện Lang Quân	Tầm xa, Cân bằng	1500000		2	1	11	3	308	1464	3286	2930	2621	3289							1	1	1	1	1	1	1	1	
33	Đồng Hành S, Côn Lôn Chưởng Môn	Tuyền Cơ Tử	Tầm xa	1500000		5	2	10	3	309		1270	2931	2622	953							1	1	1	1	1	1	1	1	
34	Đồng Hành S, Cái Bang Chưởng Môn	Hà Nhân Ngã	Cận Chiến, Bạo Kích	1500000		4	10	12	3	310	2223	3291	2939	2624	3292							1	1	1	1	1	1	1	1	
35	Đồng Hành S, Đường Môn Chưởng Môn	Đường Cừu	Tầm xa, Sát thương	1500000		2	7	9	3	311	2224	3293	2936	2623	3295							1	1	1	1	1	1	1	1	
149	Đồng Hành S, Đại Diện	Lâm Triều Hoa	Tầm xa, Sát thương	1500000		3	4	15	3	2698	2699	3923	2933	2614	3924						1			1	1	1	1	1	1	
150	Đồng Hành S, Đại Diện	Triệu Ân Đồng	Tầm xa, Sát thương	1500000		3	13	15	3	2700	2701	3923	2942	2614	3925						1			1	1	1		1	1	
36	Đồng Hành S	Mạnh Tri Thu	Cận chiến, Hỗ trợ	1500000		1	4	7	3	312	1465	2873	2933	2619	2898															
