nPartnerId	Desc1	nItemId	Desc2	nValue	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	Xi Vưu	3539	Xi Vưu	10000000	basic_damage_v	500		500																																				
2	Hậu Nghệ	3540	Hậu Nghệ	10000000	basic_damage_v	500		500																																				
3	Tô Đắc Kỷ	3541	Tô Đắc Kỷ	10000000	basic_damage_v	500		500																																				
4	Quỷ Cốc Tử	3542	Quỷ Cốc Tử	10000000	basic_damage_v	500		500																																				
5	Hạng Vũ	3543	Hạng Vũ-Bá Vương Kích	10000000	basic_damage_v	500		500																																				
6	Tần Thủy Hoàng	3544	Tần Thủy Hoàng-Thái A Kiếm	10000000	basic_damage_v	500		500																																				
144	Hoàn Nhan Hồng Liệt	4057	Hoàn Nhan Hồng Liệt-Ngự Ưng Thủ	10000000	basic_damage_v	500		500																																				
7	Võ Tắc Thiên	3545	Võ Tắc Thiên-Minh Không Chỉ	10000000	basic_damage_v	500		500																																				
8	Lữ Động Tân	3546	Lữ Động Tân	10000000	basic_damage_v	500		500																																				
9	Trương Tam Phong	3547	Trương Tam Phong	15000000	basic_damage_v	750		750																																				
10	Tây Thi	3548	Tây Thi	10000000	basic_damage_v	500		500																																				
11	Độc Cô Kiếm	1471	Độc Cô Kiếm-Cự Khuyết Kiếm	3000000	basic_damage_v	300		300																																				
12	Nam Cung Phi	1472	Nam Cung Phi-Kiếm Trung Chi Kiếm	3000000	basic_damage_v	300		300																																				
13	Dương Ảnh Phong	1473	Dương Ảnh Phong-Bi Ma Chi Nhẫn	3000000	basic_damage_v	300		300																																				
14	Đường Giản	1474	Đường Giản-Huyền Vũ Song Tinh	3000000	basic_damage_v	300		300																																				
15	Huyền Thiên Đạo Nhân	1475	Huyền Thiên Đạo Nhân-Tuyết Mặc	3000000	basic_damage_v	300		300																																				
16	SS6	1476	SS6-(SS6 Vũ Khí Bổn Mạng)	3000000	basic_damage_v	300		300																																				
17	Lý Nguyên Bá	1477	Lý Nguyên Bá-Ung Kim Chùy	3000000	basic_damage_v	300		300																																				
18	Triệu Vân	1478	Triệu Vân-Long Ngân Thương	3000000	basic_damage_v	300		300																																				
19	Lý Quảng	1479	Lý Quảng-Xạ Hổ Cung	3000000	basic_damage_v	300		300																																				
20	Kinh Kha	1480	Kinh Kha-Kỳ Lân Chủy	3000000	basic_damage_v	300		300																																				
21	Ngu Cơ	1481	Ngu Cơ-Nhiễu Lương Cầm	3000000	basic_damage_v	300		300																																				
22	Nhạc Phi	1482	Nhạc Phi-Lịch Tuyền Thần Mâu	3000000	basic_damage_v	300		300																																				
23	Nguyệt My Nhi	1486	Nguyệt My Nhi-Băng Tâm Tiên Tử	1000000	basic_damage_v	200		200																																				
24	Dương Anh	1487	Dương Anh-Triều Dương Thương	1000000	basic_damage_v	200		200																																				
25	Chúc Tử Hư	1489	Chúc Tử Hư-Thái Tiêu Thần Thương	1000000	basic_damage_v	200		200																																				
26	Thanh Hiểu Sư Thái	1488	Thanh Hiểu Sư Thái-Địch Trần Kiếm	1000000	basic_damage_v	200		200																																				
27	Hoàng Mộ Vân	1490	Hoàng Mộ Vân-Triều Sinh Cung	1000000	basic_damage_v	200		200																																				
28	Đạo Nhất Chân Nhân	1491	Đạo Nhất Chân Nhân-Tuyền Cơ Kiếm	1000000	basic_damage_v	200		200																																				
29	Đoan Mộc Duệ	1492	Đoan Mộc Duệ-Đoạt Hồn Nhẫn	1000000	basic_damage_v	200		200																																				
30	Huyền Nhân	1493	Huyền Nhân-Bồ Đề Thiền Trượng	1000000	basic_damage_v	200		200																																				
31	Doãn Hàm Yên	1494	Doãn Hàm Yên-(Doãn Hàm Yên)	1000000	basic_damage_v	200		200																																				
32	Hắc Diện Lang Quân	1495	Hắc Diện Lang Quân-Ngũ Cổ Đoạt Hồn	1000000	basic_damage_v	200		200																																				
33	Tuyền Cơ Tử	1496	Tuyền Cơ Tử-(Tuyền Cơ Tử)	1000000	basic_damage_v	200		200																																				
34	Hà Nhân Ngã	1497	Hà Nhân Ngã-Cù Long Côn	1000000	basic_damage_v	200		200																																				
35	Đường Cừu	1498	Đường Cừu-Vô Thường Nỏ	1000000	basic_damage_v	200		200																																				
36	Mạnh Tri Thu	1499	Mạnh Tri Thu-Thương Hải Kiếm	1000000	basic_damage_v	200		200																																				
37	Cao Trường Cung	1500	Cao Trường Cung-Bạch Lang Nhẫn	1000000	basic_damage_v	200		200																																				
38	Triết Biệt	1501	Triết Biệt-Thiên Ưng Nỏ	1000000	basic_damage_v	200		200																																				
39	Tần Lương Ngọc	1502	Tần Lương Ngọc-Lê Hoa Thương	1000000	basic_damage_v	200		200																																				
40	Viên Thừa Chí	1503	Viên Thừa Chí-Bích Huyết Kiếm	1000000	basic_damage_v	200		200																																				
41	Ngao Bái	1504	Ngao Bái-Trảm Sa Đao	1000000	basic_damage_v	200		200																																				
42	Hàn Thế Trung	1505	Hàn Thế Trung-Bá Hổ Đao	1000000	basic_damage_v	200		200																																				
145	Băng Lân Tích Hoàng	1522	Băng Lân Tích Hoàng-U Băng Trảo	1000000	basic_damage_v	200		200																																				
146	Ngân Câu Hạt Hoàng	1523	Ngân Câu Hạt Hoàng-Kim Kiềm	1000000	basic_damage_v	200		200																																				
