nQuestionId	szQuestion	szAnswer1	szAnswer2	szAnswer3	szAnswer4	szAnswer5	szAnswer6	szAnswer7	szAnswer8
1	Bạn thích nhất nhân vật?	Độc Cô Kiếm	Dương Ảnh Phong	Nam Cung Phi	Trương Như Mộng	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi
2	Bạn thích nhất môn phái?	Côn Lôn	Tiêu Dao	Đào Hoa	Ngũ Độc	Tàng Kiếm	Võ Đang	Thiên Vương	Thúy Yên
3	Bạn thích nhất Đồng Hành?	Hoàn Nhan Hồng Liệt	Võ Tắc Thiên	Hạng Vũ	Tần Thủy Hoàng	Kinh Kha	Triệu Vân	Đường Giản	Độc Cô Kiếm
4	Bạn thích nhất Danh Tướng?	Lý Quảng	Nhạc Phi	Kinh Kha	Lý Nguyên Bá	Ngao Bái	Triết Biệt	Hàn Thế Trung	Triệu Vân
5	Bạn sẽ chọn Thủ Lĩnh Dã Ngoại nào làm thú cưỡi?	Hàn Ngọc Lộc Vương	Đại Địa Lang Vương	Bạch Mi Hầu Vương	Song Thủ Dị Thú	Cửu Vĩ Hồ Vương	Bôn Diệm Báo Vương	Kim Sí Bằng Hoàng	Định Hải Kim Cang
6	Bạn thích nhất hoạt động hằng ngày?	Khiêu Chiến Anh Hùng	Nhiệm Vụ Trừng Ác	Bang Hội Truyền Công	Luyện Công Ngoài Thành	Trận Pháp Thí Luyện	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
7	Bạn thích nhất hoạt động hạn giờ?	Thi Đấu Môn Phái	Thông Thiên Tháp	Chiến Trường Tống Kim	Bạch Hổ Đường	Vận Tiêu Bang Hội	Lửa Trại Bang Hội	Minh Chủ Võ Lâm	Tâm Ma Ảo Cảnh
8	Bạn thích nhất ngoại trang?	Hệ thống Phù Quang	Ti Lộ Lưu Sa	Anh Lạc Trường Không	Mặc Chỉ U Lan	Thanh Trúc Mịch Ảnh	Quân Tử Như Phong	Bạch Ngọc Lang Hoàn	Thiên Diệp Sâm La
9	Bạn thích nhất hoạt động lễ?	Năm mới	Song đán	Giỗ Tổ Hùng Vương	Lễ Mừng	Lễ Tình Nhân	Tiết Thanh Minh	Lễ Sư Đồ	Sự kiện Tháng 11
10	Bạn thích nhất bản đồ?	Lâm An Thành	Tương Dương	Vong Ưu Đảo	Tỏa Vân Uyên	Côn Hư Mạch Tàng	Kiếm Môn Quan	Kỳ Liên Sơn	Tàn Hoàn Thiết Thành
11	Bạn thích thuộc tính nào hơn?	Thể chất	Sức mạnh	Nhanh nhẹn	Linh hoạt	Chính xác	Né tránh	Bạo Kích	Hút sinh lực
12	Tôi thích nhất loại trái cây nào dưới đây?	Chuối	Táo	Nho	Thanh Long	Dứa	Dây Tây	Lê	Trái Vải
13	Thời gian rảnh rỗi bạn hay làm gì trong game?	Treo máy Lửa Trại	Ngắm phong cảnh	Trò chuyện	Ngồi im	Rời mạng	Giúp người khắp nơi	Gây hấn khắp nơi	Đi dạo
14	Bạn thích nhất hoạt động phúc lợi?	Quà Nguyên Bảo	Quà Mỗi Ngày	Đầu Tư	Điểm Danh Nhận Thưởng	Rung Cây Tiền	Ủy Thác Rời Mạng	Nhận Lại Phần Thưởng	Đều thích
15	Bạn xem trọng bảng xếp hạng nào trong game?	Bang Hội	Lực Chiến	Cấp	Trang Bị	Đồng Hành	Vinh Dự Võ Lâm	Gia Viên	Hấp dẫn
16	Bạn xem trọng thành tựu nào hơn?	Bôn Ba Giang Hồ	Tình Nghĩa Giang Hồ	Thần Binh Bảo Giáp	Phúc Lợi Giang Hồ	Trải Nghiệm Giang Hồ	Tỉ Võ	Công Thành Đoạt Bảo	Đều thích
17	Bạn thích nhất hiệu quả bất lợi?	Bị Thương	Choáng	Làm Chậm	Tàn Phế	Tê liệt	Bạo Kích	Đều thích	Giảm kháng
18	Bạn thích nhất nhân vật?	Nam Cung Diệt	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi	Phương Miễn	Hoàn Nhan Hồng Liệt	Gia Luật Trừ Tà
19	Bạn thích nhất môn phái?	Côn Lôn	Cái Bang	Thiên Sơn	Nga Mi	Trường Ca	Đường Môn	Thiếu Lâm	Thiên Nhẫn
20	Bạn thích nhất hoạt động hằng ngày?	Lăng Tuyệt Phong	Tàng Bảo Đồ	Bang Hội Truyền Công	Luyện Công Ngoài Thành	Sơn Tặc Mật Quật	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
21	Bạn thích nhất hoạt động hạn giờ?	Quần Anh Hội	Thông Thiên Tháp	Danh Tướng	Tần Lăng	Thủy Hoàng Giáng Thế	Công Thành Chiến	Thí Luyện Bang Hội	Tâm Ma Ảo Cảnh
22	Bạn hay tiêu Nguyên Bảo vào đâu?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh Mạch	Quân Hàm
23	Bạn tiêu Nguyên Bảo vào đâu nhiều nhất?	Đấu Giá	Bày bán	Nhận Lại Phần Thưởng	Ủy Thác Rời Mạng	Rung Cây Tiền	Mời Đồng Hành	Trân Bảo Các	Góp Bang Hội
24	Người thân thiết nhất với bạn là quan hệ gì?	Sư Phụ	Đồ Đệ	Chỉ là hảo hữu	Kết Bái	Hiệp Lữ	Phu thê	Kẻ Địch	Chỉ cùng bang hội
25	Bạn cảm thấy sức mạnh nào hữu ích nhất?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh Mạch	Quân Hàm
