nCardId	nPartnerTempleteId	nNpcTempleteId	nNpcNoTurnTempleteId	nExtAttribId	nExtPartnerSkillId	szUniquePartnerSkillId	szCost	nSuitIdx	szName	szTask	nDialogId	szRepeat
1	1	2978		4001	5151	5168	item|1969|360		Xi Vưu (Tạm chưa có)			item|8350|54
2	2	2979		4002	5152	5169	item|1969|360		Hậu Nghệ (Tạm chưa có)			item|8314|54
3	3	2980		4003	5153	5170	item|1969|360		Tô Đắc Kỷ (Tạm chưa có)			item|8324|54
4	4	2981		4004	5163		item|1969|360		Quỷ Cốc Tử		90000	item|8330|54
5	5	2982		4005	5166		item|1969|360	1	Hạng Vũ		90001	item|8323|54
6	6	2983		4006	5167		item|1969|360	16	Tần Thủy Hoàng		90002	item|8348|54
7	144	2988		4007	5164		item|1969|360	9	Hoàn Nhan Hồng Liệt		90003	item|8333|54
8	7	2984		4008	5165		item|1969|360	16	Võ Tắc Thiên		90004	item|8336|54
9	8	2985		4009	5158	5171	item|1969|360		Lữ Động Tân (Tạm chưa có)		90005	item|8342|54
10	9	2986		4010	5159	5168	item|1969|360		Trương Tam Phong (Tạm chưa có)		90006	item|8341|54
11	10	2987		4011	5160	5169	item|1969|360		Tây Thi (Tạm chưa có)		90007	item|8332|54
12	11	2989	3365	4012	5151	5168	item|1969|120	7	Độc Cô Kiếm		90008	item|8343|36
13	12	2990	3366	4013	5158	5171	item|1969|120	8	Nam Cung Phi		90009	item|8338|36
14	13	2991	3367	4014	5162	5171	item|1969|120	4	Dương Ảnh Phong		90010	item|8329|36
15	14	2992	3368	4015	5161	5170	item|1969|120	23	Đường Giản		90011	item|8334|36
16	15	2993	3369	4016	5160	5169	item|1969|120		Huyền Thiên Đạo Nhân (Tạm chưa có)		90012	item|8349|36
17	16	2994	3370	4017	5159	5168	item|1969|120		SS6 (Tạm chưa có)		90013	
18	17	2995	3371	4018	5157	5170	item|1969|120	21	Lý Nguyên Bá		90014	item|8344|36
19	18	2996	3372	4019	5153	5170	item|1969|120	21	Triệu Vân		90015	item|8331|36
20	19	2997	3373	4020	5154	5171	item|1969|120	21	Lý Quảng		90016	item|8325|36
21	20	2998	3374	4021	5156	5169	item|1969|120	24	Kinh Kha		90017	item|8322|36
22	21	2999	3375	4022	5152	5169	item|1969|120	1	Ngu Cơ		90018	item|8497|36
23	22	3000	3376	4023	5155	5168	item|1969|120	3	Nhạc Phi		90019	item|8351|36
24	23	3001		4024	5158	5171	item|1969|30	4	Nguyệt My Nhi		90020	item|8353|18
25	24	3002		4025	5151	5168	item|1969|30	15	Dương Anh		90021	item|8479|18
26	25	3003		4026	5153	5170	item|1969|30	20	Chúc Tử Hư		90022	item|8480|18
27	26	3004		4027	5152	5169	item|1969|30	20	Thanh Hiểu Sư Thái		90023	item|8481|18
28	27	3005		4028	5154	5171	item|1969|30	20	Hoàng Mộ Vân		90024	item|8482|18
29	28	3006		4029	5155	5168	item|1969|30	12	Đạo Nhất Chân Nhân		90025	item|8483|18
30	29	3007		4030	5156	5169	item|1969|30	20	Đoan Mộc Duệ		90026	item|8484|18
31	30	3008		4031	5157	5170	item|1969|30		Huyền Nhân (Tạm chưa có)		90027	item|8485|18
32	31	3009		4032	5158	5171	item|1969|30		Doãn Hàm Yên (Tạm chưa có)		90028	item|8486|18
33	32	3010		4033	5159	5168	item|1969|30		Hắc Diện Lang Quân (Tạm chưa có)		90029	item|8487|18
