nSkillId	szSkillDes
5151	Tăng sát thương cuối %s
5152	Tăng sát thương cuối %s
5153	Tăng sát thương cuối %s
5154	Tăng sát thương cuối %s
5155	Tăng sát thương cuối %s
5156	Tăng sát thương cuối %s
5157	Tăng sát thương cuối %s
5158	Tăng sát thương cuối %s
5159	Tăng sát thương cuối %s
5160	Tăng sát thương cuối %s
5161	Tăng sát thương cuối %s
5162	Tăng sát thương cuối %s
5163	Linh hoạt %sThời gian thuộc tính %sSinh lực
5164	Sức mạnh %sKháng thời gian thuộc tính %sTấn công
5165	Thể chất %sTỉ lệ kháng thuộc tính %sKháng tất cả
5166	Linh hoạt %sThời gian thuộc tính %sSinh lực
5167	Nhanh nhẹn %sTỉ lệ thuộc tính %sTỉ lệ bạo kích cơ bản
5168	Né tránh cơ bản (Duy nhất)
5169	Miễn sát thương bạo kích (Duy nhất)
5170	Tỉ lệ bạo kích cơ bản (Duy nhất)
5171	Bỏ qua né tránh (Duy nhất)
