nCardId	szTalk
1	Tuy thân đã tàn, nhưng tâm vẫn sáng.
1	Con người sẽ tự hủy bởi tham vọng, tham vọng sẽ nuốt chửng tất cả.
2	Nếu bạn ghét thứ hai, tôi sẽ bắn rơi mặt trời, như thế sẽ mãi là chủ nhật.
2	Hằng Nga đừng sợ, ta sẽ luôn ở bên nàng.
3	Ta từ bỏ tất cả, bước vào Triều Ca Thành, ta biết sẽ không thể quay về...
3	Không muốn nhớ lại chuyện cũ, buồn như đau xé lòng.
4	Thi triển kiếm thuật, quan trọng là cần chữ quyết.
4	Vung kiếm tấn công, chỉ cầu sự thật.
5	Tứ hải giai huynh đệ, thế giới vẫn rộng lớn.
5	Quân Hán muốn mạng ta, ta sẽ tác thành ngươi.
5	Ngựa sao chùn bước thế này. Ngu Cơ, biết tính sao đây hỡi nàng?
6	Thống trị lục quốc, thiên hạ thành một.
6	Long mạch dựng xây trường thành, bảo vệ xã tắc Đại Tần.
6	Trẫm còn, xả thân bảo vệ Đại Tần! Trẫm mất, thân hóa hồn rồng canh giữ!
7	Thiên hạ chúng ta muốn có là một mãnh thú tàn bạo.
7	Võ Mục Di Thư có thực sự tồn tại?
7	Vì sao người yêu ta luôn phải rời xa ta!
8	Cần nhiều và lớn hơn!
8	Phụ nữ không hề thua đàn ông.
8	Đường dài có gió trăng, khói ráng bước dần xa.
9	Vết thương đã lành, nỗi đau còn đó.
9	Thần là sinh mệnh, thần ở trong tim.
9	Chủ nhân đừng sợ, ta sẽ triệu hồi Bát Tiên giúp đỡ!
10	Quân tử nên có tấm lòng độ lượng và tinh thần chịu khổ.
10	Diệt Tuyệt Sư Thái? Có thể tiếp 3 chiêu của ta?
10	Trường quyền giả, sóng cuộn biển lớn, thao thao bất duyệt.
11	Đế vương sao tốt với ta như thế? Ta vốn là gian tế nước khác.
11	Đông Thi không có quan hệ với ta!
11	Ta muốn đến Hồ Tâm, xem Phạm Quân còn không.
12	Nếu gặp Minh Chủ Võ Lâm, tôi sẽ cố gắng hết mình.
12	Võ lâm chưa ai thấy ta rút kiếm thế nào.
12	Trượng phu nên cầm kiếm lập công.
13	Trượng phu nên cầm kiếm lập công.
13	Kiếm tiên ba trăm vạn, nguyện để người nhìn thấy.
13	Minh chủ xem việc bảo vệ thiên hạ là trách nhiệm.
14	Trượng phu nên cầm kiếm lập công.
14	Tu luyện 10 năm trên Lăng Tuyệt Phong để trở thành thiên hạ đệ nhất.
14	Không ngờ My Nhi và Chân Nhi lại là tỷ muội.
15	Thiên ma vô tướng, tu luyện kiếm khí. Sau khi luyện thành, 20 năm chưa từng bại trận.
15	Thiên hạ có thành kiến với Đường Môn như thế?
15	Môn phái nào cũng có gian tế, cũng như có người lương thiện.
16	Võ Đạo Đức Kinh không được giao cho người xấu!
16	Lương thiện như nước, nước khéo lợi vạn vật.
16	Vạn vật phát triển, thay đổi tuần hoàn.
17	Trượng phu nên cầm kiếm lập công.
18	Thế nhân đều nói ta là hạ phàm điểu. Nếu như thế, búa này chính là cánh của ta!
18	Ta sẽ thay cán cho búa, để tránh bị sét đánh trúng.
18	Đạo lý quyền pháp chưởng pháp có thể dùng cho tất cả vũ khí.
19	Trách nhiệm dũng giả, chẳng màng sinh tử.
19	Ngàn quân phía trước, khó cản Triệu Vân.
19	Trượng phu xem trọng công danh, không sợ cô độc!
20	Ta phát hiện một hang động, bên trong có cây cung lớn.
20	Trượng phu nên cầm kiếm lập công.
20	Ta tòng quân từ nhỏ, từng giao chiến Hung Nô!
21	Không ngờ ta lại thua bởi ánh mắt của ngươi.
21	Tin tưởng kiếm trong tay có thể đưa ra lựa chọn thay ngươi.
21	Trượng phu xuất trận, non nước đồng hành, xưa nay có mấy người?
22	Ta rất ngưỡng mộ họ có thể yêu nhau đến trọn đời.
22	Ta không cam tâm rời khỏi nơi này như thế.
22	Dù cả thế giới có quên người, ta vẫn sẽ nhớ.
23	Hồi báo minh chủ, khôi phục Thần Châu.
23	Bày trận xuất chiến, thắng ở chiến thuật.
23	Mưu giả đều có nguy cơ thắng thua.
24	Hận thù đang dày vò ta.
24	Ta không trách người, chỉ trách bản thân không có tư cách.
25	Đáng tiếc là không cùng người đi đến cuối cùng.
25	Thiết Tâm chính là Bang Chủ đời 3 của Thiên Vương Bang.
26	Tiêu Dao ẩn dật, danh tiếng nhỏ nhoi.
26	Võ công Tiêu Dao sáng lập từ trời đất, khác với các võ công khác.
26	Nếu muốn gia nhập phải có tư chất hơn người.
27	Ta hứa sẽ mở rộng Nga Mi!
27	Hảo hán thiên hạ, đều là tự xưng?
27	Hồng trần loạn thế, Nga Mi chẳng màng!
28	Đào Hoa chỉ nhận đệ tử nữ, ngươi suy nghĩ kỹ chưa?
28	Đào Hoa cách biệt với thế giới, thường luyện tập thuật bát quái.
28	Khắc chế khiến quan hệ giữa con người phức tạp hơn.
29	Suy nghĩ chất phác, từ bỏ tham vọng.
29	Đạo lý trời đất, đều thuộc tự nhiên.
29	Khen chê cũng chẳng ảnh hưởng đến.
30	Lợi ích môn phái là trên hết.
30	Ai bảo ta là người Kim, ta không cầu xin tha thứ.
31	Sắc chính là không, không chính là sắc.
31	Thời gian hoa nở trăm năm sẽ thay đổi cuộc đời ngươi.
31	Thu hoạch có số, đều nằm trong tim.
32	Võ công Thúy Yên, thích hợp các trận chiến dài.
33	Trượng phu nên cầm kiếm lập công.
34	Trượng phu nên cầm kiếm lập công.
35	Trượng phu nên cầm kiếm lập công.
36	Trượng phu nên cầm kiếm lập công.
37	Gia Viên của mình đẹp quá, hãy đến xem thử!
38	Gia Viên của bạn đẹp quá, tôi rất thích!
39	Trác Phi Phàm, ta không đội trời chung với ngươi!
39	Chỉ cần tâm hướng về sơn trang, họ Mãnh hay Diệp có gì khác nhau?
39	Lá rơi biết thu, vạn sự thuận ý trời.
40	Dù bổn vương có ở đây hay không, chỉ cần ngồi chải đầu, nút thắt trong lòng sẽ tự mở.
40	Sự vô tình với một người luôn ẩn chứa nỗi bất lực vô tận.
40	Ta chỉ biết nếu để nàng đi, bổn vương sẽ hối hận suốt đời.
41	Hãy tha ta một mạng, ta nguyện làm mọi thứ.
41	Chim luôn chọn gỗ tốt, mồ hôi chính là gỗ ta chọn.
41	Không biết Tịnh Nhi thế nào rồi?
42	Tần Gia trung liệt, ta xuất trận không phải vì trượng phu.
42	Ta phận đàn bà yếu đuối, nhận quốc ân hai mươi năm nay, nay ra nông nỗi này, sao dám hầu hạ nghịch tặc!
43	Cỏ xanh sau trận chiến, chiến loạn gây hại muôn dân
43	Đừng hứa hẹn với cô gái gặp lần đầu, nếu không sẽ biến cô ấy thành bạn gái ngang ngược.
44	Vết sẹo là lệnh bài miễn tử của bổn vương.
44	Cả đời oanh liệt, chưa từng lùi bước.
44	Hoàng thượng còn nhỏ, mọi việc có thể hỏi ta.
45	Phồn hoa chẳng phải thuốc trường sinh, nhàn hạ chưa hẳn gió tử môn.
45	Hoảng loạn chẳng giúp ích, càng gấp càng phải bình tĩnh.
45	Đánh mất cơ hội chiến đấu tốt…
46	Hổn hển…
47	Hổn hển…
48	Vượng.Hống.
49	Hu.Hu.
50	Vù vù…
50	Hu…
51	Khò khè…
51	Hí hí…
52	Cạp cạp…
52	Ôi…
53	Xì xào…
53	Cạp cạp…
53	Oa oa…
54	Hu hu…
55	Trượng phu nên cầm kiếm lập công.
55	Đời là vở kịch, dù khổ cũng phải diễn đến cùng.
55	Hiểu lầm? Đại trượng phu không thẹn với lòng...
56	Tuy xưng Tứ Kiếm với kiếm khách người Tống, nhưng chúng tôi không thân với nhau lắm.
57	Trượng phu nên cầm kiếm lập công.
57	Lâm Tâm và Kiếm Nhi yêu nhau thật lòng.
57	Sau trận Nam Cung Diệt, ta đã mất hết võ công.
58	Năm xưa ta và Y Thủy bị Thiên Nhẫn Giáo bắt giữ, được Nam Cung Minh Chủ cứu.
58	Câu chuyện vẫn chưa kết thúc.
59	Ta và phu quân bên nhau, Nam Cung Minh Chủ đã giúp đỡ rất nhiều.
59	Võ công Thúy Yên, thích hợp các trận chiến dài.
59	Mong cơn mưa kéo dài mãi, ta có thể cầm ô đi bên người mãi.
60	Tuy muốn ở ẩn, nhưng lại không thể không lo chuyện võ lâm.
60	Mọi tai họa đều nảy sinh từ tham vọng.
60	Vạn vật bình đẳng, con người cũng thế.
61	Yêu không nên dùng làm lý do níu giữ đối phương.
61	Có lẽ ta và Phi Vân không có duyên với nhau.
61	Người không nhận lỗi sẽ không biết hối lỗi.
62	Cả đời không ưa loại người giấu giếm vòng vo.
62	Bọn ta có thể hi sinh, nhưng không thể thua
62	Trượng phu nên cầm kiếm lập công.
63	Trượng phu nên cầm kiếm lập công.
63	Hy vọng con gái ta sẽ không sống trong hận thù.
63	My Nhi vẫn khỏe chứ?
64	Ta bất chấp thủ đoạn để học được Thiên Tơ Độc Thủ.
64	Khi ta xưng bá võ lâm, các ngươi sẽ biết tay.
64	Vô Ưu Giáo chỉ cần đạt được mục đích.
65	Ta phải giữ lại canh ba của đêm đông này
65	Cuộn lại và đặt dưới tấm chăn ấm
65	Vào đêm người quay về, ta sẽ đẩy nó ra
66	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
66	Người làm ngươi buồn vốn không quan tâm ngươi
66	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
67	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
67	Người làm ngươi buồn vốn không quan tâm ngươi
67	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
68	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
68	Người làm ngươi buồn vốn không quan tâm ngươi
68	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
69	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
69	Người làm ngươi buồn vốn không quan tâm ngươi
69	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
70	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
70	Người làm ngươi buồn vốn không quan tâm ngươi
70	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
71	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
71	Người làm ngươi buồn vốn không quan tâm ngươi
71	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
72	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
72	Người làm ngươi buồn vốn không quan tâm ngươi
72	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
73	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
73	Người làm ngươi buồn vốn không quan tâm ngươi
73	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
74	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
74	Người làm ngươi buồn vốn không quan tâm ngươi
74	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
75	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
75	Người làm ngươi buồn vốn không quan tâm ngươi
75	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
76	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
76	Người làm ngươi buồn vốn không quan tâm ngươi
76	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
77	Nếu có việc khiến ngươi không vui, ngươi nên từ chối từ sớm
77	Người làm ngươi buồn vốn không quan tâm ngươi
77	Dù có chuyện gì xảy ra, ta vẫn không bỏ mặt người
