nCardId	szTalk
1	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
2	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
3	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
4	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
5	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
6	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
7	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
8	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
9	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
10	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
11	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
12	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
13	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
14	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
15	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
16	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
17	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
18	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
19	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
20	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
21	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
22	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
23	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
24	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
25	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
26	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
27	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
28	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
29	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
30	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
31	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
32	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
33	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
34	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
35	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
36	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
37	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
38	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
39	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
40	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
41	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
42	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
43	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
44	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
45	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
46	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
47	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
48	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
49	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
50	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
51	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
52	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
53	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
54	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
55	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
56	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
57	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
58	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
59	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
60	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
61	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
62	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
63	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
64	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
65	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
66	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
67	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
68	Chủ nhân sai ta đến thăm hỏi ngươi, trò chuyện với ngươi nhiều hơn.
