FactionId	Series	Sex	NpcTemplateId	BodyResId	WeaponResId	HedResId	WingResId	Desc
0		1	1	1	1			Không có phái
0		2	1	1	1			Không có phái
1	1	1	77	11001	101	11001		Thiên Vương Nam
1	1	2	3278	11501	120	11501		Thiên Vương Nữ
2	3	2	78	12501	102	12501		Nga Mi
3	4	2	79	13501	103	13501		Đào Hoa
4	2	1	80	14001	104	14001		Tiêu Dao-Nam
4	2	2	3458	14501	104	14501		Tiêu Dao-Nữ
5	5	1	707	15001	105	15001		Võ Đang (Nam)
5	5	2	2884	15501	105	15501		Võ Đang (Nữ)
6	4	2	708	16501	106	16501		Thiên Nhẫn
7	1	1	1787	17001	107	17001		Thiếu Lâm
8	3	2	1788	18501	108	18501		Thúy Yên
9	2	1	1959	19001	109	19001		Đường Môn
10	5	1	2977	20001	110	20001		Côn Lôn Nam
10	5	2	1960	20501	110	20501		Côn Lôn Nữ
11	4	1	2157	21001	111	21001		Cái Bang Nam
11	4	2	3722	21501	124	21501		Cái Bang Nữ
12	2	2	2158	22501	112	22501		Ngũ Độc
13	1	1	2337	23001	113	23001		Tàng Kiếm
14	5	2	2338	24501	114	24501		Trường Ca
15	3	1	2640	25001	115	25001		Thiên Sơn-Nam
15	3	2	2682	25501	115	25501		Thiên Sơn-Nữ
16	1	1	2876	26001	116	26001		Bá Đao (Nam)
16	1	2	2877	26501	117	26501		Bá Đao (Nữ)
17	2	1	2951	27001	118	27001		Hoa Sơn-Nam
17	2	2	2952	27501	118	27501		Hoa Sơn-Nữ
18	4	1	3253	28001	119	28001		Minh Giáo Nam
18	4	2	3254	28501	119	28501		Minh Giáo Nữ
19	3	1	3440	29001	121	29001		Đoàn Thị (Nam)
19	3	2	3441	29501	122	29501		Đoàn Thị (Nữ)
20	5	1	3720	30001	123	30001		Vạn Hoa (Nam)
20	5	2	3721	30501	123	30501		Vạn Hoa (Nữ)
