Id	FaceID	BigFaceID	Faction	Sex	FactionDefault	Name	Level	OpenUi	Icon	IconAtlas	Basic	SaveIdx	Desc
1	1001	1121	1	1	1	Thiên Vương	Mặc định		TianWangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Thiên Vương là phái do hậu nhân「Bá Vương」Hạng Vũ sáng lập
2	1002	1122	2		1	Nga Mi	Mặc định		EmeiHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Nga Mi từ khi lập phái đến nay, chỉ thu nhận nữ tử lục căn thanh tịnh. Võ học Nga Mi có cương có nhu, dễ công dễ thủ, kỳ diệu vô cùng.
3	1003	1123	3		1	Đào Hoa	Mặc định		TaoHuaHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Đào hoa lạc tận thiên phàm quá, hỏa phượng liêu nguyên kỷ độ văn. Vạn lý truy hồn hấp huyền kinh. La quân tiệm ẩn bất lưu ngấn.\nKý Đào Hoa Nhất Hiện
4	1004	1124	4	1	1	Tiêu Dao	Mặc định		XiaoYaoHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Tiêu Dao có nhiều người anh tuấn, thông minh, ngoài võ học còn có một biệt tài phòng thân, võ học Tiêu Dao tinh thâm, hạ gục địch trong nháy mắt.
5	1005	1125	5	1	1	Võ Đang	Mặc định		WuDangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Võ Đang Kiếm Pháp, cương nhu kết hợp, dùng khí thế mãnh liệt áp chế kẻ địch.
6	1006	1126	6		1	Thiên Nhẫn	Mặc định		TianRenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Thiên Nhẫn môn huấn, khắc cốt ghi tâm.\nNgàn dặm hạ một người, 10 bước không dấu vết.
7	1007	1127	7		1	Thiếu Lâm	Mặc định		ShaoLinHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Thiếu Lâm là một trong các phái có lịch sử lâu đời nhất của võ lâm, sở hữu 72 tuyệt kỹ vang danh thiên hạ, người có được sẽ là cao thủ võ lâm. Đệ tử nghiêm thủ thanh quy.
8	1008	1128	8		1	Thúy Yên	Mặc định		CuiYanHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Thúy Yên trước nay chỉ thu nhận đệ tử nữ trẻ tuổi. Muốn cưới người của Thúy Yên phải có tuyệt học hoặc thần binh dùng làm sính lễ.
9	1009	1129	9		1	Đường Môn	Mặc định		TangMenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Đường Môn ít giao di với bên ngoài, nổi tiếng về việc dùng ám khí, độc dược, cơ quan thuật, là bang hội lớn sừng sững trong võ lâm mấy trăm năm nay.
10	1010	1130	10	2	1	Côn Lôn	Mặc định		KunLunHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Côn Lôn nổi tiếng với kiếm pháp biến hóa khôn lường, ngụ tại Đỉnh Tuyết Sơn, thường hành động gần Côn Lôn Sơn.
11	1011	1131	11	1	1	Cái Bang	Mặc định		GaiBangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		Cái Bang là đại bang Thiên Hạ Đệ Nhất, tuyệt học độc môn「Đả Cẩu Bổng Pháp」và「Giáng Long Thập Bát Chưởng」cũng là võ nghệ bậc nhất thiên hạ, đệ tử Cái Bang tính tình ung dung tự tại, ăn xin qua ngày, đi khắp mọi nơi nên nắm tin tức rất nhanh.
