KEY_GROUP	KEY_ID_BEGIN	KEY_ID_END	TYPE	PLAYER_SAVE_TABLE	SYNC	DESC
1~255	1~255	1~255	0:int,1buf		Đồng bộ đến client	
1	1	3	0		1	Thể lực
2	1	50	0		1	Tiền tệ
3	1	50	0		1	Nhật ký đền bù tiền
3	51	60	0		1	Thông tin tiền bồi thường thêm
5	1	15	0		1	Báo thù, Bắt, Tặng thể lực
6	1	10	0		1	Cấp cường hóa bộ vị trang bị
6	11	20	0		1	Số lần đột phá bộ vị trang bị
6	21	30	0		1	Số lần cường hóa bộ kiện trang bị thất bại
6	31	41	0		1	31-40 Số lần cường hóa mỗi vị trí mỗi ngày, 41 Số ngày cường hóa cuối cùng
6	42	51	0		1	Cường hóa các bộ phận tăng số lần dùng đạo cụ
7	1	30	0		1	Xếp Hạng
8	1	2	0			Thưởng BOSS
9	1	2	0		1	Số lần phó bản ngẫu nhiên
10	1	6	0		1	Số lần, thời gian Đoạt Mảnh miễn chiến
11	1	8	0		1	Số lần chiến trường, tư cách thi đấu
12	1	6	0		1	Số lần Địa Cung, Số lần do thám
12	7	11	0		0	Số lần tìm Địa Cung lần trước, tương ứng số lần tìm hôm nay
13	1	8	0		1	Số lần phó bản tổ đội
14	1	6	0		1	Số lần rung Cây Tiền miễn phí và cộng thêm
14	7	8	0		1	Hoạt động Thẻ Tuần/Tháng
14	9	10	0		1	Cầu phúc, hiện thiếu 2 Thẻ Tuần hoạt động
15	1	255	0		1	Mua nhanh
16	1	2			1	Số lần Trừng Ác
17	1	4				Số lần tiêu diệt trong Trừng Ác
18	1	20			1	Hướng dẫn
19	1	4	0		1	Dữ liệu thưởng đăng nhập
20	1	97	0		1	Nạp
21	1	44	0		1	Số lần chat màu 1, và thông tin trò chuyện, khung chat, bối cảnh gồm 2,3, phát tin Liên SV tối đa 4, 5-44 là theo dõi Dẫn chương trình
22	1	4	0		1	Thưởng điểm danh
23	1	10	0		1	Truyền Công
24	1	10			1	Quần Anh Hội
25	1	4	0		1	Miễn phí nhận thể lực
26	1	2	0		1	Đổi tên
27	1	2			1	Quân Hàm
28	1	21	0		1	Số liệu hoạt động Vấn Đáp
29	1	255	0		1	Thông tin thành tựu
30	1	255	0		1	Tính thành tựu
31	1	2	0		1	Số lần Bí Cảnh Kỳ Ngộ
32	1	2	0		1	Số lần góp bang hội
32	3	3	0		1	Thời gian chờ vào Bang
32	4	4	0		0	Rời bang không bị trừng phạt chờ
33	1	2	0		1	Số lần nhiệm vụ Thương Hội
34	1	255	0		0	Ký hiệu nhận Quà Code Đặc Quyền
35	1	2			0	Thưởng Sào Huyệt Bang Hội
36	1	2	0		0	Thưởng Đạo Tặc Bang Hội
37	1	1	0		1	Điểm PK
38	1	2	0		1	1 Ký hiệu nhận nhiệm vụ Thí Luyện Giang Hồ
39	1	255	0		1	Hình đại diện
40	1	2	0		1	Nhiệm vụ Bang Hội
41	1	100	0		1	Thông tin khảm bộ vị trang bị
42	1	255	0		1	Ký hiệu đền bù dùng khi mở server ngày đầu gateway không ổn định, đã dùng đến 5
43	1	9	0		1	Khiêu Chiến Anh Hùng
44	1	12			1	Hiện hình đại diện Khiêu Chiến Anh Hùng
45	1	14	0		1	Thông Thiên Tháp
46	1	2	0		1	Bạch Hổ Đường
47	1	2	0		1	Khai quang vũ khí
48	1	3	0		1	Vận Tiêu Bang Hội-Ký hiệu cá nhân
49	1	4	0		1	Tu luyện
49	10	30	0		1	Tần Lăng
49	40	80	0		1	Thi Đấu Môn Phái
50	1	6	0		1	Số lần chat cộng đồng, số lần chat kênh phát chính
51	1	2	0		1	Thuộc tính kích hoạt tổ hợp Đồng Hành
52	1	255	0		1	Mở rộng cách tính thành tựu
53	1	1	0		1	Điểm kỹ năng tiêu hao
54	1	10	0		1	Sách Điểm Kỹ Năng
55	1	1	0		1	Phó bản Đồng Hành
56	1	50	0		1	Phần thưởng nhận bù
57	1	12	0		1	Dữ liệu Sách Thu Thập hoạt động Thu Thập Thẻ
58	1	10	0		1	Quà Tặng Ngày Hè Mừng Máy Chủ Mới
