Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	EffecUitResID	Rank	WorldNotify	Desc	Quality	Icon
null1	1	Chưa dùng							100					1		ID danh hiệu chưa dùng		
null2	2	Chưa dùng							100	UI/Atlas/SkillIcon/SkillIcon.prefab	TianwangSkill_0			1		ID danh hiệu chưa dùng		
null3	3	Chưa dùng							100			17		1		ID danh hiệu chưa dùng		
null4	4	Chưa dùng												1		ID danh hiệu chưa dùng		
null5	5	Chưa dùng												1		ID danh hiệu chưa dùng		
null6	6	Chưa dùng												1		ID danh hiệu chưa dùng		
null7	7	Chưa dùng												1		ID danh hiệu chưa dùng		
null8	8	Chưa dùng												1		ID danh hiệu chưa dùng		
punish_1	9	Nhiệm vụ Trừng Ác-Lâu La		Danh hiệu Trắng	200									1		Nhiệm Vụ Trừng Ác	1	
punish_2	10	Nhiệm vụ Trừng Ác-Lâu La		Danh hiệu Lục	200	201	202	203						1		Nhiệm Vụ Trừng Ác	2	
punish_3	11	Nhiệm vụ Trừng Ác-Tinh Anh		Danh hiệu lam	200	204	205	206						1		Nhiệm Vụ Trừng Ác	3	
punish_4	12	Nhiệm vụ Trừng Ác-Đầu Mục		Danh hiệu Tím	200	207	208	209						1		Nhiệm Vụ Trừng Ác	4	
punish_5	13	Nhiệm vụ Trừng Ác-Đầu Mục		Danh hiệu Cam	200	213	214	215						1		Nhiệm Vụ Trừng Ác	6	
dota	14	Đặc Sát		Danh hiệu Lục	200	201	202	203						1		Danh hiệu Chiến Trường	2	
dota	15	Bạo Tẩu		Danh hiệu lam	200	204	205	206						2		Danh hiệu Chiến Trường	3	
dota	16	Vô Địch		Danh hiệu Tím	200	207	208	209						3		Danh hiệu Chiến Trường	4	
dota	17	Chiến Trường Chúa Tể		Danh hiệu Hồng	200	210	211	212						4		Danh hiệu Chiến Trường	5	
dota	18	Như Thần		Danh hiệu Cam	200	213	214	215						5		Danh hiệu Chiến Trường	6	
dota	19	Siêu Thần		Danh hiệu Vàng	200	216	217	218						6		Danh hiệu Chiến Trường	7	
CommerceTask1	20	Chưa trưởng thành		Danh hiệu Trắng	200									1		Vật thu thập Thương Hội	1	
CommerceTask2	21	Dược Thảo Thủ Vệ		Danh hiệu Trắng	200									1		Thủ Vệ Thương Hội	1	
CommerceTask3	22	Chưa đầy		Danh hiệu Trắng	200									1		Vật Thu Thập Tiệc	1	
CommerceTask4	23																	
CommerceTask5	24																	
CommerceTask6	25																	
QYMJ	26	Sơn Tặc Đầu Mục		Danh hiệu lam	200	204	205	206						1		Danh hiệu NPC Sơn Tặc Mật Quật	3	
BHT	27	Đầu Mục Tầng 1		Danh hiệu lam	200	204	205	206						1		Danh hiệu NPC Bạch Hổ Đường	3	
BHT	28	Đầu Mục tầng 2		Danh hiệu lam	200	204	205	206						1		Danh hiệu NPC Bạch Hổ Đường	3	
BHT	29	Đầu Mục Tầng 3		Danh hiệu lam	200	204	205	206						1		Danh hiệu NPC Bạch Hổ Đường	3	
BHT	30	Thủ Lĩnh Tầng 4		Danh hiệu Tím	200	207	208	209						1		Danh hiệu NPC Bạch Hổ Đường	4	
InDifferShopNpc	31	Đồng Tẩu Vô Khi		Danh hiệu Hồng	200	210	211	212						1		Danh hiệu NPC Tâm Ma Ảo Cảnh	5	
FactionNpcTitle1	50	Thiên Vương Thiếu Bang Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle2	51	Thiếu Lâm Thủ Tọa		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle3	52	Tàng Kiếm Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle4	53	Tiêu Dao Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle5	54	Đường Môn Thiếu Môn Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle6	55	Ngũ Độc Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle7	56	Nga Mi Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle8	57	Thúy Yên Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle9	58	Thiên Sơn Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle10	59	Đào Hoa Thiếu Đảo Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle11	60	Thiên Nhẫn Thiếu Giáo Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle12	61	Cái Bang Truyền Công Trưởng Lão		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle13	62	Võ Đang Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle14	63	Côn Lôn Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle15	64	Trường Ca Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle16	65	Bá Đao Thiếu Môn Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle17	66	Hoa Sơn Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle18	67	Minh Giáo Thiếu Chưởng Môn		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle19	68	Đoàn Thị Thiếu Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
FactionNpcTitle20	69	Vạn Hoa Thiếu Chủ		Danh hiệu Hồng	200	210	211	212								Danh hiệu NPC phái	5	
citynpc1	100	Đường Môn Thiếu Hiệp		Danh hiệu lam	200	204	205	206						1		Danh hiệu npc thành thị	3	
citynpc2	101	Giang Hồ Nữ Hiệp		Danh hiệu lam	200	204	205	206						1		Danh hiệu npc thành thị	3	
