TeamID	Name	HeroName	Faction	Level	ExtAttribId	HonorLevel	PartnerId1	PartnerId2	PartnerId3	PartnerId4	PartnerLevel	Strength	Vitality	Dexterity	Energy	SkillLevel	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5
1	Võ Thần Điện Thủ Hộ	Quan Thư Cầm	1	10	1	0	96				5	0	0	0	0	1					
2	Võ Thần Điện Thủ Hộ	Cung Chí Thành	2	10	1	0		96			5	0	0	0	0	1					
3	Võ Thần Điện Thủ Hộ	Tả Khâu Hàn Lâm	3	10	1	0			96		5	0	0	0	0	1					
4	Võ Thần Điện Thủ Hộ	Trọng Tôn Hoằng Viễn	4	10	1	0				96	5	0	0	0	0	1					
5	Võ Thần Điện Thủ Hộ	Chương Ức Đạt	5	10	1	0	96				5	0	0	0	0	1					
6	Võ Thần Điện Thủ Hộ	Độc Cô Tuấn Dự	6	10	1	0		96			5	0	0	0	0	1					
7	Võ Thần Điện Thủ Hộ	Nghiêm Nhuệ Tinh	7	10	1	0			96		5	0	0	0	0	1					
8	Võ Thần Điện Thủ Hộ	Loan Mịch Vân	8	10	1	0				96	5	0	0	0	0	1					
9	Võ Thần Điện Thủ Hộ	Tư Mã Diệc Toàn	9	10	1	0	96				5	0	0	0	0	1					
10	Võ Thần Điện Thủ Hộ	Đoạn Ức Tuyết	10	10	1	0		96			5	0	0	0	0	1					
11	Võ Thần Điện Thủ Hộ	Mục Mặc Dung	11	10	1	0			96		5	0	0	0	0	1					
12	Võ Thần Điện Thủ Hộ	Thẩm Tinh Hỏa	12	10	1	0				96	5	0	0	0	0	1					
13	Võ Thần Điện Thủ Hộ	Lệnh Hồ Tư Phong	13	10	1	0	96				5	0	0	0	0	1					
14	Võ Thần Điện Thủ Hộ	Mộ Hàn Tùng	14	10	1	0		96			5	0	0	0	0	1					
15	Võ Thần Điện Thủ Hộ	Hạ Hòa Quang	15	10	1	0			96		5	0	0	0	0	1					
16	Võ Thần Điện Thủ Hộ	Mục Hồng Hi	16	11	1	0				96	6	0	0	0	0	1					
17	Võ Thần Điện Thủ Hộ	Tô Hoằng Văn	17	11	1	0	96				6	0	0	0	0	1					
